"featkind"|"featdept_l"|"featdept_r"|"featdept_h"|"featdepb_l"|"featdepb_r"|"featdepb_h"|"featthick_l"|"featthick_r"|"featthick_h"|"cokey"|"codiagfeatkey"
"Glossic horizon"|122|125|145|203|203|203|58|78|81|24232334|14659134
"Ochric epipedon"|0|0|0|15|38|51|15|38|51|24232334|14659135
"Albic horizon"|5|13|28|15|38|51|10|25|46|24232334|14659132
"Argillic horizon"|18|38|51|203|203|203|152|165|185|24232334|14659136
"Endosaturation"|122|125|145|203|203|203|58|78|81|24232334|14659133
"Glossic horizon"|92|97|142|203|203|203|61|106|111|24232338|14659139
"Ochric epipedon"|0|0|0|49|97|102|49|74|80|24232338|14659141
"Argillic horizon"|49|97|102|203|203|203|123|129|154|24232338|14659140
"Redox concentrations"|92|97|142|203|203|203|61|106|111|24232338|14659137
"Endosaturation"|92|97|142|203|203|203|61|106|111|24232338|14659138
"Ochric epipedon"|0|0|0|10|25|25|10|25|25|24232339|14659143
"Argillic horizon"|89|125|125|203|203|203|78|78|114|24232339|14659142
"Ochric epipedon"|0|0|0|51|51|64|51|51|64|24231847|14658584
"Argillic horizon"|51|51|64|183|203|203|132|153|153|24231847|14658585
"Endosaturation"|114|127|127|183|203|203|56|76|89|24231847|14658586
"Ochric epipedon"|0|0|0|10|18|40|10|18|40|24232063|14658852
"Plinthite"|23|58|140|203|203|203|63|145|180|24232063|14658854
"Argillic horizon"|10|18|40|203|203|203|163|185|193|24232063|14658853
"Redox concentrations"|10|18|40|203|203|203|163|185|193|24232063|14658855
"Episaturation"|107|107|152|122|155|183|15|48|76|24232063|14658851
"Ochric epipedon"|0|0|0|51|56|84|51|56|84|24232282|14659073
"Argillic horizon"|51|56|84|152|203|203|101|147|152|24232282|14659072
"Mollic epipedon"|0|0|0|15|18|30|15|18|30|24232353|14659164
"Argillic horizon"|15|18|30|203|203|203|173|185|188|24232353|14659165
"Redox concentrations"|15|18|30|203|203|203|173|185|188|24232353|14659166
"Ochric epipedon"|0|0|0|100|122|178|100|122|178|24232371|14659187
"Argillic horizon"|100|122|178|203|203|203|25|81|103|24232371|14659186
"Ochric epipedon"|0|0|0|100|125|180|100|125|180|24232195|14659001
"Argillic horizon"|100|125|180|203|203|203|23|78|103|24232195|14659002
"Secondary carbonates"|46|62|91|159|203|203|68|141|157|24232244|14659069
"Ochric epipedon"|0|0|0|10|20|20|10|20|20|24232244|14659067
"Slickensides"|46|62|91|109|129|153|18|67|107|24232244|14659070
"Argillic horizon"|10|20|20|109|129|153|89|109|143|24232244|14659068
"Densic contact"|109|129|153|159|203|203|30|74|94|24232244|14659071
"Ochric epipedon"|0|0|0|20|30|40|20|30|40|24232065|14658856
"Argillic horizon"|20|30|40|102|132|152|62|102|132|24232065|14658857
"Ochric epipedon"|0|0|0|10|18|40|10|18|40|24232066|14658859
"Plinthite"|23|58|140|203|203|203|63|145|180|24232066|14658861
"Argillic horizon"|10|18|40|203|203|203|163|185|193|24232066|14658860
"Redox concentrations"|10|18|40|203|203|203|163|185|193|24232066|14658862
"Episaturation"|107|107|152|122|155|183|15|48|76|24232066|14658858
"Ochric epipedon"|0|0|0|8|20|36|8|20|36|24231953|14658702
"Argillic horizon"|8|20|36|127|173|178|119|153|170|24231953|14658703
"Densic materials"|127|173|178|203|203|203|25|30|76|24231953|14658704
"Episaturation"|61|81|123|127|173|178|50|92|117|24231953|14658705
"Ochric epipedon"|0|0|0|8|18|23|8|18|23|24232091|14658929
"Argillic horizon"|8|18|23|203|203|203|180|185|195|24232091|14658930
"Redox depletions with chroma 2 or less"|61|71|91|203|203|203|112|132|142|24232091|14658932
"Endosaturation"|61|71|91|203|203|203|112|132|142|24232091|14658931
"Ochric epipedon"|0|0|0|5|20|30|5|20|30|24232300|14659084
"Slickensides"|10|20|51|112|145|155|61|125|145|24232300|14659085
"Gypsum accumulations"|112|145|145|165|203|203|20|58|91|24232300|14659086
"Ochric epipedon"|0|0|0|51|61|100|51|61|100|24231955|14658706
"Plinthite"|110|127|170|203|213|213|33|86|103|24231955|14658708
"Argillic horizon"|51|61|100|203|213|213|103|152|162|24231955|14658707
"Ochric epipedon"|0|0|0|8|20|36|8|20|36|24232356|14659167
"Argillic horizon"|8|20|36|127|173|178|119|153|170|24232356|14659168
"Densic materials"|127|173|178|203|203|203|25|30|76|24232356|14659169
"Episaturation"|61|81|123|127|173|178|50|92|117|24232356|14659170
"Glossic horizon"|15|23|56|183|193|195|127|170|180|24231937|14658688
"Ochric epipedon"|0|0|0|15|23|56|15|23|56|24231937|14658683
"Albic horizon"|5|13|20|15|23|56|10|10|36|24231937|14658684
"Argillic horizon"|15|23|56|183|193|195|127|170|180|24231937|14658685
"Redox concentrations"|0|0|0|203|203|203|203|203|203|24231937|14658687
"Episaturation"|0|0|0|183|193|195|183|193|195|24231937|14658686
"Glossic horizon"|102|140|152|203|203|203|51|63|101|24231938|14658691
"Ochric epipedon"|0|0|0|35|97|100|35|97|100|24231938|14658689
"Argillic horizon"|35|97|100|203|203|203|103|106|168|24231938|14658690
"Redox concentrations"|102|140|152|203|203|203|51|63|101|24231938|14658693
"Endosaturation"|102|140|152|203|203|203|51|63|101|24231938|14658692
"Ochric epipedon"|0|0|0|61|74|100|61|74|100|24231963|14658717
"Plinthite"|76|104|127|203|203|203|76|99|127|24231963|14658716
"Argillic horizon"|61|74|100|203|203|203|103|129|142|24231963|14658720
"Redox concentrations"|46|53|94|203|203|203|112|150|157|24231963|14658719
"Episaturation"|46|53|91|61|74|100|10|21|54|24231963|14658718
"Ochric epipedon"|0|0|0|18|30|30|18|30|30|24232409|14659284
"Argillic horizon"|18|30|30|107|135|135|77|105|117|24232409|14659286
"Episaturation"|61|99|99|107|135|135|28|36|64|24232409|14659285
"Ochric epipedon"|0|0|0|19|23|31|19|23|31|24232445|14659304
"Argillic horizon"|19|23|31|90|178|178|88|155|159|24232445|14659303
"Redox depletions with chroma 2 or less"|56|56|76|80|104|140|24|48|64|24232445|14659302
"Reduced matrix"|80|104|140|203|203|203|63|99|123|24232445|14659305
"Ochric epipedon"|0|0|0|51|56|97|51|56|97|24232374|14659189
"Argillic horizon"|51|56|97|107|117|147|23|61|96|24232374|14659188
"Ochric epipedon"|0|0|0|8|30|45|8|30|45|24231837|14658575
"Ochric epipedon"|0|0|0|23|28|31|23|28|31|24232200|14659009
"Argillic horizon"|23|28|31|203|203|203|172|175|180|24232200|14659010
"Ochric epipedon"|0|0|0|8|15|25|8|15|25|24232348|14659147
"Argillic horizon"|8|15|25|41|76|96|33|61|71|24232348|14659148
"Paralithic contact"|59|76|130|140|145|203|10|69|144|24232348|14659149
"Paralithic materials"|51|99|102|203|203|203|101|104|152|24232348|14659146
"Ochric epipedon"|0|0|0|8|8|12|8|8|12|24231988|14658753
"Argillic horizon"|8|8|12|41|49|49|29|41|41|24231988|14658754
"Paralithic contact"|41|49|49|91|203|203|154|154|162|24231988|14658755
"Ochric epipedon"|0|0|0|10|15|15|10|15|15|24231989|14658756
"Argillic horizon"|10|15|15|59|76|97|44|61|87|24231989|14658757
"Paralithic contact"|59|76|130|140|145|203|10|69|144|24231989|14658758
"Cambic horizon"|10|13|20|180|203|220|170|180|210|24232434|14659288
"Ochric epipedon"|0|0|0|5|13|18|5|13|18|24232434|14659287
"Redox concentrations"|10|13|20|180|203|220|170|180|210|24232434|14659289
"Ochric epipedon"|0|0|0|10|10|38|10|10|38|24231858|14658591
"Slickensides"|20|58|58|102|104|152|44|46|132|24231858|14658593
"Argillic horizon"|10|10|38|102|104|152|64|94|142|24231858|14658592
"Ochric epipedon"|0|0|0|23|28|31|23|28|31|24232286|14659074
"Argillic horizon"|23|28|31|203|203|203|172|175|180|24232286|14659075
"Glossic horizon"|92|97|142|203|203|203|61|106|111|24232359|14659173
"Ochric epipedon"|0|0|0|49|97|102|49|74|80|24232359|14659175
"Argillic horizon"|49|97|102|203|203|203|123|129|154|24232359|14659174
"Redox concentrations"|92|97|142|203|203|203|61|106|111|24232359|14659171
"Endosaturation"|92|97|142|203|203|203|61|106|111|24232359|14659172
"Glossic horizon"|122|125|145|203|203|203|58|78|81|24232360|14659178
"Ochric epipedon"|0|0|0|15|38|51|15|38|51|24232360|14659179
"Albic horizon"|5|13|28|15|38|51|10|25|46|24232360|14659176
"Argillic horizon"|18|38|51|203|203|203|152|165|185|24232360|14659180
"Endosaturation"|122|125|145|203|203|203|58|78|81|24232360|14659177
"Ochric epipedon"|0|0|0|9|20|51|9|20|51|24232125|14658948
"Argillic horizon"|9|20|51|100|130|152|37|110|143|24232125|14658947
"Ochric epipedon"|0|0|0|4|10|25|4|10|25|24232385|14659240
"Argillic horizon"|4|10|25|111|140|146|86|130|142|24232385|14659241
"Aquic conditions"|76|84|100|158|191|191|58|107|115|24232386|14659246
"Ochric epipedon"|0|0|0|18|25|46|18|25|46|24232386|14659242
"Argillic horizon"|18|25|46|158|191|191|112|166|173|24232386|14659243
"Interfingering of albic materials"|76|84|100|116|117|152|16|33|76|24232386|14659244
"Lithologic discontinuity"|100|107|140|||||||24232386|14659245
"Ochric epipedon"|0|0|0|24|31|41|24|31|41|24232319|14659109
"Slickensides"|66|85|91|146|152|185|58|67|119|24232319|14659113
"Argillic horizon"|24|31|41|146|152|185|105|121|122|24232319|14659110
"Episaturation"|39|49|56|66|85|91|14|36|50|24232319|14659112
"Lithologic discontinuity"|66|85|91|203|203|203|112|118|137|24232319|14659111
"Aquic conditions"|7|7|15|203|203|203|188|196|196|24232320|14659117
"Ochric epipedon"|0|0|0|22|30|51|22|30|51|24232320|14659114
"Argillic horizon"|22|30|51|203|203|203|152|173|181|24232320|14659115
"Interfingering of albic materials"|22|30|51|48|48|102|15|18|80|24232320|14659116
"Gypsum accumulations"|122|165|178|203|203|203|25|38|81|24232320|14659118
"Ochric epipedon"|0|0|0|9|20|51|9|20|51|24232321|14659119
"Argillic horizon"|9|20|51|100|130|152|37|110|143|24232321|14659120
"Aquic conditions"|76|84|100|158|191|191|58|107|115|24232322|14659124
"Ochric epipedon"|0|0|0|18|25|46|18|25|46|24232322|14659121
"Argillic horizon"|18|25|46|158|191|191|112|166|173|24232322|14659125
"Interfingering of albic materials"|76|84|100|116|117|152|16|33|76|24232322|14659122
"Lithologic discontinuity"|100|107|140|||||||24232322|14659123
"Cambic horizon"|10|31|31|203|203|203|172|172|193|24232088|14658924
"Aquic conditions"|51|56|117|203|203|203|86|147|152|24232088|14658925
"Ochric epipedon"|0|0|0|10|31|31|10|31|31|24232088|14658923
"Redox concentrations"|51|56|117|203|203|203|86|147|152|24232088|14658926
"Redox depletions with chroma 2 or less"|10|31|31|51|56|117|20|25|107|24232088|14658927
"Endosaturation"|51|56|117|203|203|203|86|147|152|24232088|14658928
"Ochric epipedon"|0|0|0|15|36|51|15|36|51|24242591|14670032
"Argillic horizon"|15|36|51|152|203|218|132|167|203|24242591|14670030
"Ochric epipedon"|0|0|0|23|28|31|23|28|31|24242905|14670438
"Argillic horizon"|23|28|31|203|203|203|172|175|180|24242905|14670439
"Ochric epipedon"|0|0|0|10|25|25|10|25|25|24242664|14670407
"Argillic horizon"|89|125|125|203|203|203|78|78|114|24242664|14670406
"Ochric epipedon"|0|0|0|23|25|41|23|25|41|24242935|14670248
"Plinthite"|64|68|91|127|186|186|36|118|122|24242935|14670252
"Argillic horizon"|23|25|41|203|203|203|162|178|180|24242935|14670250
"Redox concentrations"|23|25|41|127|186|186|86|161|163|24242935|14670254
"Episaturation"|102|114|117|127|186|186|10|72|84|24242935|14670256
"Ochric epipedon"|0|0|0|7|25|40|7|25|40|24242924|14670427
"Argillic horizon"|7|25|40|51|94|99|11|69|92|24242924|14670426
"Ochric epipedon"|0|0|0|20|25|30|20|25|30|24242800|14670433
"Argillic horizon"|20|25|30|80|85|90|50|60|70|24242800|14670434
"Ochric epipedon"|0|0|0|7|15|46|7|15|46|24242604|14670069
"Argillic horizon"|7|15|46|76|80|97|30|65|90|24242604|14670070
"Ochric epipedon"|0|0|0|100|122|178|100|122|178|24243075|14670429
"Argillic horizon"|100|122|178|203|203|203|25|81|103|24243075|14670428
"Ochric epipedon"|0|0|0|100|150|180|100|150|180|24243147|14670422
"Argillic horizon"|100|150|180|203|203|203|23|53|103|24243147|14670420
"Cambic horizon"|15|25|30|203|203|203|173|178|188|24243002|14670092
"Aquic conditions"|15|25|30|203|203|203|173|178|188|24243002|14670095
"Ochric epipedon"|0|0|0|15|25|30|15|25|30|24243002|14670090
"Redox concentrations"|0|0|0|203|203|203|203|203|203|24243002|14670088
"Redox depletions with chroma 2 or less"|0|0|0|15|25|30|15|25|30|24243002|14670091
"Reduced matrix"|15|25|30|203|203|203|173|178|188|24243002|14670093
"Episaturation"|15|25|30|102|124|152|72|99|137|24243002|14670094
"Lithologic discontinuity"|102|124|152|203|203|203|51|79|101|24243002|14670089
"Cambic horizon"|10|10|20|40|58|80|30|48|70|24242993|14669903
"Aquic conditions"|20|23|46|203|203|203|157|180|183|24242993|14669906
"Ochric epipedon"|0|0|0|10|10|20|10|10|20|24242993|14669902
"Slickensides"|40|58|80|91|152|180|51|94|112|24242993|14669904
"Redox concentrations"|20|23|46|203|203|203|157|180|183|24242993|14669907
"Episaturation"|0|23|46|40|58|80|12|35|80|24242993|14669905
"Cambic horizon"|10|15|38|203|203|203|165|188|193|24243109|14670425
"Ochric epipedon"|0|0|0|10|15|38|10|15|38|24243109|14670424
"Ochric epipedon"|0|0|0|15|38|56|15|38|56|24242902|14670401
"Redox concentrations"|15|38|56|56|76|147|18|38|132|24242902|14670402
"Endosaturation"|56|76|147|183|203|203|107|127|147|24242902|14670403
"Ochric epipedon"|0|0|0|7|18|20|7|18|20|24242999|14670071
"Albic horizon"|7|18|20|13|30|34|0|12|27|24242999|14670072
"Argillic horizon"|13|30|34|130|145|152|96|115|139|24242999|14670073
"Cambic horizon"|18|38|38|203|203|203|165|165|185|24243037|14669890
"Aquic conditions"|46|56|91|203|203|203|112|147|157|24243037|14669893
"Ochric epipedon"|0|0|0|18|38|38|18|38|38|24243037|14669889
"Redox concentrations"|90|91|99|203|203|203|104|112|113|24243037|14669892
