"erokind"|"rvindicator"|"cokey"|"coeroacckey"
"Sheet erosion"|"Yes"|24232334|2200930
"Sheet erosion"|"Yes"|24232338|2200931
"Sheet erosion"|"Yes"|24232339|2200927
"Sheet erosion"|"Yes"|24232340|2200929
"Sheet erosion"|"Yes"|24232341|2200928
"Sheet erosion"|"Yes"|24231847|2200855
"Sheet erosion"|"Yes"|24232063|2201076
"Sheet erosion"|"Yes"|24232282|2200921
"Sheet erosion"|"Yes"|24232283|2200922
"Sheet erosion"|"Yes"|24232284|2200920
"Sheet erosion"|"Yes"|24232285|2200923
"Sheet erosion"|"Yes"|24232353|2200893
"Sheet erosion"|"Yes"|24232371|2200984
"Sheet erosion"|"Yes"|24232195|2200897
"Rill erosion"|"Yes"|24232244|2200978
"Rill erosion"|"Yes"|24232245|2200979
"Rill erosion"|"Yes"|24232246|2200980
"Sheet erosion"|"Yes"|24232065|2200990
"Sheet erosion"|"Yes"|24232066|2200991
"Sheet erosion"|"Yes"|24231953|2200898
"Sheet erosion"|"Yes"|24232091|2200900
"Sheet erosion"|"Yes"|24232300|2200972
"Sheet erosion"|"Yes"|24231955|2200800
"Sheet erosion"|"Yes"|24232356|2200924
"Sheet erosion"|"Yes"|24231937|2200902
"Sheet erosion"|"Yes"|24231938|2200903
"Sheet erosion"|"Yes"|24232354|2200915
"Sheet erosion"|"Yes"|24231963|2201077
"Sheet erosion"|"Yes"|24232409|2200899
"Sheet erosion"|"Yes"|24232444|2200987
"Sheet erosion"|"Yes"|24232445|2200986
"Sheet erosion"|"Yes"|24232446|2200988
"Sheet erosion"|"Yes"|24232374|2200985
"Sheet erosion"|"Yes"|24231837|2200936
"Sheet erosion"|"Yes"|24232200|2201010
"Sheet erosion"|"Yes"|24232348|2200989
"Rill erosion"|"Yes"|24231987|2200975
"Rill erosion"|"Yes"|24231988|2200974
"Rill erosion"|"Yes"|24231989|2200973
"Sheet erosion"|"Yes"|24232432|2200918
"Sheet erosion"|"Yes"|24232433|2200917
"Sheet erosion"|"Yes"|24232434|2200916
"Sheet erosion"|"Yes"|24232435|2200919
"Sheet erosion"|"Yes"|24231858|2200901
"Sheet erosion"|"Yes"|24232286|2200925
"Sheet erosion"|"Yes"|24232359|2200932
"Sheet erosion"|"Yes"|24232360|2200926
"Sheet erosion"|"Yes"|24232124|2200976
"Sheet erosion"|"Yes"|24232125|2200977
"Sheet erosion"|"Yes"|24232385|2200967
"Sheet erosion"|"Yes"|24232386|2200968
"Sheet erosion"|"Yes"|24232319|2200969
"Sheet erosion"|"Yes"|24232321|2200971
"Sheet erosion"|"Yes"|24232322|2200970
"Sheet erosion"|"Yes"|24242591|2203666
"Sheet erosion"|"Yes"|24242905|2203731
"Sheet erosion"|"Yes"|24242662|2203797
"Sheet erosion"|"Yes"|24242663|2203798
"Sheet erosion"|"Yes"|24242664|2203796
"Sheet erosion"|"Yes"|24242935|2203675
"Sheet erosion"|"Yes"|24242924|2203805
"Sheet erosion"|"Yes"|24242800|2203808
"Sheet erosion"|"Yes"|24242604|2203809
"Sheet erosion"|"Yes"|24243075|2203806
"Sheet erosion"|"Yes"|24243147|2203803
"Sheet erosion"|"Yes"|24242902|2203791
"Sheet erosion"|"Yes"|24242903|2203793
"Sheet erosion"|"Yes"|24242904|2203792
"Sheet erosion"|"Yes"|24242999|2203810
"Sheet erosion"|"Yes"|24243053|2203826
"Sheet erosion"|"Yes"|24243054|2203825
"Sheet erosion"|"Yes"|24243055|2203827
"Sheet erosion"|"Yes"|24242665|2203867
"Sheet erosion"|"Yes"|24242666|2203865
"Sheet erosion"|"Yes"|24242667|2203866
"Sheet erosion"|"Yes"|24243229|2203773
"Sheet erosion"|"Yes"|24243230|2203772
"Sheet erosion"|"Yes"|24242735|2203872
"Sheet erosion"|"Yes"|24242736|2203811
"Sheet erosion"|"Yes"|24242737|2203871
"Sheet erosion"|"Yes"|24242833|2203694
"Sheet erosion"|"Yes"|24242834|2203693
"Sheet erosion"|"Yes"|24242835|2203843
"Sheet erosion"|"Yes"|24242635|2203692
"Sheet erosion"|"Yes"|24242581|2203732
"Sheet erosion"|"Yes"|24243104|2203830
"Sheet erosion"|"Yes"|24242805|2203776
"Sheet erosion"|"Yes"|24243072|2203774
"Sheet erosion"|"Yes"|24242922|2203775
"Sheet erosion"|"Yes"|24242889|2203829
"Sheet erosion"|"Yes"|24242890|2203828
"Sheet erosion"|"Yes"|24243185|2203765
"Sheet erosion"|"Yes"|24243186|2203766
"Sheet erosion"|"Yes"|24242787|2203794
"Sheet erosion"|"Yes"|24242788|2203795
"Sheet erosion"|"Yes"|24242898|2203802
"Sheet erosion"|"Yes"|24242899|2203801
"Sheet erosion"|"Yes"|24242900|2203799
"Sheet erosion"|"Yes"|24242901|2203800
"Sheet erosion"|"Yes"|24243187|2203770
"Sheet erosion"|"Yes"|24243189|2203771
"Sheet erosion"|"Yes"|24243162|2203767
"Sheet erosion"|"Yes"|24243163|2203769
"Sheet erosion"|"Yes"|24243165|2203768
"Sheet erosion"|"Yes"|24243182|2203762
"Sheet erosion"|"Yes"|24243183|2203763
"Sheet erosion"|"Yes"|24243145|2203868
"Sheet erosion"|"Yes"|24243146|2203764
