"geomftname"|"geomfname"|"geomfmod"|"geomfeatid"|"existsonfeat"|"rvindicator"|"cokey"|"cogeomdkey"
"Landform"|"stream terraces"|""|2|1|"Yes"|24232334|38392117
"Landscape"|"coastal plains"|""|1||"Yes"|24232334|38392118
"Landform"|"stream terraces"|""|2|1|"Yes"|24232335|38392119
"Landscape"|"coastal plains"|""|1||"Yes"|24232335|38392120
"Landform"|"stream terraces"|""|2|1|"Yes"|24232336|38392121
"Landscape"|"coastal plains"|""|1||"Yes"|24232336|38392122
"Landform"|"depressions"|""|3|2|"Yes"|24232337|38392124
"Landform"|"stream terraces"|""|2|1|"Yes"|24232337|38392123
"Landscape"|"coastal plains"|""|1||"Yes"|24232337|38392125
"Landform"|"stream terraces"|"tread"|2|1|"Yes"|24232338|38392126
"Landscape"|"coastal plains"|""|1||"Yes"|24232338|38392127
"Landform"|"interfluves"|""|2|1|"Yes"|24232339|38392128
"Landscape"|"coastal plains"|""|1||"Yes"|24232339|38392129
"Landform"|"interfluves"|""|2|1|"Yes"|24232340|38392130
"Landscape"|"coastal plains"|""|1||"Yes"|24232340|38392131
"Landform"|"interfluves"|""|2|1|"Yes"|24232341|38392132
"Landscape"|"coastal plains"|""|1||"Yes"|24232341|38392133
"Landform"|"stream terraces"|""|2|1|"Yes"|24231846|38391830
"Landscape"|"coastal plains"|""|1||"Yes"|24231846|38391831
"Landform"|"stream terraces"|""||1|"Yes"|24231847|38391832
"Landscape"|"coastal plains"|""|1||"Yes"|24231847|38391833
"Landform"|"interfluves"|""|||"Yes"|24232062|38391879
"Landscape"|"coastal plains"|""|||"Yes"|24232062|38391880
"Landform"|"interfluves"|""|2|1|"Yes"|24232063|38391881
"Landscape"|"coastal plains"|""|1||"Yes"|24232063|38391882
"Landform"|"interfluves"|""|2|1|"Yes"|24232064|38391883
"Landscape"|"coastal plains"|""|1||"Yes"|24232064|38391884
"Landform"|"interfluves"|""|2|1|"Yes"|24232282|38392088
"Landscape"|"coastal plains"|""|1||"Yes"|24232282|38392089
"Landform"|"interfluves"|""|2|1|"Yes"|24232283|38392090
"Landscape"|"coastal plains"|""|1||"Yes"|24232283|38392091
"Landform"|"interfluves"|""|2|1|"Yes"|24232284|38392092
"Landscape"|"coastal plains"|""|1||"Yes"|24232284|38392093
"Landform"|"interfluves"|""|2|1|"Yes"|24232285|38392094
"Landscape"|"coastal plains"|""|1||"Yes"|24232285|38392095
"Landform"|"saddles"|""|||"Yes"|24232352|38392138
"Landscape"|"coastal plains"|""|||"Yes"|24232352|38392139
"Landform"|"stream terraces"|""|2|1|"Yes"|24232353|38392140
"Landscape"|"coastal plains"|""|1||"Yes"|24232353|38392141
"Landform"|"interfluves"|""|2|1|"Yes"|24232410|38392184
"Landscape"|"coastal plains"|""|1||"Yes"|24232410|38392185
"Landform"|"interfluves"|""|2|1|"Yes"|24232411|38392186
"Landscape"|"coastal plains"|""|1||"Yes"|24232411|38392187
"Landform"|"interfluves"|""|2|1|"Yes"|24232412|38392188
"Landscape"|"coastal plains"|""|1||"Yes"|24232412|38392189
"Landform"|"interfluves"|""|2|1|"Yes"|24232413|38392190
"Landscape"|"coastal plains"|""|1||"Yes"|24232413|38392191
"Landform"|"interfluves"|""|2|1|"Yes"|24232247|38392014
"Landscape"|"coastal plains"|""|1||"Yes"|24232247|38392015
"Landform"|"interfluves"|""|2|1|"Yes"|24232248|38392016
"Landscape"|"coastal plains"|""|1||"Yes"|24232248|38392017
"Landform"|"interfluves"|""|2|1|"Yes"|24232249|38392018
"Landscape"|"coastal plains"|""|1||"Yes"|24232249|38392019
"Landform"|"interfluves"|""|2|1|"Yes"|24232250|38392020
"Landscape"|"coastal plains"|""|1||"Yes"|24232250|38392021
"Landform"|"interfluves"|""|2|1|"Yes"|24232251|38392022
"Landscape"|"coastal plains"|""|1||"Yes"|24232251|38392023
"Landform"|"interfluves"|""|2|1|"Yes"|24232252|38392024
"Landscape"|"coastal plains"|""|1||"Yes"|24232252|38392025
"Landform"|"interfluves"|""|2|1|"Yes"|24232369|38392161
"Landscape"|"coastal plains"|""|1||"Yes"|24232369|38392162
"Landform"|"interfluves"|""|2|1|"Yes"|24232370|38392163
"Landscape"|"coastal plains"|""|1||"Yes"|24232370|38392164
"Landform"|"interfluves"|""|2|1|"Yes"|24232371|38392165
"Landscape"|"coastal plains"|""|1||"Yes"|24232371|38392166
"Landform"|"interfluves"|""|2|1|"Yes"|24232372|38392167
"Landscape"|"coastal plains"|""|1||"Yes"|24232372|38392168
"Landform"|"saddles"|""|3|2|"Yes"|24232092|38391900
"Landform"|"interfluves"|""|2|1|"Yes"|24232092|38391899
"Landscape"|"coastal plains"|""|1||"Yes"|24232092|38391901
"Landform"|"interfluves"|""|2|1|"Yes"|24232093|38391902
"Landscape"|"coastal plains"|""|1||"Yes"|24232093|38391903
"Landform"|"stream terraces"|""|2|1|"Yes"|24232094|38391904
"Landscape"|"coastal plains"|""|1||"Yes"|24232094|38391905
"Landform"|"interfluves"|""|2|1|"Yes"|24232193|38391956
"Landscape"|"coastal plains"|""|1||"Yes"|24232193|38391957
"Landform"|"interfluves"|""|2|1|"Yes"|24232194|38391958
"Landscape"|"coastal plains"|""|1||"Yes"|24232194|38391959
"Landform"|"interfluves"|""|2|1|"Yes"|24232195|38391960
"Landscape"|"coastal plains"|""|1||"Yes"|24232195|38391961
"Landform"|"interfluves"|""|2|1|"Yes"|24232253|38392026
"Landscape"|"coastal plains"|""|1||"Yes"|24232253|38392027
"Anthropogenic Feature"|"urban land"|""|3|2|"Yes"|24232254|38392028
"Landform"|"interfluves"|""|2|1|"Yes"|24232254|38392029
"Landscape"|"coastal plains"|""|1||"Yes"|24232254|38392030
"Landform"|"interfluves"|""|2|1|"Yes"|24232255|38392031
"Landscape"|"coastal plains"|""|1||"Yes"|24232255|38392032
"Landform"|"interfluves"|""|2|1|"Yes"|24232256|38392033
"Landscape"|"coastal plains"|""|1||"Yes"|24232256|38392034
"Landform"|"interfluves"|""|2|1|"Yes"|24232257|38392035
"Landscape"|"coastal plains"|""|1||"Yes"|24232257|38392036
"Landform"|"interfluves"|""|2|1|"Yes"|24232258|38392037
"Landscape"|"coastal plains"|""|1||"Yes"|24232258|38392038
"Anthropogenic Feature"|"urban land"|""|3|2|"Yes"|24232259|38392039
"Landform"|"interfluves"|""|2|1|"Yes"|24232259|38392040
"Landscape"|"coastal plains"|""|1||"Yes"|24232259|38392041
"Landform"|"interfluves"|""|2|1|"Yes"|24232244|38392008
"Landscape"|"coastal plains"|""|1||"Yes"|24232244|38392009
"Landform"|"interfluves"|""|2|1|"Yes"|24232245|38392010
"Landscape"|"coastal plains"|""|1||"Yes"|24232245|38392011
"Landform"|"interfluves"|""|2|1|"Yes"|24232246|38392012
"Landscape"|"coastal plains"|""|1||"Yes"|24232246|38392013
"Landform"|"interfluves"|""|2|1|"Yes"|24232414|38392192
"Landscape"|"coastal plains"|""|1||"Yes"|24232414|38392193
"Landform"|"interfluves"|""|2|1|"Yes"|24232415|38392194
"Landscape"|"coastal plains"|""|1||"Yes"|24232415|38392195
"Landform"|"flood plains"|""|2|1|"Yes"|24232260|38392042
"Landscape"|"coastal plains"|""|1||"Yes"|24232260|38392043
"Landform"|"flood plains"|""|2|1|"Yes"|24232261|38392044
"Landscape"|"coastal plains"|""|1||"Yes"|24232261|38392045
"Landform"|"flood plains"|""|2|1|"Yes"|24232262|38392046
"Landscape"|"coastal plains"|""|1||"Yes"|24232262|38392047
"Landform"|"flood plains"|""|2|1|"Yes"|24232263|38392048
"Landscape"|"coastal plains"|""|1||"Yes"|24232263|38392049
"Anthropogenic Feature"|"urban land"|""|3|2|"Yes"|24232225|38391966
