"aashtocl"|"rvindicator"|"chkey"|"chaashtokey"
"A-2-4"|"No "|72025080|117699504
"A-4"|"Yes"|72025080|117699505
"A-6"|"Yes"|72025082|117699507
"A-4"|"No "|72025082|117699508
"A-6"|"Yes"|72025083|117699509
"A-4"|"Yes"|72025081|117699506
"A-4"|"Yes"|72025084|117699510
"A-4"|"No "|72025087|117699516
"A-6"|"Yes"|72025087|117699517
"A-2-4"|"No "|72025085|117699511
"A-6"|"No "|72025085|117699512
"A-4"|"Yes"|72025085|117699513
"A-6"|"No "|72025086|117699514
"A-4"|"Yes"|72025086|117699515
"A-2-4"|"Yes"|72025089|117699520
"A-4"|"No "|72025089|117699521
"A-2-4"|"Yes"|72025090|117699522
"A-2-4"|"Yes"|72025088|117699518
"A-4"|"No "|72025088|117699519
"A-2-4"|"Yes"|72024341|117698218
"A-4"|"No "|72024341|117698219
"A-2-4"|"Yes"|72024343|117698222
"A-4"|"No "|72024343|117698223
"A-2-4"|"Yes"|72024342|117698220
"A-4"|"No "|72024342|117698221
"A-2-4"|"Yes"|72024344|117698224
"A-4"|"No "|72024344|117698225
"A-6"|"Yes"|72024691|117698838
"A-2-4"|"No "|72024691|117698839
"A-4"|"No "|72024694|117698844
"A-6"|"Yes"|72024694|117698845
"A-2-4"|"No "|72024692|117698840
"A-6"|"Yes"|72024692|117698841
"A-2-4"|"No "|72024693|117698842
"A-6"|"Yes"|72024693|117698843
"A-2-4"|"No "|72024689|117698834
"A-4"|"Yes"|72024689|117698835
"A-2-4"|"No "|72024690|117698836
"A-4"|"Yes"|72024690|117698837
"A-2-4"|"Yes"|72025008|117699375
"A-4"|"Yes"|72025006|117699371
"A-6"|"No "|72025006|117699372
"A-2-4"|"Yes"|72025007|117699373
"A-4"|"No "|72025007|117699374
"A-7-6"|"No "|72025102|117699543
"A-7"|"No "|72025102|117699544
"A-6"|"Yes"|72025102|117699545
"A-7-6"|"Yes"|72025103|117699546
"A-6"|"Yes"|72025178|117699673
"A-7-6"|"No "|72025178|117699674
"A-2-4"|"No "|72025178|117699675
"A-7-6"|"Yes"|72025180|117699679
"A-6"|"No "|72025180|117699680
"A-4"|"Yes"|72025181|117699681
"A-2-4"|"No "|72025181|117699682
"A-6"|"Yes"|72025179|117699676
"A-7-6"|"No "|72025179|117699677
"A-2-6"|"No "|72025179|117699678
"A-7-6"|"Yes"|72024967|117699302
"A-6"|"No "|72024967|117699303
"A-6"|"Yes"|72024965|117699296
"A-7-6"|"No "|72024965|117699297
"A-2-4"|"No "|72024965|117699298
"A-2-4"|"Yes"|72024968|117699304
"A-4"|"No "|72024968|117699305
"A-1-b"|"No "|72024968|117699306
"A-7-6"|"No "|72024966|117699299
"A-2-6"|"No "|72024966|117699300
"A-6"|"Yes"|72024966|117699301
"A-4"|"Yes"|72024972|117699315
"A-6"|"Yes"|72024970|117699310
"A-7-6"|"No "|72024970|117699311
"A-2-6"|"No "|72024970|117699312
"A-7-6"|"Yes"|72024971|117699313
"A-6"|"No "|72024971|117699314
"A-6"|"Yes"|72024969|117699307
"A-7-6"|"No "|72024969|117699308
"A-2-4"|"No "|72024969|117699309
"A-2-4"|"Yes"|72025124|117699585
"A-4"|"No "|72025124|117699586
"A-2-4"|"Yes"|72025126|117699590
"A-4"|"No "|72025126|117699591
"A-6"|"Yes"|72025125|117699587
"A-7-6"|"No "|72025125|117699588
"A-2-4"|"No "|72025125|117699589
"A-6"|"Yes"|72024731|117698910
"A-7-6"|"No "|72024731|117698911
"A-6"|"Yes"|72024727|117698901
"A-7-6"|"No "|72024727|117698902
"A-6"|"Yes"|72024728|117698903
"A-4"|"No "|72024728|117698904
"A-7-6"|"No "|72024729|117698905
"A-2-6"|"No "|72024729|117698906
"A-6"|"Yes"|72024729|117698907
"A-7-6"|"No "|72024730|117698908
"A-6"|"Yes"|72024730|117698909
"A-2-4"|"No "|72024904|117699197
"A-6"|"Yes"|72024904|117699198
"A-7-6"|"No "|72024904|117699199
"A-6"|"Yes"|72024905|117699200
"A-2-4"|"No "|72024905|117699201
"A-7-6"|"No "|72024905|117699202
"A-2-4"|"Yes"|72024902|117699195
"A-2-4"|"Yes"|72024903|117699196
"A-2-4"|"Yes"|72024973|117699316
"A-2-4"|"Yes"|72024974|117699317
"A-6"|"Yes"|72024975|117699318
"A-2-4"|"No "|72024975|117699319
"A-6"|"Yes"|72024976|117699320
"A-7-6"|"No "|72024976|117699321
"A-2-4"|"No "|72024976|117699322
"A-2-4"|"Yes"|72024978|117699323
"A-2-4"|"Yes"|72024979|117699324
"A-6"|"Yes"|72024980|117699325
"A-2-4"|"No "|72024980|117699326
"A-6"|"Yes"|72024981|117699327
"A-7-6"|"No "|72024981|117699328
"A-2-4"|"No "|72024981|117699329
"A-7-6"|"Yes"|72024964|117699295
"A-7-6"|"Yes"|72024962|117699293
"A-7-6"|"Yes"|72024963|117699294
"A-4"|"Yes"|72024960|117699291
"A-4"|"Yes"|72024961|117699292
"A-7-6"|"Yes"|72025182|117699683
"A-7-6"|"Yes"|72025183|117699684
"A-7-6"|"Yes"|72025184|117699685
"A-4"|"Yes"|72025185|117699686
"A-4"|"Yes"|72024984|117699333
"A-6"|"No "|72024984|117699334
"A-6"|"Yes"|72024983|117699330
"A-7-6"|"No "|72024983|117699331
"A-4"|"No "|72024983|117699332
"A-4"|"Yes"|72024985|117699335
"A-6"|"No "|72024985|117699336
"A-6"|"Yes"|72024937|117699251
"A-7-6"|"No "|72024937|117699252
"A-4"|"No "|72024937|117699253
"A-4"|"Yes"|72024938|117699254
"A-6"|"No "|72024938|117699255
"A-4"|"Yes"|72024939|117699256
"A-6"|"No "|72024939|117699257
"A-2-4"|"No "|72024698|117698852
"A-4"|"Yes"|72024698|117698853
"A-6"|"No "|72024696|117698847
"A-7-6"|"Yes"|72024696|117698848
"A-2-4"|"No "|72024699|117698854
"A-4"|"Yes"|72024699|117698855
"A-7-6"|"Yes"|72024695|117698846
"A-4"|"No "|72024697|117698849
"A-7-6"|"No "|72024697|117698850
"A-6"|"Yes"|72024697|117698851
"A-7-6"|"Yes"|72025188|117699692
"A-6"|"Yes"|72025186|117699687
"A-7-6"|"No "|72025186|117699688
"A-4"|"No "|72025186|117699689
"A-7-6"|"Yes"|72025187|117699690
"A-6"|"No "|72025187|117699691
"A-4"|"Yes"|72025189|117699693
"A-1-b"|"No "|72025189|117699694
"A-4"|"No "|72024516|117698518
"A-6"|"Yes"|72024516|117698519
"A-7-6"|"Yes"|72024519|117698524
"A-6"|"No "|72024515|117698516
"A-7-6"|"Yes"|72024515|117698517
"A-6"|"No "|72024517|117698520
"A-7-6"|"Yes"|72024517|117698521
"A-7-6"|"No "|72024518|117698522
"A-6"|"Yes"|72024518|117698523
"A-4"|"Yes"|72024747|117698937
"A-7-6"|"Yes"|72024745|117698934
"A-6"|"No "|72024745|117698935
"A-7-6"|"Yes"|72024746|117698936
"A-6"|"Yes"|72024744|117698931
"A-7-6"|"No "|72024744|117698932
"A-4"|"No "|72024744|117698933
"A-7-6"|"Yes"|72024742|117698928
"A-6"|"Yes"|72024740|117698922
"A-7-6"|"No "|72024740|117698923
"A-4"|"No "|72024740|117698924
"A-6"|"Yes"|72024741|117698925
"A-7-6"|"No "|72024741|117698926
"A-4"|"No "|72024741|117698927
"A-4"|"Yes"|72024743|117698929
"A-2-4"|"No "|72024743|117698930
"A-4"|"Yes"|72024723|117698895
"A-2-4"|"No "|72024723|117698896
"A-4"|"No "|72024724|117698897
"A-6"|"Yes"|72024724|117698898
"A-7-6"|"Yes"|72024725|117698899
"A-7-6"|"Yes"|72024726|117698900
"A-7-6"|"No "|72025019|117699393
"A-6"|"Yes"|72025019|117699394
"A-7-6"|"Yes"|72025021|117699396
"A-7-6"|"Yes"|72025020|117699395
"A-6"|"Yes"|72024751|117698940
"A-7-6"|"No "|72024751|117698941
"A-7"|"Yes"|72024749|117698938
"A-7"|"Yes"|72024750|117698939
"A-6"|"Yes"|72024520|117698525
"A-7-6"|"No "|72024520|117698526
"A-2-4"|"No "|72024520|117698527
"A-4"|"No "|72024521|117698528
"A-6"|"Yes"|72024521|117698529
"A-7-6"|"No "|72024521|117698530
"A-2-4"|"Yes"|72024522|117698531
"A-4"|"No "|72024522|117698532
"A-2-4"|"Yes"|72024523|117698533
"A-4"|"No "|72024523|117698534
"A-2-4"|"Yes"|72025191|117699697
"A-4"|"No "|72025191|117699698
"A-6"|"Yes"|72025192|117699699
"A-2-4"|"No "|72025192|117699700
"A-6"|"Yes"|72025193|117699701
"A-4"|"No "|72025193|117699702
"A-2-4"|"Yes"|72025190|117699695
"A-4"|"No "|72025190|117699696
"A-4"|"Yes"|72024940|117699258
"A-6"|"No "|72024940|117699259
"A-4"|"Yes"|72024941|117699260
"A-6"|"No "|72024941|117699261
"A-7-6"|"Yes"|72024273|117698074
"A-6"|"No "|72024273|117698075
"A-6"|"Yes"|72024274|117698076
"A-4"|"No "|72024274|117698077
"A-4"|"Yes"|72024275|117698078
"A-4"|"Yes"|72025195|117699703
"A-2-4"|"No "|72025195|117699704
"A-4"|"Yes"|72025197|117699706
"A-6"|"No "|72025197|117699707
"A-6"|"Yes"|72025196|117699705
"A-6"|"Yes"|72025108|117699554
"A-4"|"No "|72025108|117699555
"A-7-6"|"Yes"|72025111|117699560
"A-6"|"No "|72025109|117699556
"A-7-6"|"Yes"|72025109|117699557
"A-6"|"Yes"|72025110|117699558
"A-7-6"|"No "|72025110|117699559
"A-6"|"No "|72025107|117699552
"A-7-6"|"Yes"|72025107|117699553
"A-4"|"Yes"|72024492|117698475
"A-6"|"No "|72024492|117698476
"A-2-4"|"No "|72024495|117698480
"A-4"|"Yes"|72024495|117698481
"A-4"|"Yes"|72024496|117698482
"A-6"|"No "|72024496|117698483
"A-4"|"No "|72024493|117698477
"A-6"|"Yes"|72024493|117698478
"A-6"|"Yes"|72024494|117698479
"A-2-4"|"No "|72024497|117698484
"A-4"|"Yes"|72024497|117698485
"A-4"|"No "|72024500|117698489
"A-6"|"Yes"|72024500|117698490
"A-4"|"Yes"|72024498|117698486
"A-2-4"|"No "|72024499|117698487
"A-4"|"Yes"|72024499|117698488
"A-7-6"|"Yes"|72024944|117699264
"A-7-6"|"Yes"|72024942|117699262
"A-7-6"|"Yes"|72024943|117699263
"A-7-6"|"Yes"|72024998|117699355
"A-7-5"|"No "|72024998|117699356
"A-2-4"|"Yes"|72024999|117699357
"A-4"|"No "|72024999|117699358
"A-7-6"|"Yes"|72024997|117699353
"A-7-5"|"No "|72024997|117699354
"A-7-6"|"Yes"|72025003|117699365
"A-7-5"|"No "|72025003|117699366
"A-7-6"|"Yes"|72025004|117699367
"A-7-5"|"No "|72025004|117699368
"A-2-4"|"Yes"|72025005|117699369
"A-4"|"No "|72025005|117699370
"A-7-6"|"Yes"|72024958|117699287
"A-7-5"|"No "|72024958|117699288
"A-4"|"Yes"|72024959|117699289
"A-6"|"No "|72024959|117699290
"A-7-6"|"Yes"|72024957|117699285
"A-7-5"|"No "|72024957|117699286
"A-7-6"|"Yes"|72025204|117699718
"A-7-5"|"No "|72025204|117699719
"A-7-6"|"Yes"|72025205|117699720
"A-7-5"|"No "|72025205|117699721
"A-4"|"Yes"|72025206|117699722
