"fragvol_l"|"fragvol_r"|"fragvol_h"|"fragkind"|"fragsize_l"|"fragsize_r"|"fragsize_h"|"fragshp"|"fraground"|"fraghard"|"chkey"|"chfragskey"
0|2|3|"Ironstone nodules"|2|4|5|"Nonflat"|"Subangular"|"Strongly coherent"|72025080|124134843
0|2|3|"Ironstone nodules"|2|4|5|"Nonflat"|"Subangular"|"Strongly coherent"|72025082|124134845
0|1|3|"Ironstone nodules"|5|40|75|"Nonflat"|"Subangular"|"Strongly coherent"|72025083|124134846
0|1|3|"Ironstone nodules"|2|4|5|"Nonflat"|"Subangular"|"Strongly coherent"|72025083|124134847
0|2|3|"Ironstone nodules"|2|4|5|"Nonflat"|"Subangular"|"Strongly coherent"|72025081|124134844
0|2|3|"Ironstone nodules"|2|4|5|"Nonflat"|"Subrounded"|"Strongly coherent"|72025084|124134848
0|2|3|"Ironstone nodules"|2|4|5|"Nonflat"|"Subrounded"|"Strongly coherent"|72025087|124134851
0|2|3|"Ironstone nodules"|2|4|5|"Nonflat"|"Subrounded"|"Strongly coherent"|72025085|124134849
0|2|3|"Ironstone nodules"|2|4|5|"Nonflat"|"Subrounded"|"Strongly coherent"|72025086|124134850
0|1|2|"Ironstone nodules"|2|4|5|"Nonflat"|"Subangular"|"Strongly coherent"|72025089|124134853
0|1|2|"Ironstone nodules"|2|4|5|"Nonflat"|"Subangular"|"Strongly coherent"|72025090|124134854
0|1|2|"Ironstone nodules"|2|4|5|"Nonflat"|"Subangular"|"Strongly coherent"|72025088|124134852
0|2|11|"Ironstone nodules"|5|40|75|"Nonflat"|"Subangular"|"Strongly coherent"|72024691|124134149
0|3|17|"Ironstone nodules"|2|4|5|"Nonflat"|"Subangular"|"Strongly coherent"|72024691|124134150
0|3|6|"Ironstone nodules"|5|40|75|"Nonflat"|"Subangular"|"Strongly coherent"|72024694|124134155
0|4|7|"Ironstone nodules"|2|4|5|"Nonflat"|"Subangular"|"Strongly coherent"|72024694|124134156
0|3|17|"Ironstone nodules"|2|4|5|"Nonflat"|"Subangular"|"Strongly coherent"|72024692|124134151
0|2|11|"Ironstone nodules"|5|40|75|"Nonflat"|"Subangular"|"Strongly coherent"|72024692|124134152
0|3|17|"Ironstone nodules"|2|4|5|"Nonflat"|"Subangular"|"Strongly coherent"|72024693|124134153
0|2|11|"Ironstone nodules"|5|40|75|"Nonflat"|"Subangular"|"Strongly coherent"|72024693|124134154
0|2|3|"Ironstone nodules"|2|4|5|"Nonflat"|"Subangular"|"Strongly coherent"|72024689|124134145
0|1|2|"Ironstone nodules"|5|40|75|"Nonflat"|"Subangular"|"Strongly coherent"|72024689|124134146
0|1|2|"Ironstone nodules"|5|40|75|"Nonflat"|"Subangular"|"Strongly coherent"|72024690|124134147
0|2|3|"Ironstone nodules"|2|4|5|"Nonflat"|"Subangular"|"Strongly coherent"|72024690|124134148
0|2|3|"Ironstone nodules"|2|4|5|"Nonflat"|"Subrounded"|"Very strongly coherent"|72025008|124134733
0|2|3|"Ironstone nodules"|5|40|75|"Nonflat"|"Subrounded"|"Very strongly coherent"|72025008|124134734
0|2|3|"Ironstone nodules"|2|4|5|"Nonflat"|"Subrounded"|"Very strongly coherent"|72025006|124134729
0|2|3|"Ironstone nodules"|5|40|75|"Nonflat"|"Subrounded"|"Very strongly coherent"|72025006|124134730
0|2|3|"Ironstone nodules"|2|4|5|"Nonflat"|"Subrounded"|"Very strongly coherent"|72025007|124134731
0|1|3|"Ironstone nodules"|5|40|75|"Nonflat"|"Subrounded"|"Very strongly coherent"|72025007|124134732
0|3|6|"Ironstone nodules"|2|4|5|"Nonflat"|"Subrounded"|"Strongly coherent"|72025102|124134878
0|1|1|"Ironstone nodules"|5|40|75|"Nonflat"|"Subrounded"|"Strongly coherent"|72025102|124134879
0|5|9|"Ironstone nodules"|2|4|5|"Nonflat"|"Subrounded"|"Strongly coherent"|72025103|124134880
0|2|3|"Ironstone nodules"|5|40|75|"Nonflat"|"Subrounded"|"Strongly coherent"|72025103|124134881
0|5|9|""|5|40|75|""|""|""|72025178|124135019
0|6|11|""|2|4|5|""|""|""|72025178|124135020
0|1|2|""|75|162|250|""|""|""|72025178|124135021
0|7|14|""|2|4|5|""|""|""|72025180|124135025
0|5|9|""|5|40|75|""|""|""|72025180|124135026
0|1|1|""|75|162|250|""|""|""|72025180|124135027
0|5|9|""|5|40|75|""|""|""|72025181|124135028
0|7|13|""|2|4|5|""|""|""|72025181|124135029
0|1|1|""|75|162|250|""|""|""|72025181|124135030
0|6|11|""|2|4|5|""|""|""|72025179|124135022
0|5|9|""|5|40|75|""|""|""|72025179|124135023
0|1|1|""|75|162|250|""|""|""|72025179|124135024
0|7|14|""|2|4|5|""|""|""|72024967|124134644
0|1|1|""|75|162|250|""|""|""|72024967|124134645
0|5|9|""|5|40|75|""|""|""|72024967|124134646
0|5|9|""|5|40|75|""|""|""|72024965|124134638
0|1|2|""|75|162|250|""|""|""|72024965|124134639
0|6|11|""|2|4|5|""|""|""|72024965|124134640
0|1|1|""|250|625|1000|""|""|""|72024968|124134647
0|11|22|""|2|4|5|""|""|""|72024968|124134648
6|15|23|""|5|40|75|""|""|""|72024968|124134649
0|2|3|""|75|162|250|""|""|""|72024968|124134650
0|1|1|""|75|162|250|""|""|""|72024966|124134641
0|5|9|""|5|40|75|""|""|""|72024966|124134642
0|6|11|""|2|4|5|""|""|""|72024966|124134643
0|3|6|""|5|40|75|""|""|""|72024972|124134660
0|5|9|""|2|4|5|""|""|""|72024972|124134661
0|2|3|""|75|162|250|""|""|""|72024972|124134662
0|1|1|""|250|625|1000|""|""|""|72024972|124134663
0|6|11|""|2|4|5|""|""|""|72024970|124134654
0|5|9|""|5|40|75|""|""|""|72024970|124134655
0|2|3|""|75|162|250|""|""|""|72024970|124134656
0|5|9|""|5|40|75|""|""|""|72024971|124134657
0|7|14|""|2|4|5|""|""|""|72024971|124134658
0|2|3|""|75|162|250|""|""|""|72024971|124134659
0|6|11|""|2|4|5|""|""|""|72024969|124134651
0|2|3|""|75|162|250|""|""|""|72024969|124134652
0|5|9|""|5|40|75|""|""|""|72024969|124134653
0|0|3|"Ironstone nodules"|2|4|5|"Nonflat"|"Subangular"|"Strongly coherent"|72025124|124134916
0|0|1|"Ironstone nodules"|75|162|250|"Nonflat"|"Subangular"|"Strongly coherent"|72025124|124134917
0|0|3|"Ironstone nodules"|5|40|75|"Nonflat"|"Subangular"|"Strongly coherent"|72025124|124134918
0|0|3|"Ironstone nodules"|2|4|5|"Nonflat"|"Subangular"|"Strongly coherent"|72025126|124134921
0|0|1|"Ironstone nodules"|75|162|250|"Nonflat"|"Subangular"|"Strongly coherent"|72025126|124134922
0|0|3|"Ironstone nodules"|5|40|75|"Nonflat"|"Subangular"|"Strongly coherent"|72025126|124134923
0|0|3|"Ironstone nodules"|2|4|5|"Nonflat"|"Subangular"|"Strongly coherent"|72025125|124134919
0|0|3|"Ironstone nodules"|5|40|75|"Nonflat"|"Subangular"|"Strongly coherent"|72025125|124134920
0|5|9|""|2|4|5|""|""|""|72024731|124134226
0|2|3|""|5|40|75|""|""|""|72024731|124134227
0|2|3|""|5|40|75|""|""|""|72024727|124134216
0|5|9|""|2|4|5|""|""|""|72024727|124134217
0|3|6|""|2|4|5|""|""|""|72024728|124134218
