"structgrpname"|"rvindicator"|"chkey"|"chstructgrpkey"
"weak medium subangular blocky structure"|"Yes"|72025080|42386491
"weak coarse prismatic structure"|"Yes"|72025082|42386551
"weak medium subangular blocky structure"|"Yes"|72025083|42386578
"weak fine granular structure"|"Yes"|72025081|42386577
"weak medium granular structure"|"Yes"|72025084|42386579
"weak coarse prismatic structure parts to weak medium subangular blocky structure"|"Yes"|72025087|42385818
"weak medium subangular blocky structure"|"Yes"|72025085|42386580
"weak medium prismatic structure parts to moderate medium subangular blocky structure"|"Yes"|72025086|42386552
"weak fine granular structure"|"Yes"|72025089|42386490
"weak fine granular structure"|"Yes"|72025090|42386550
"weak fine granular structure"|"Yes"|72025088|42386406
"weak fine granular structure"|"Yes"|72024341|42386265
"weak fine granular structure"|"Yes"|72024343|42386202
"weak medium subangular blocky structure"|"Yes"|72024342|42386266
"weak fine subangular blocky structure"|"Yes"|72024344|42386342
"moderate medium subangular blocky structure"|"Yes"|72024691|42386048
"moderate medium subangular blocky structure"|"Yes"|72024694|42386047
"moderate medium subangular blocky structure"|"Yes"|72024692|42386224
"moderate medium subangular blocky structure"|"Yes"|72024693|42386164
"weak fine granular structure"|"Yes"|72024689|42386046
"weak fine granular structure"|"Yes"|72024690|42385827
"weak fine granular structure"|"Yes"|72025008|42386545
"weak medium subangular blocky structure"|"Yes"|72025006|42386472
"weak fine granular structure"|"Yes"|72025007|42386471
"moderate medium subangular blocky structure"|"Yes"|72025102|42386395
"moderate medium subangular blocky structure"|"Yes"|72025103|42386462
"weak fine granular structure"|"Yes"|72025124|42386400
"weak fine granular structure"|"Yes"|72025126|42386399
"moderate medium subangular blocky structure"|"Yes"|72025125|42386401
"weak fine subangular blocky structure"|"Yes"|72024904|42386190
"weak fine subangular blocky structure"|"Yes"|72024905|42386251
"structureless single grain structure"|"Yes"|72024902|42386189
"structureless single grain structure"|"Yes"|72024903|42386250
"structureless massive"|"Yes"|72024964|42386581
"moderate medium prismatic structure parts to weak medium subangular blocky structure"|"Yes"|72024962|42386494
"moderate medium prismatic structure parts to weak medium subangular blocky structure"|"Yes"|72024963|42386557
"moderate medium granular structure"|"Yes"|72024960|42386556
"moderate medium granular structure"|"Yes"|72024961|42386582
"weak fine granular structure"|"Yes"|72024698|42386101
"moderate coarse subangular blocky structure"|"Yes"|72024696|42386103
"weak fine granular structure"|"Yes"|72024699|42386287
"moderate medium subangular blocky structure"|"Yes"|72024695|42386102
"structureless massive structure"|"Yes"|72024697|42386104
"moderate medium subangular blocky structure"|"Yes"|72024516|42386252
"structureless massive structure"|"Yes"|72024519|42386129
"weak medium subangular blocky structure"|"Yes"|72024515|42386191
"strong medium subangular blocky structure"|"Yes"|72024517|42386192
"moderate medium subangular blocky structure"|"Yes"|72024518|42386253
"weak medium granular structure"|"Yes"|72024723|42386163
"moderate medium subangular blocky structure"|"Yes"|72024724|42386223
"moderate medium subangular blocky structure"|"Yes"|72024725|42386280
"moderate medium subangular blocky structure"|"Yes"|72024726|42386281
"weak medium subangular blocky structure"|"Yes"|72025019|42386477
"weak medium angular blocky structure"|"Yes"|72025021|42386479
"structureless massive structure"|"Yes"|72025020|42386478
"weak medium subangular blocky structure"|"Yes"|72024520|42386156
"weak medium subangular blocky structure"|"Yes"|72024521|42386217
"weak medium granular structure"|"Yes"|72024522|42386073
"structureless single grain structure"|"Yes"|72024523|42386074
"moderate medium subangular blocky structure"|"Yes"|72025108|42386473
"structureless massive structure"|"Yes"|72025111|42386547
"strong medium subangular blocky structure"|"Yes"|72025109|42386546
"moderate medium subangular blocky structure"|"Yes"|72025110|42386487
"weak medium subangular blocky structure"|"Yes"|72025107|42386576
"weak fine granular structure"|"Yes"|72024492|42386197
"structureless massive structure"|"Yes"|72024495|42386259
"weak medium subangular blocky structure"|"Yes"|72024496|42386260
"moderate medium subangular blocky structure"|"Yes"|72024493|42386258
"weak medium subangular blocky structure"|"Yes"|72024494|42386198
"weak medium granular structure"|"Yes"|72024497|42386298
"weak coarse prismatic structure parts to weak medium subangular blocky structure"|"Yes"|72024500|42386301
"weak medium prismatic structure parts to moderate medium subangular blocky structure"|"Yes"|72024498|42386300
"weak medium subangular blocky structure"|"Yes"|72024499|42386299
"structureless massive structure"|"Yes"|72024765|42385992
"moderate fine subangular blocky structure"|"Yes"|72025104|42385851
"weak fine subangular blocky structure"|"Yes"|72025105|42385997
"massive"|"Yes"|72025106|42385998
"single grain"|"Yes"|72024535|42386126
"single grain"|"Yes"|72024536|42386353
"weak medium subangular blocky structure"|"Yes"|72024533|42386127
"moderate medium prismatic structure, and weak medium subangular blocky structure"|"Yes"|72024534|42386128
"weak medium subangular blocky structure"|"Yes"|72024532|42386187
"moderate medium subangular blocky structure, and structureless massive structure"|"Yes"|72025175|42386194
"weak medium platy structure, and structureless massive structure"|"Yes"|72025174|42386255
"moderate medium subangular blocky structure"|"Yes"|72025176|42386130
"strong medium subangular blocky structure"|"Yes"|72025177|42386131
"weak fine subangular blocky structure"|"Yes"|72025172|42386254
"weak fine subangular blocky structure"|"Yes"|72025173|42386193
"strong medium angular blocky structure"|"Yes"|72025224|42386002
"strong medium angular blocky structure"|"Yes"|72025225|42386003
"weak medium granular structure"|"Yes"|72025221|42386005
"weak medium angular blocky structure"|"Yes"|72025223|42385929
"weak thin platy structure"|"Yes"|72025222|42385780
"weak fine subangular blocky structure"|"Yes"|72025220|42386004
"structureless single grain structure"|"Yes"|72025128|42385928
"weak medium granular structure"|"Yes"|72025127|42385853
"weak medium subangular blocky structure"|"Yes"|72025130|42385779
"structureless massive structure"|"Yes"|72025129|42385852
"weak fine granular structure"|"Yes"|72024330|42386279
"weak very coarse prismatic structure, and weak coarse prismatic structure parts to structureless single grain structure"|"Yes"|72024331|42386161
"weak fine subangular blocky structure"|"Yes"|72024910|42386236
"moderate coarse prismatic structure parts to moderate fine subangular blocky structure"|"Yes"|72024911|42386178
"moderate fine subangular blocky structure"|"Yes"|72025097|42385781
"structureless massive structure"|"Yes"|72025096|42385930
"weak fine granular structure"|"Yes"|72025098|42385854
"structureless massive structure"|"Yes"|72025095|42385855
"weak medium subangular blocky structure"|"Yes"|72024561|42386553
"moderate medium subangular blocky structure"|"Yes"|72024562|42386492
"structureless massive structure"|"Yes"|72024560|42386483
"structureless massive structure"|"Yes"|72024564|42386480
"weak medium subangular blocky structure"|"Yes"|72024565|42386481
"moderate medium subangular blocky structure"|"Yes"|72024563|42386482
"weak coarse prismatic structure"|"Yes"|72025207|42385920
"moderate fine and medium granular structure"|"Yes"|72025209|42386141
"moderate medium subangular blocky structure"|"Yes"|72025208|42385919
"moderate medium subangular blocky structure"|"Yes"|72024350|42386256
"weak medium subangular blocky structure"|"Yes"|72024351|42386196
"moderate medium granular structure"|"Yes"|72024352|42386132
"weak fine granular structure"|"Yes"|72024353|42386257
"structureless massive structure"|"Yes"|72024354|42386195
"moderate coarse prismatic structure parts to moderate fine subangular blocky structure"|"Yes"|72025010|42386488
"weak fine subangular blocky structure"|"Yes"|72025009|42386404
"weak fine granular structure"|"Yes"|72025112|42386548
"weak coarse prismatic structure"|"Yes"|72025114|42386405
"weak medium subangular blocky structure"|"Yes"|72025115|42386549
"weak medium subangular blocky structure"|"Yes"|72025113|42386489
"structureless massive structure"|"Yes"|72024768|42386555
"weak medium platy structure, and weak medium subangular blocky structure"|"Yes"|72024769|42386485
"weak medium subangular blocky structure"|"Yes"|72024766|42386554
"weak medium granular structure"|"Yes"|72024767|42386493
"moderate medium prismatic structure parts to weak medium subangular blocky structure"|"Yes"|72024770|42386484
"moderate fine angular blocky structure"|"Yes"|72025148|42386378
"structureless massive structure"|"Yes"|72025146|42386380
"weak medium subangular blocky structure"|"Yes"|72025145|42386444
"weak medium subangular blocky structure"|"Yes"|72025147|42386379
"moderate medium prismatic structure parts to moderate coarse subangular blocky structure"|"Yes"|72025151|42386445
"moderate medium prismatic structure"|"Yes"|72025155|42386568
