"texture"|"stratextsflag"|"rvindicator"|"texdesc"|"chkey"|"chtgkey"
"FSL"|"No "|"Yes"|"Fine sandy loam"|72025080|145640672
"VFSL"|"No "|"No "|"Very fine sandy loam"|72025080|145640673
"L"|"No "|"No "|"Loam"|72025080|145640674
"FSL"|"No "|"No "|"Fine sandy loam"|72025082|145640676
"L"|"No "|"No "|"Loam"|72025082|145640677
"SCL"|"No "|"Yes"|"Sandy clay loam"|72025082|145640678
"L"|"No "|"No "|"Loam"|72025083|145640679
"SCL"|"No "|"Yes"|"Sandy clay loam"|72025083|145640680
"CL"|"No "|"No "|"Clay loam"|72025083|145640681
"FSL"|"No "|"Yes"|"Fine sandy loam"|72025081|145640675
"FSL"|"No "|"Yes"|"Fine sandy loam"|72025084|145640682
"SCL"|"No "|"No "|"Sandy clay loam"|72025087|145640688
"L"|"No "|"Yes"|"Loam"|72025087|145640689
"VFSL"|"No "|"No "|"Very fine sandy loam"|72025085|145640683
"L"|"No "|"No "|"Loam"|72025085|145640684
"FSL"|"No "|"Yes"|"Fine sandy loam"|72025085|145640685
"FSL"|"No "|"No "|"Fine sandy loam"|72025086|145640686
"L"|"No "|"Yes"|"Loam"|72025086|145640687
"FS"|"No "|"No "|"Fine sand"|72025089|145640692
"LFS"|"No "|"Yes"|"Loamy fine sand"|72025089|145640693
"FSL"|"No "|"No "|"Fine sandy loam"|72025089|145640694
"LFS"|"No "|"Yes"|"Loamy fine sand"|72025090|145640695
"FS"|"No "|"No "|"Fine sand"|72025090|145640696
"LFS"|"No "|"Yes"|"Loamy fine sand"|72025088|145640690
"FS"|"No "|"No "|"Fine sand"|72025088|145640691
"LFS"|"No "|"Yes"|"Loamy fine sand"|72024341|145639158
"LFS"|"No "|"Yes"|"Loamy fine sand"|72024343|145639162
"FS"|"No "|"No "|"Fine sand"|72024343|145639163
"LFS"|"No "|"Yes"|"Loamy fine sand"|72024342|145639159
"FSL"|"No "|"No "|"Fine sandy loam"|72024342|145639160
"FS"|"No "|"No "|"Fine sand"|72024342|145639161
"LFS"|"No "|"Yes"|"Loamy fine sand"|72024344|145639164
"FS"|"No "|"No "|"Fine sand"|72024344|145639165
"FSL"|"No "|"No "|"Fine sandy loam"|72024344|145639166
"SCL"|"No "|"Yes"|"Sandy clay loam"|72024691|145639860
"CL"|"No "|"No "|"Clay loam"|72024691|145639861
"FSL"|"No "|"No "|"Fine sandy loam"|72024691|145639862
"SCL"|"No "|"Yes"|"Sandy clay loam"|72024694|145639869
"CL"|"No "|"No "|"Clay loam"|72024694|145639870
"FSL"|"No "|"No "|"Fine sandy loam"|72024694|145639871
"SCL"|"No "|"Yes"|"Sandy clay loam"|72024692|145639863
"CL"|"No "|"No "|"Clay loam"|72024692|145639864
"FSL"|"No "|"No "|"Fine sandy loam"|72024692|145639865
"SCL"|"No "|"Yes"|"Sandy clay loam"|72024693|145639866
"CL"|"No "|"No "|"Clay loam"|72024693|145639867
"FSL"|"No "|"No "|"Fine sandy loam"|72024693|145639868
"FSL"|"No "|"Yes"|"Fine sandy loam"|72024689|145639858
"FSL"|"No "|"Yes"|"Fine sandy loam"|72024690|145639859
"LFS"|"No "|"Yes"|"Loamy fine sand"|72025008|145640502
"FSL"|"No "|"No "|"Fine sandy loam"|72025008|145640503
"SCL"|"No "|"Yes"|"Sandy clay loam"|72025006|145640498
"FSL"|"No "|"No "|"Fine sandy loam"|72025006|145640499
"LFS"|"No "|"Yes"|"Loamy fine sand"|72025007|145640500
"FSL"|"No "|"No "|"Fine sandy loam"|72025007|145640501
"CL"|"No "|"Yes"|"Clay loam"|72025102|145640725
"CL"|"No "|"No "|"Clay loam"|72025103|145640726
"SCL"|"No "|"No "|"Sandy clay loam"|72025103|145640727
"C"|"No "|"Yes"|"Clay"|72025103|145640728
"SCL"|"No "|"Yes"|"Sandy clay loam"|72025178|145640894
"SC"|"No "|"No "|"Sandy clay"|72025180|145640898
"SCL"|"No "|"No "|"Sandy clay loam"|72025180|145640899
