"monthseq"|"month"|"flodfreqcl"|"floddurcl"|"pondfreqcl"|"ponddurcl"|"ponddep_l"|"ponddep_r"|"ponddep_h"|"dlyavgprecip_l"|"dlyavgprecip_r"|"dlyavgprecip_h"|"dlyavgpotet_l"|"dlyavgpotet_r"|"dlyavgpotet_h"|"cokey"|"comonthkey"
1|"January"|"None"|""|"None"|""||||||||||24232334|253293716
2|"February"|"None"|""|"None"|""||||||||||24232334|253293708
4|"April"|"None"|""|"None"|""||||||||||24232334|253293707
3|"March"|"None"|""|"None"|""||||||||||24232334|253293715
5|"May"|"None"|""|"None"|""||||||||||24232334|253293711
6|"June"|"None"|""|"None"|""||||||||||24232334|253293717
7|"July"|"None"|""|"None"|""||||||||||24232334|253293706
8|"August"|"None"|""|"None"|""||||||||||24232334|253293709
9|"September"|"None"|""|"None"|""||||||||||24232334|253293710
10|"October"|"None"|""|"None"|""||||||||||24232334|253293713
11|"November"|"None"|""|"None"|""||||||||||24232334|253293712
12|"December"|"None"|""|"None"|""||||||||||24232334|253293714
1|"January"|"None"|""|"None"|""||||||||||24232335|253293721
2|"February"|"None"|""|"None"|""||||||||||24232335|253293724
4|"April"|"None"|""|"None"|""||||||||||24232335|253293729
3|"March"|"None"|""|"None"|""||||||||||24232335|253293719
5|"May"|"None"|""|"None"|""||||||||||24232335|253293718
6|"June"|"None"|""|"None"|""||||||||||24232335|253293722
7|"July"|"None"|""|"None"|""||||||||||24232335|253293728
8|"August"|"None"|""|"None"|""||||||||||24232335|253293725
9|"September"|"None"|""|"None"|""||||||||||24232335|253293727
10|"October"|"None"|""|"None"|""||||||||||24232335|253293726
11|"November"|"None"|""|"None"|""||||||||||24232335|253293723
12|"December"|"None"|""|"None"|""||||||||||24232335|253293720
1|"January"|"None"|""|"None"|""||||||||||24232336|253293731
2|"February"|"None"|""|"None"|""||||||||||24232336|253293737
4|"April"|"None"|""|"None"|""||||||||||24232336|253293739
3|"March"|"None"|""|"None"|""||||||||||24232336|253293736
5|"May"|"None"|""|"None"|""||||||||||24232336|253293735
6|"June"|"None"|""|"None"|""||||||||||24232336|253293732
7|"July"|"None"|""|"None"|""||||||||||24232336|253293738
8|"August"|"None"|""|"None"|""||||||||||24232336|253293741
9|"September"|"None"|""|"None"|""||||||||||24232336|253293740
10|"October"|"None"|""|"None"|""||||||||||24232336|253293734
11|"November"|"None"|""|"None"|""||||||||||24232336|253293730
12|"December"|"None"|""|"None"|""||||||||||24232336|253293733
12|"December"|"None"|""|"Occasional"|"Brief (2 to 7 days)"|0|15|30|||||||24232337|253293753
11|"November"|"None"|""|"Occasional"|"Brief (2 to 7 days)"|0|15|30|||||||24232337|253293752
10|"October"|"None"|""|"Occasional"|"Brief (2 to 7 days)"|0|15|30|||||||24232337|253293751
9|"September"|"None"|""|"Occasional"|"Brief (2 to 7 days)"|0|15|30|||||||24232337|253293750
8|"August"|"None"|""|"Occasional"|"Brief (2 to 7 days)"|0|15|30|||||||24232337|253293749
7|"July"|"None"|""|"Occasional"|"Brief (2 to 7 days)"|0|15|30|||||||24232337|253293748
6|"June"|"None"|""|"Occasional"|"Brief (2 to 7 days)"|0|15|30|||||||24232337|253293747
5|"May"|"None"|""|"Occasional"|"Brief (2 to 7 days)"|0|15|30|||||||24232337|253293746
3|"March"|"None"|""|"Occasional"|"Brief (2 to 7 days)"|0|15|30|||||||24232337|253293744
4|"April"|"None"|""|"Occasional"|"Brief (2 to 7 days)"|0|15|30|||||||24232337|253293745
2|"February"|"None"|""|"Occasional"|"Brief (2 to 7 days)"|0|15|30|||||||24232337|253293743
1|"January"|"None"|""|"Occasional"|"Brief (2 to 7 days)"|0|15|30|||||||24232337|253293742
1|"January"|"None"|""|"None"|""||||||||||24232338|253293758
2|"February"|"None"|""|"None"|""||||||||||24232338|253293759
4|"April"|"None"|""|"None"|""||||||||||24232338|253293761
3|"March"|"None"|""|"None"|""||||||||||24232338|253293760
5|"May"|"None"|""|"None"|""||||||||||24232338|253293762
6|"June"|"None"|""|"None"|""||||||||||24232338|253293754
7|"July"|"None"|""|"None"|""||||||||||24232338|253293755
8|"August"|"None"|""|"None"|""||||||||||24232338|253293756
9|"September"|"None"|""|"None"|""||||||||||24232338|253293757
10|"October"|"None"|""|"None"|""||||||||||24232338|253293763
11|"November"|"None"|""|"None"|""||||||||||24232338|253293764
12|"December"|"None"|""|"None"|""||||||||||24232338|253293765
1|"January"|"None"|""|"None"|""||||||||||24232339|253293776
2|"February"|"None"|""|"None"|""||||||||||24232339|253293769
4|"April"|"None"|""|"None"|""||||||||||24232339|253293766
3|"March"|"None"|""|"None"|""||||||||||24232339|253293770
5|"May"|"None"|""|"None"|""||||||||||24232339|253293772
6|"June"|"None"|""|"None"|""||||||||||24232339|253293777
7|"July"|"None"|""|"None"|""||||||||||24232339|253293771
8|"August"|"None"|""|"None"|""||||||||||24232339|253293767
9|"September"|"None"|""|"None"|""||||||||||24232339|253293773
10|"October"|"None"|""|"None"|""||||||||||24232339|253293774
