"pmorder"|"pmmodifier"|"pmgenmod"|"pmkind"|"pmorigin"|"copmgrpkey"|"copmkey"
|"Loamy"|""|"Alluvium"|""|18044939|25650271
|"Loamy"|""|"Alluvium"|""|18044940|25650272
|"Sandy"|""|"Alluvium"|""|18044941|25650273
|"Loamy"|""|"Alluvium"|""|18044942|25650274
|"Loamy"|""|"Alluvium"|""|18044943|25650275
|"Sandy"|""|"Marine deposits"|""|18044944|25650276
|"Loamy"|""|"Marine deposits"|""|18044945|25650277
|"Sandy"|""|"Marine deposits"|""|18044946|25650278
|"Sandy and loamy"|""|"Fluviomarine deposits"|""|18044947|25650279
|"Loamy"|""|"Alluvium"|""|18044499|25649758
|"Sandy"|""|"Alluvium"|""|18044500|25649759
|"Loamy"|""|"Marine deposits"|""|18044689|25649983
|"Loamy"|""|"Marine deposits"|""|18044690|25649984
|"Clayey"|""|"Fluviomarine deposits"|""|18044691|25649985
|"Sandy"|""|"Marine deposits"|""|18044888|25650211
|"Loamy"|""|"Marine deposits"|""|18044889|25650212
|"Sandy"|""|"Marine deposits"|""|18044890|25650213
|"Clayey"|""|"Marine deposits"|""|18044891|25650214
|"Loamy"|""|"Marine deposits"|""|18044958|25650294
2|"Loamy"|""|"Alluvium"|""|18044959|25650296
1|"Loamy"|""|"Colluvium"|""|18044959|25650295
|"Clayey"|""|"Residuum"|"Sandstone and shale"|18045016|25650361
|"Sandy"|""|"Marine deposits"|""|18045017|25650362
|"Clayey"|""|"Marine deposits"|""|18045018|25650363
|"Clayey"|""|"Fluviomarine deposits"|""|18045019|25650364
|"Clayey"|""|"Residuum"|"Sandstone and shale"|18044853|25650175
|"Clayey"|""|"Marine deposits"|""|18044854|25650176
|"Clayey"|""|"Fluviomarine deposits"|""|18044855|25650177
|"Clayey"|""|"Residuum"|"Sandstone and shale"|18044856|25650178
|"Clayey"|""|"Marine deposits"|""|18044857|25650179
|"Clayey"|""|"Fluviomarine deposits"|""|18044858|25650180
1|""|"sandy and loamy"|"Marine deposits"|""|18044975|25650316
|"Sandy"|""|"Marine deposits"|""|18044976|25650317
1|""|"sandy and loamy"|"Marine deposits"|""|18044977|25650318
|"Clayey"|""|"Marine deposits"|""|18044978|25650319
|"Loamy"|""|"Residuum"|"Glauconitic sandstone"|18044719|25650020
|"Clayey"|"glauconitic"|"Marine deposits"|""|18044720|25650021
|"Clayey"|""|"Alluvium"|""|18044721|25650022
1|""|"sandy and loamy"|"Marine deposits"|""|18044799|25650112
|"Sandy"|""|"Marine deposits"|""|18044800|25650113
1|""|"sandy and loamy"|"Marine deposits"|""|18044801|25650114
|"Loamy"|""|"Residuum"|"Sandstone and shale"|18044859|25650181
|"Loamy"|""|"Residuum"|"Sandstone and shale"|18044860|25650182
|"Sandy"|""|"Fluviomarine deposits"|""|18044861|25650184
|"Loamy"|""|"Fluviomarine deposits"|""|18044861|25650183
1|""|"sandy and loamy"|"Marine deposits"|""|18044862|25650185
|"Loamy"|""|"Residuum"|"Sandstone and shale"|18044863|25650186
|"Sandy"|""|"Marine deposits"|""|18044864|25650187
|"Loamy"|""|"Residuum"|"Sandstone and shale"|18044865|25650188
|"Clayey"|""|"Residuum"|"Sandstone and shale"|18044850|25650172
|"Clayey"|""|"Residuum"|"Sandstone and shale"|18044851|25650173
|"Clayey"|""|"Residuum"|"Sandstone and shale"|18044852|25650174
|"Clayey"|""|"Residuum"|"Sandstone and shale"|18045020|25650365
|"Clayey"|""|"Residuum"|"Sandstone and shale"|18045021|25650366
|"Loamy"|""|"Alluvium"|""|18044866|25650189
|"Loamy"|""|"Alluvium"|""|18044867|25650190
|"Clayey"|""|"Alluvium"|""|18044868|25650191
|"Loamy"|""|"Alluvium"|""|18044869|25650192
|"Loamy"|""|"Alluvium"|""|18044831|25650152
|"Loamy"|""|"Alluvium"|""|18044832|25650153
|"Clayey"|""|"Alluvium"|""|18044833|25650154
|"Clayey"|""|"Fluviomarine deposits"|""|18044692|25649986
|"Loamy"|""|"Marine deposits"|""|18044693|25649987
|"Clayey"|""|"Residuum"|"Sandstone and shale"|18045022|25650367
|"Clayey"|""|"Residuum"|"Sandstone and shale"|18045023|25650368
|"Clayey"|"glauconitic"|"Marine deposits"|""|18044586|25649858
|"Loamy"|"glauconitic"|"Marine deposits"|""|18044587|25649859
|"Clayey"|""|"Alluvium"|""|18044588|25649860
|"Clayey"|""|"Residuum"|"Sandstone and shale"|18044731|25650033
|"Clayey"|""|"Marine deposits"|""|18044732|25650034
|"Clayey"|""|"Residuum"|"Sandstone and shale"|18044733|25650035
|"Loamy"|""|"Marine deposits"|""|18044734|25650036
|"Clayey"|""|"Residuum"|"Sandstone and shale"|18044729|25650031
|"Clayey"|""|"Residuum"|"Sandstone and shale"|18044730|25650032
|"Clayey"|""|"Marine deposits"|""|18044716|25650016
|"Loamy"|""|"Marine deposits"|""|18044717|25650017
1|"Loamy"|""|"Marine deposits"|""|18044718|25650018
2|"Clayey"|""|"Marine deposits"|""|18044718|25650019
|"Clayey"|""|"Residuum"|"Sandstone and shale"|18044904|25650228
|"Clayey"|""|"Residuum"|"Sandstone and shale"|18044905|25650229
|"Clayey"|""|"Residuum"|"Sandstone and shale"|18044906|25650230
|"Clayey"|""|"Residuum"|"Sandstone and shale"|18044735|25650037
|"Clayey"|""|"Residuum"|"Sandstone and shale"|18044736|25650038
|"Sandy"|""|"Marine deposits"|""|18044589|25649861
|"Loamy"|""|"Marine deposits"|""|18044589|25649862
|"Sandy"|""|"Marine deposits"|""|18044590|25649863
|"Loamy"|""|"Marine deposits"|""|18044590|25649864
|"Loamy"|""|"Residuum"|"Sandstone and shale"|18044591|25649865
|"Loamy"|""|"Residuum"|"Sandstone and shale"|18045024|25650369
|"Loamy"|""|"Marine deposits"|""|18045025|25650371
|"Sandy"|""|"Marine deposits"|""|18045025|25650370
|"Loamy"|""|"Marine deposits"|""|18045026|25650372
|"Loamy"|""|"Residuum"|"Sandstone and shale"|18045027|25650373
|"Loamy"|""|"Alluvium"|""|18044834|25650155
|"Loamy"|""|"Alluvium"|""|18044835|25650156
|"Loamy"|""|"Alluvium"|""|18044449|25649694
|"Loamy"|""|"Alluvium"|""|18044450|25649695
|"Loamy"|""|"Alluvium"|""|18045028|25650374
|"Clayey"|""|"Residuum"|"Glauconitic sandstone"|18045029|25650375
|"Loamy"|"glauconitic"|"Marine deposits"|""|18044962|25650299
|"Clayey"|"glauconitic"|"Marine deposits"|""|18044963|25650300
|"Clayey"|""|"Alluvium"|""|18044964|25650301
|"Sandy"|""|"Alluvium"|""|18044577|25649848
|"Loamy"|""|"Alluvium"|""|18044578|25649849
|"Loamy"|""|"Alluvium"|""|18044579|25649850
|"Clayey"|""|"Residuum"|"Sandstone and shale"|18044836|25650157
|"Clayey"|""|"Residuum"|"Sandstone and shale"|18044837|25650158
|"Clayey"|""|"Residuum"|"Glauconitic sandstone"|18044879|25650202
