"pmgroupname"|"rvindicator"|"cokey"|"copmgrpkey"
"loamy alluvium"|"Yes"|24232334|18044939
"loamy alluvium"|"Yes"|24232335|18044940
"sandy alluvium"|"Yes"|24232336|18044941
"loamy alluvium"|"Yes"|24232337|18044942
"loamy alluvium"|"Yes"|24232338|18044943
"sandy marine deposits"|"Yes"|24232339|18044944
"loamy marine deposits"|"Yes"|24232340|18044945
"sandy marine deposits"|"No "|24232341|18044946
"sandy and loamy fluviomarine deposits"|"Yes"|24232341|18044947
"loamy alluvium"|"Yes"|24231846|18044499
"sandy alluvium"|"Yes"|24231847|18044500
"loamy marine deposits"|"Yes"|24232062|18044689
"loamy marine deposits"|"Yes"|24232063|18044690
"clayey fluviomarine deposits"|"Yes"|24232064|18044691
"sandy marine deposits"|"Yes"|24232282|18044888
"loamy marine deposits"|"Yes"|24232283|18044889
"sandy marine deposits"|"Yes"|24232284|18044890
"clayey marine deposits"|"Yes"|24232285|18044891
"loamy marine deposits"|"Yes"|24232352|18044958
"loamy alluvium and/or loamy colluvium"|"Yes"|24232353|18044959
"clayey residuum weathered from sandstone and shale"|"Yes"|24232410|18045016
"sandy marine deposits"|"Yes"|24232411|18045017
"clayey marine deposits"|"Yes"|24232412|18045018
"clayey fluviomarine deposits"|"Yes"|24232413|18045019
"clayey residuum weathered from sandstone and shale"|"Yes"|24232247|18044853
"clayey marine deposits"|"Yes"|24232248|18044854
"clayey fluviomarine deposits"|"Yes"|24232249|18044855
"clayey residuum weathered from sandstone and shale"|"Yes"|24232250|18044856
"clayey marine deposits"|"Yes"|24232251|18044857
"clayey fluviomarine deposits"|"Yes"|24232252|18044858
"sandy and loamy marine deposits"|"Yes"|24232369|18044975
"sandy marine deposits"|"Yes"|24232370|18044976
"sandy and loamy marine deposits"|"Yes"|24232371|18044977
"clayey marine deposits"|"Yes"|24232372|18044978
"loamy residuum weathered from glauconitic sandstone"|"Yes"|24232092|18044719
"glauconitic clayey marine deposits"|"Yes"|24232093|18044720
"clayey alluvium"|"Yes"|24232094|18044721
"sandy and loamy marine deposits"|"Yes"|24232193|18044799
"sandy marine deposits"|"Yes"|24232194|18044800
"sandy and loamy marine deposits"|"Yes"|24232195|18044801
"loamy residuum weathered from sandstone and shale"|"Yes"|24232253|18044859
"loamy residuum weathered from sandstone and shale"|"Yes"|24232254|18044860
"loamy fluviomarine deposits and/or sandy fluviomarine deposits"|"Yes"|24232255|18044861
"sandy and loamy marine deposits"|"Yes"|24232256|18044862
"loamy residuum weathered from sandstone and shale"|"Yes"|24232257|18044863
"sandy marine deposits"|"Yes"|24232258|18044864
"loamy residuum weathered from sandstone and shale"|"Yes"|24232259|18044865
"clayey residuum weathered from sandstone and shale"|"Yes"|24232244|18044850
"clayey residuum weathered from sandstone and shale"|"Yes"|24232245|18044851
"clayey residuum weathered from sandstone and shale"|"Yes"|24232246|18044852
"clayey residuum weathered from sandstone and shale"|"Yes"|24232414|18045020
"clayey residuum weathered from sandstone and shale"|"Yes"|24232415|18045021
"loamy alluvium"|"Yes"|24232260|18044866
"loamy alluvium"|"Yes"|24232261|18044867
"clayey alluvium"|"Yes"|24232262|18044868
"loamy alluvium"|"Yes"|24232263|18044869
"loamy alluvium"|"Yes"|24232225|18044831
"loamy alluvium"|"Yes"|24232226|18044832
"clayey alluvium"|"Yes"|24232227|18044833
"clayey fluviomarine deposits"|"Yes"|24232065|18044692
"loamy marine deposits"|"Yes"|24232066|18044693
"clayey residuum weathered from sandstone and shale"|"Yes"|24232416|18045022
"clayey residuum weathered from sandstone and shale"|"Yes"|24232417|18045023
"glauconitic clayey marine deposits"|"Yes"|24231952|18044586
"glauconitic loamy marine deposits"|"Yes"|24231953|18044587
"clayey alluvium"|"Yes"|24231954|18044588
"clayey residuum weathered from sandstone and shale"|"Yes"|24232104|18044731
"clayey marine deposits"|"Yes"|24232105|18044732
"clayey residuum weathered from sandstone and shale"|"Yes"|24232106|18044733
"loamy marine deposits"|"Yes"|24232107|18044734
"clayey residuum weathered from sandstone and shale"|"Yes"|24232102|18044729
"clayey residuum weathered from sandstone and shale"|"Yes"|24232103|18044730
"clayey marine deposits"|"Yes"|24232089|18044716
"loamy marine deposits"|"Yes"|24232090|18044717
"loamy marine deposits over clayey marine deposits"|"Yes"|24232091|18044718
"clayey residuum weathered from sandstone and shale"|"Yes"|24232298|18044904
"clayey residuum weathered from sandstone and shale"|"Yes"|24232299|18044905
"clayey residuum weathered from sandstone and shale"|"Yes"|24232300|18044906
"clayey residuum weathered from sandstone and shale"|"Yes"|24232108|18044735
"clayey residuum weathered from sandstone and shale"|"Yes"|24232109|18044736
"loamy marine deposits and/or sandy marine deposits"|"Yes"|24231955|18044589
"loamy marine deposits and/or sandy marine deposits"|"Yes"|24231956|18044590
"loamy residuum weathered from sandstone and shale"|"Yes"|24231957|18044591
"loamy residuum weathered from sandstone and shale"|"Yes"|24232418|18045024
"loamy marine deposits and/or sandy marine deposits"|"Yes"|24232419|18045025
"loamy marine deposits"|"Yes"|24232420|18045026
"loamy residuum weathered from sandstone and shale"|"Yes"|24232421|18045027
"loamy alluvium"|"Yes"|24232228|18044834
