"geomposmntn"|"geomposhill"|"geompostrce"|"geomposflats"|"cogeomdkey"|"cosurfmorgckey"
|"Base Slope"|""|""|38392068|15032057
|"Interfluve"|""|""|38391826|15031961
|"Side Slope"|""|""|38392184|15032112
|""|"Tread"|""|38391940|15032010
|"Side Slope"|""|""|38391942|15032011
|"Crest"|""|""|38392090|15032065
|"Interfluve"|""|""|38391952|15032015
|"Side Slope"|""|""|38391930|15032005
|"Head Slope"|""|""|38392016|15032041
|"Side Slope"|""|""|38392171|15032105
|"Interfluve"|""|""|38391836|15031966
|"Interfluve"|""|""|38391858|15031975
|"Base Slope"|""|""|38391981|15032026
|"Interfluve"|""|""|38392110|15032075
|""|"Tread"|""|38392044|15032051
|"Side Slope"|""|""|38392173|15032106
|"Interfluve"|""|""|38391868|15031980
|""|"Tread"|""|38392121|15032081
|""|"Tread"|""|38391846|15031969
|""|"Tread"|""|38392237|15032132
|""|"Tread"|""|38391962|15032020
|"Side Slope"|""|""|38392086|15032063
|"Interfluve"|""|""|38391983|15032027
|"Interfluve"|""|""|38391856|15031974
|"Interfluve"|""|""|38392108|15032074
|"Side Slope"|""|""|38392004|15032035
|""|"Tread"|""|38391889|15031989
|"Interfluve"|""|""|38392130|15032085
|"Interfluve"|""|""|38391887|15031988
|""|"Tread"|""|38392046|15032052
|""|"Tread"|""|38392233|15032130
|""|"Tread"|""|38392119|15032080
|"Crest"|""|""|38392196|15032118
|"Side Slope"|""|""|38392014|15032040
|"Base Slope"|""|""|38392229|15032128
|"Interfluve"|""|""|38391828|15031962
|"Side Slope"|""|""|38392035|15032048
|""|"Tread"|""|38392140|15032090
|""|"Tread"|""|38391950|15032014
|"Crest"|""|""|38392088|15032064
|"Interfluve"|""|""|38392024|15032045
|"Head Slope"|""|""|38392182|15032111
|"Side Slope"|""|""|38392098|15032069
|"Base Slope"|""|""|38392057|15032055
|"Side Slope"|""|""|38392074|15032059
|"Interfluve"|""|""|38392008|15032037
|"Interfluve"|""|""|38392111|15032076
|"Interfluve"|""|""|38391849|15031970
|"Interfluve"|""|""|38392148|15032094
|"Interfluve"|""|""|38391860|15031976
|"Interfluve"|""|""|38392100|15032070
|""|"Tread"|""|38391997|15032033
|""|"Tread"|""|38391964|15032021
|"Side Slope"|""|""|38392037|15032049
|""|"Tread"|""|38392235|15032131
|"Interfluve"|""|""|38391834|15031965
|"Interfluve"|""|""|38391824|15031960
|""|"Tread"|""|38392126|15032083
|"Side Slope"|""|""|38392192|15032116
|""|"Tread"|""|38391938|15032009
|"Crest"|""|""|38392163|15032101
|"Side Slope"|""|""|38391993|15032031
|""|"Tread"|""|38392152|15032096
|"Interfluve"|""|""|38391897|15031993
|"Side Slope"|""|""|38392052|15032054
|"Side Slope"|""|""|38392078|15032060
|"Interfluve"|""|""|38392115|15032078
|"Side Slope"|""|""|38391923|15032002
|""|"Tread"|""|38391971|15032022
|"Interfluve"|""|""|38392202|15032120
|"Interfluve"|""|""|38392033|15032047
|"Interfluve"|""|""|38392223|15032126
|""|"Tread"|""|38391975|15032023
|"Base Slope"|""|""|38391986|15032028
|"Head Slope"|""|""|38391912|15031999
|""|"Tread"|""|38392096|15032068
|"Side Slope"|""|""|38391960|15032019
|"Side Slope"|""|""|38391934|15032007
|"Head Slope"|""|""|38392022|15032044
|"Interfluve"|""|""|38392204|15032121
|"Base Slope"|""|""|38391956|15032017
|"Side Slope"|""|""|38391927|15032004
|"Interfluve"|""|""|38391990|15032030
|""|"Tread"|""|38392048|15032053
|""|"Tread"|""|38391864|15031978
|"Interfluve"|""|""|38392243|15032135
|"Interfluve"|""|""|38392012|15032039
|"Side Slope"|""|""|38391908|15031997
|"Interfluve"|""|""|38391879|15031984
|"Side Slope"|""|""|38392227|15032127
|"Side Slope"|""|""|38391979|15032025
|""|"Tread"|""|38392000|15032034
|"Interfluve"|""|""|38391862|15031977
|"Side Slope"|""|""|38391872|15031982
|"Head Slope"|""|""|38391893|15031991
|""|"Tread"|""|38392158|15032099
|"Interfluve"|""|""|38391883|15031986
|"Side Slope"|""|""|38392136|15032088
|"Interfluve"|""|""|38391925|15032003
|"Base Slope"|""|""|38392084|15032062
|"Side Slope"|""|""|38392186|15032113
|"Side Slope"|""|""|38392040|15032050
|"Interfluve"|""|""|38392018|15032042
|"Interfluve"|""|""|38392147|15032093
