"shapeacross"|"shapedown"|"cogeomdkey"|"cosurfmorsskey"
"Linear"|"Convex"|38392068|22714270
"Linear"|"Linear"|38391826|22713772
"Linear"|"Linear"|38392184|22714464
"Linear"|"Linear"|38391940|22714121
"Linear"|"Linear"|38391942|22714122
"Linear"|"Convex"|38392090|22714281
"Linear"|"Convex"|38391952|22714127
"Linear"|"Concave"|38392016|22714250
"Linear"|"Linear"|38392171|22714409
"Convex"|"Linear"|38391836|22713800
"Linear"|"Linear"|38391858|22713903
"Linear"|"Concave"|38391973|22714233
"Linear"|"Concave"|38391981|22714237
"Linear"|"Convex"|38392200|22714472
"Concave"|"Linear"|38392110|22714338
"Concave"|"Linear"|38392044|22714261
"Linear"|"Linear"|38392173|22714410
"Linear"|"Convex"|38391868|22713948
"Linear"|"Linear"|38392121|22714360
"Linear"|"Convex"|38391846|22713888
"Linear"|"Linear"|38392237|22714488
"Linear"|"Linear"|38391962|22714189
"Linear"|"Linear"|38392086|22714279
"Linear"|"Convex"|38391983|22714238
"Linear"|"Convex"|38391856|22713902
"Linear"|"Convex"|38392108|22714337
"Linear"|"Linear"|38392004|22714244
"Linear"|"Concave"|38391889|22714084
"Linear"|"Linear"|38392130|22714364
"Linear"|"Concave"|38391900|22714089
"Linear"|"Convex"|38391887|22714048
"Linear"|"Concave"|38392046|22714262
"Linear"|"Concave"|38392233|22714486
"Linear"|"Linear"|38392119|22714359
"Linear"|"Convex"|38392196|22714470
"Linear"|"Linear"|38392014|22714249
"Concave"|"Concave"|38392229|22714484
"Convex"|"Convex"|38391828|22713773
"Linear"|"Linear"|38392035|22714258
"Linear"|"Linear"|38392140|22714383
"Concave"|"Linear"|38391950|22714126
"Linear"|"Convex"|38392088|22714280
"Linear"|"Convex"|38392024|22714254
"Linear"|"Concave"|38392182|22714463
"Linear"|"Linear"|38392098|22714285
"Concave"|"Concave"|38392057|22714266
"Linear"|"Linear"|38392074|22714273
"Linear"|"Convex"|38392008|22714246
"Linear"|"Concave"|38392111|22714339
"Concave"|"Linear"|38392159|22714393
"Linear"|"Convex"|38391849|22713898
"Linear"|"Concave"|38392148|22714387
"Linear"|"Linear"|38391860|22713904
"Linear"|"Convex"|38392100|22714286
"Linear"|"Convex"|38392026|22714255
"Linear"|"Linear"|38391997|22714242
"Linear"|"Linear"|38391964|22714190
"Linear"|"Concave"|38392063|22714269
"Linear"|"Linear"|38392037|22714259
"Linear"|"Concave"|38392235|22714487
"Linear"|"Convex"|38391834|22713799
"Convex"|"Convex"|38391824|22713771
"Convex"|"Convex"|38392126|22714362
"Linear"|"Convex"|38392192|22714468
"Linear"|"Linear"|38391938|22714120
"Convex"|"Convex"|38392163|22714405
"Linear"|"Linear"|38392152|22714389
"Linear"|"Linear"|38391897|22714088
"Linear"|"Convex"|38392225|22714482
"Linear"|"Linear"|38392052|22714265
"Linear"|"Linear"|38392078|22714275
"Concave"|"Linear"|38392213|22714476
"Linear"|"Convex"|38392115|22714341
"Linear"|"Linear"|38391923|22714114
"Linear"|"Concave"|38391971|22714232
"Linear"|"Convex"|38392215|22714477
"Linear"|"Linear"|38392202|22714473
"Linear"|"Convex"|38392033|22714257
"Linear"|"Convex"|38392223|22714481
"Concave"|"Linear"|38391975|22714234
"Linear"|"Concave"|38391912|22714110
"Linear"|"Linear"|38392096|22714284
"Linear"|"Linear"|38391960|22714185
"Linear"|"Concave"|38392059|22714267
"Linear"|"Linear"|38391934|22714118
"Linear"|"Concave"|38392022|22714253
"Linear"|"Convex"|38392204|22714474
"Linear"|"Convex"|38391919|22714112
"Linear"|"Convex"|38391956|22714183
