"recdate"|"comptextkind"|"textcat"|"textsubcat"|"text"|"cokey"|"cotextkey"
"02/19/2014 00:00:00"|"Nontechnical description"|"PHG"|"F133BY013TX"|"8C - LOAMY UPLAND - Moderately deep to very deep uplands with loamy surfaces and friable loamy subsoils; slopes 0 to 8 percent; medium natural fertility; medium to high water holding capacity with good plant-soil-moisture relationship; medium to high production potential."|24232334|25200374
"08/15/2023 00:00:00"|"Nontechnical description"|"GENSOIL"|"generated"|"The Bernaldo component makes up 45 percent of the map unit. Slopes are 0 to 3 percent. This component is on stream terraces on coastal plains. The parent material consists of loamy alluvium. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is well drained.  Water movement in the most restrictive layer is moderately high.  Available water to a depth of 60 inches (or restricted depth) is high.  Shrink-swell potential is moderate. This soil is not flooded. It is not ponded. A seasonal zone of water saturation is at 49 inches during January, February, November, December. Organic matter content in the surface horizon is about 1 percent. This component is in the F133BY013TX Terrace ecological site. Nonirrigated land capability classification is 2e. Irrigated land capability classification is 2e. This soil does not meet hydric criteria.  There are no saline horizons within 30 inches of the soil surface. "|24232334|25200375
"02/19/2014 00:00:00"|"Nontechnical description"|"WSG"|"F133BY013TX"|"2o7 - Soil characteristics do not cause significant management problems. Important commercial tree species include loblolly pine, shortleaf pine, sweetgum, and red oak. These soils are suited for pine and hardwoods, and the site index for loblolly pine and sweetgum is 90. The yield from an unmanaged stand over a 50-year period is approximately 330 board feet (Doyle rule) for loblolly pine, or 210 for sweetgum per acre per year. Native species important to wildlife include red oak, American beautyberry, Alabama supplejack, yaupon, and ash. High value grasses and forbs used by livestock include pinehill bluestem, longleaf uniola, big bluestem, beaked panicum, and little bluestem. Stocking rates depend on canopy density and range from 8-50 acres per animal unit."|24232334|25200376
"08/24/2023 00:00:00"|"Nontechnical description"|"ES"|"F133BY013TX"|"F133BY013TX - Terrace

Ecological Site Concept
The Terrace ecological site has very deep soils on terrace landforms. These sites are located on a higher landform than bottomlands and are not as wet. The sites are situated on a lower landform than the uplands and are not as dry. The sites do not flood or pond. This unique position between the drier uplands and wetter bottomlands creates their plant community.

Soil Features
Alazan, Attoyac, and Bernaldo are representative soils of the Terraces. The Terraces can have a wide range of textures and depths. The grouping factor is, all are located on the terrace landform position. Besides the previously listed soils, these are correlated as well: Addielou, Annona, Austonio, Bearhead, Besner, Bistineau, Cadeville, Cart, Chireno, Eastham, Elysian, Erno, Forbing, Freestone, Gallime, Garner, Glenmora, Hallsbluff, Keiffer, Landman, Latch, Mckamie, Moten, Multey, Raino, Shatta, Spurger, Timpson, Vesey, Waskom, and Woden.

Reference Community
Terrace sites are highly variable in their overstory composition. While white oak and loblolly pine are the dominant species, the overstory frequently has southern red oak, (Quercus falcata), sweetgum (Liquidambar styraciflua), and shortleaf pine (Pinus echinata) intermingled. Longleaf pine (Pinus palustris) may occur in the southern portions of the region. White oaks and/or loblolly pine may make up 75 percent of the overstory at any given time. The other hardwood and pine species make up the rest of the overstory. Shrubs are an important component in the ecological site. American beautyberry, yaupon, and possumhaw are dominant. Sassafras (Sassafras albidum), parsley hawthorn (Crataegus marshalii), and farkleberry (Vaccinium arboreum) are common, but seen in lesser densities. The shrub-layer height and densities fluctuate with time since the last fire. Fire prunes their growth back and allows the understory grasses and forbs to stay diverse and abundant. The shrub layer is the main driver between communities 1.1 and 1.2. As the shrubs begin to grow above 4.5 feet and become more dense, the community moves along the pathway from 1.1 to 1.2. The infrequency of fire causes an accumulation of litter throughout the sites and bare ground is uncommon. The most dominant gramanoids are longleaf woodoats, slender woodoats (Chasmanthium laxum), and cypress swamp sedge (Carex joorii). The micro-lows are often colonized by broomsedge bluestem (Andropogon virginicus). Partridgeberry and Carolina elephanstfoot (Elephantopus carolinianus) are highly associated to the site.

Reference Plants List
white oak, loblolly pine, southern red oak, sweetgum, shortleaf pine, white ash, longleaf pine, blackgum, longleaf woodoats, giant cane, broomsedge bluestem, variable panicgrass, slender woodoats, cypress swamp sedge, eastern poison ivy, partridgeberry, St. Andrew's cross, Carolina elephantsfoot, Missouri violet, slender yellow woodsorrel, ebony spleenwort, resurrection fern, American beautyberry, possumhaw, yaupon, sassafras, muscadine, parsley hawthorn, farkleberry, wax myrtle, American hornbeam, southern arrowwood, sweetgum, white oak, loblolly pine, common persimmon, American holly, blackgum, bitternut hickory, greenbrier, Virginia creeper, Alabama supplejack, crossvine, climbing dogbane

MLRA - 133B
Legacy Ecosite ID - F133BY013TX"|24232334|25200377
"02/19/2014 00:00:00"|"Nontechnical description"|"WDS"|"F133BY013TX"|"WS 2 o 1 Well drained, loamy soils with high potential productivity; no serious management problems, best suited for southern pines. Site index for loblolly and slash pine 90, shortleaf 80. Grazing value for medium canopy 1200 pounds of forage per acre. Potential is moderately high for management of quail and turkey, and moderate for squirrels and deer."|24232334|25200378
"08/15/2023 00:00:00"|"Nontechnical description"|"GENSOIL"|"generated"|"Generated brief soil descriptions are created for major soil components.  The Woden soil is a minor component."|24232335|25200379
"08/25/2023 00:00:00"|"Nontechnical description"|"ES"|"F133BY013TX"|"F133BY013TX - Terrace

Ecological Site Concept
The Terrace ecological site has very deep soils on terrace landforms. These sites are located on a higher landform than bottomlands and are not as wet. The sites are situated on a lower landform than the uplands and are not as dry. The sites do not flood or pond. This unique position between the drier uplands and wetter bottomlands creates their plant community.

Soil Features
Alazan, Attoyac, and Bernaldo are representative soils of the Terraces. The Terraces can have a wide range of textures and depths. The grouping factor is, all are located on the terrace landform position. Besides the previously listed soils, these are correlated as well: Addielou, Annona, Austonio, Bearhead, Besner, Bistineau, Cadeville, Cart, Chireno, Eastham, Elysian, Erno, Forbing, Freestone, Gallime, Garner, Glenmora, Hallsbluff, Keiffer, Landman, Latch, Mckamie, Moten, Multey, Raino, Shatta, Spurger, Timpson, Vesey, Waskom, and Woden.

Reference Community
Terrace sites are highly variable in their overstory composition. While white oak and loblolly pine are the dominant species, the overstory frequently has southern red oak, (Quercus falcata), sweetgum (Liquidambar styraciflua), and shortleaf pine (Pinus echinata) intermingled. Longleaf pine (Pinus palustris) may occur in the southern portions of the region. White oaks and/or loblolly pine may make up 75 percent of the overstory at any given time. The other hardwood and pine species make up the rest of the overstory. Shrubs are an important component in the ecological site. American beautyberry, yaupon, and possumhaw are dominant. Sassafras (Sassafras albidum), parsley hawthorn (Crataegus marshalii), and farkleberry (Vaccinium arboreum) are common, but seen in lesser densities. The shrub-layer height and densities fluctuate with time since the last fire. Fire prunes their growth back and allows the understory grasses and forbs to stay diverse and abundant. The shrub layer is the main driver between communities 1.1 and 1.2. As the shrubs begin to grow above 4.5 feet and become more dense, the community moves along the pathway from 1.1 to 1.2. The infrequency of fire causes an accumulation of litter throughout the sites and bare ground is uncommon. The most dominant gramanoids are longleaf woodoats, slender woodoats (Chasmanthium laxum), and cypress swamp sedge (Carex joorii). The micro-lows are often colonized by broomsedge bluestem (Andropogon virginicus). Partridgeberry and Carolina elephanstfoot (Elephantopus carolinianus) are highly associated to the site.

Reference Plants List
white oak, loblolly pine, southern red oak, sweetgum, shortleaf pine, white ash, longleaf pine, blackgum, longleaf woodoats, giant cane, broomsedge bluestem, variable panicgrass, slender woodoats, cypress swamp sedge, eastern poison ivy, partridgeberry, St. Andrew's cross, Carolina elephantsfoot, Missouri violet, slender yellow woodsorrel, ebony spleenwort, resurrection fern, American beautyberry, possumhaw, yaupon, sassafras, muscadine, parsley hawthorn, farkleberry, wax myrtle, American hornbeam, southern arrowwood, sweetgum, white oak, loblolly pine, common persimmon, American holly, blackgum, bitternut hickory, greenbrier, Virginia creeper, Alabama supplejack, crossvine, climbing dogbane

MLRA - 133B
Legacy Ecosite ID - F133BY013TX"|24232335|25200380
"08/15/2023 00:00:00"|"Nontechnical description"|"GENSOIL"|"generated"|"Generated brief soil descriptions are created for major soil components.  The Bienville soil is a minor component."|24232336|25200381
"08/24/2023 00:00:00"|"Nontechnical description"|"ES"|"F133BY011TX"|"F133BY011TX - Deep Sandy Terrace

Ecological Site Concept
The Deep Sandy Terrace site has deep sandy soils with little horizon development. This, coupled with their position on terraces, form the unique plant communities.

Soil Features
The two representative soils are Bienville and Hainesville. Both are sandy and classified as psammentic paleudalfs and lamellic quartzipsamments, respectively. The deep sands exist through all the horizons. There is very little clay percent increase as depth increases. The soils drain somewhat excessively and their permeability is moderate to moderately rapid.

Reference Community
The lack of clay in the soil profile reduces the amount of nutrients that can accumulate in the soil. The pine trees may also have a yellowish tint to their needles resulting from lack of nutrients. Ground cover is sparse and much of the surface is bare ground or covered by lichens. Common understory species include: little bluestem (Schizachyrium scoparium), eastern prickley pear (Opuntia humifosa), tapered rosette grass (Dichanthelium acuminatum), and Texas bullnettle (Cnidoscolus texana). Shrub species will be sparse as well, but include: yaupon (Ilex vomitoria) and farkleberry (Vaccinium arboreum).

Reference Plants List
No reference plants list is available.

MLRA - 133B
Legacy Ecosite ID - F133BY011TX"|24232336|25200382
"08/15/2023 00:00:00"|"Nontechnical description"|"GENSOIL"|"generated"|"Generated brief soil descriptions are created for major soil components.  The Mollville soil is a minor component."|24232337|25200383
