"plantsym"|"plantsciname"|"plantcomname"|"cokey"|"cotreestomngkey"
"PITA"|"Pinus taeda"|"loblolly pine"|24232334|40620513
"LIST2"|"Liquidambar styraciflua"|"sweetgum"|24232334|40620514
"PIEL"|"Pinus elliottii"|"slash pine"|24232338|40620515
"PITA"|"Pinus taeda"|"loblolly pine"|24232338|40620516
"LIST2"|"Liquidambar styraciflua"|"sweetgum"|24232338|40620517
"PITA"|"Pinus taeda"|"loblolly pine"|24232339|40620518
"PIEC2"|"Pinus echinata"|"shortleaf pine"|24231847|40620414
"PITA"|"Pinus taeda"|"loblolly pine"|24231847|40620415
"PITA"|"Pinus taeda"|"loblolly pine"|24232063|40620431
"PIEL"|"Pinus elliottii"|"slash pine"|24232282|40620501
"PITA"|"Pinus taeda"|"loblolly pine"|24232282|40620502
"QUNI"|"Quercus nigra"|"water oak"|24232353|40620520
"PITA"|"Pinus taeda"|"loblolly pine"|24232353|40620521
"PITA"|"Pinus taeda"|"loblolly pine"|24232410|40620536
"PITA"|"Pinus taeda"|"loblolly pine"|24232247|40620476
"PITA"|"Pinus taeda"|"loblolly pine"|24232250|40620477
"PIEC2"|"Pinus echinata"|"shortleaf pine"|24232250|40620478
"PIEC2"|"Pinus echinata"|"shortleaf pine"|24232371|40620531
"PITA"|"Pinus taeda"|"loblolly pine"|24232371|40620532
"PITA"|"Pinus taeda"|"loblolly pine"|24232092|40620440
"PIEL"|"Pinus elliottii"|"slash pine"|24232092|40620441
"PIEC2"|"Pinus echinata"|"shortleaf pine"|24232195|40620457
"PITA"|"Pinus taeda"|"loblolly pine"|24232195|40620458
"PITA"|"Pinus taeda"|"loblolly pine"|24232253|40620479
"PIEC2"|"Pinus echinata"|"shortleaf pine"|24232253|40620480
"PITA"|"Pinus taeda"|"loblolly pine"|24232257|40620481
"PIEC2"|"Pinus echinata"|"shortleaf pine"|24232257|40620482
"PITA"|"Pinus taeda"|"loblolly pine"|24232244|40620475
"PITA"|"Pinus taeda"|"loblolly pine"|24232414|40620537
"LIST2"|"Liquidambar styraciflua"|"sweetgum"|24232260|40620483
"PLOC"|"Platanus occidentalis"|"American sycamore"|24232260|40620484
"JUNI"|"Juglans nigra"|"black walnut"|24232260|40620485
"PITA"|"Pinus taeda"|"loblolly pine"|24232260|40620486
"LIST2"|"Liquidambar styraciflua"|"sweetgum"|24232226|40620460
"PITA"|"Pinus taeda"|"loblolly pine"|24232226|40620461
"JUNI"|"Juglans nigra"|"black walnut"|24232226|40620462
"PLOC"|"Platanus occidentalis"|"American sycamore"|24232226|40620463
"PIEL"|"Pinus elliottii"|"slash pine"|24232065|40620432
"PITA"|"Pinus taeda"|"loblolly pine"|24232065|40620433
"PITA"|"Pinus taeda"|"loblolly pine"|24232416|40620538
"PIEL"|"Pinus elliottii"|"slash pine"|24232416|40620539
"PIEL"|"Pinus elliottii"|"slash pine"|24231953|40620423
"PITA"|"Pinus taeda"|"loblolly pine"|24231953|40620424
"PITA"|"Pinus taeda"|"loblolly pine"|24232104|40620443
"PIEL"|"Pinus elliottii"|"slash pine"|24232104|40620444
"PITA"|"Pinus taeda"|"loblolly pine"|24232102|40620442
"LIST2"|"Liquidambar styraciflua"|"sweetgum"|24232091|40620437
"PITA"|"Pinus taeda"|"loblolly pine"|24232091|40620438
"QUPA5"|"Quercus pagoda"|"cherrybark oak"|24232091|40620439
"PITA"|"Pinus taeda"|"loblolly pine"|24232300|40620504
"PIEL"|"Pinus elliottii"|"slash pine"|24232300|40620505
"PIEL"|"Pinus elliottii"|"slash pine"|24232108|40620445
"PITA"|"Pinus taeda"|"loblolly pine"|24232108|40620446
"PIEL"|"Pinus elliottii"|"slash pine"|24231955|40620425
"PITA"|"Pinus taeda"|"loblolly pine"|24231955|40620426
"PITA"|"Pinus taeda"|"loblolly pine"|24232418|40620540
"PIEL"|"Pinus elliottii"|"slash pine"|24232418|40620541
"LIST2"|"Liquidambar styraciflua"|"sweetgum"|24232228|40620464
"PODE3"|"Populus deltoides"|"eastern cottonwood"|24232228|40620465
"LITU"|"Liriodendron tulipifera"|"tuliptree"|24232228|40620466
"QUPA5"|"Quercus pagoda"|"cherrybark oak"|24232228|40620467
"FRPE"|"Fraxinus pennsylvanica"|"green ash"|24232228|40620468
"PITA"|"Pinus taeda"|"loblolly pine"|24232228|40620469
"FRPE"|"Fraxinus pennsylvanica"|"green ash"|24231792|40620409
"LIST2"|"Liquidambar styraciflua"|"sweetgum"|24231792|40620410
"LITU"|"Liriodendron tulipifera"|"tuliptree"|24231792|40620411
"PLOC"|"Platanus occidentalis"|"American sycamore"|24231792|40620412
"PODE3"|"Populus deltoides"|"eastern cottonwood"|24231792|40620413
"QUNI"|"Quercus nigra"|"water oak"|24232422|40620542
"LIST2"|"Liquidambar styraciflua"|"sweetgum"|24232422|40620543
"PITA"|"Pinus taeda"|"loblolly pine"|24232422|40620544
"PIEL"|"Pinus elliottii"|"slash pine"|24232356|40620524
"PITA"|"Pinus taeda"|"loblolly pine"|24232356|40620525
"LIST2"|"Liquidambar styraciflua"|"sweetgum"|24231937|40620417
"PITA"|"Pinus taeda"|"loblolly pine"|24231937|40620418
"QUNI"|"Quercus nigra"|"water oak"|24231937|40620419
"LIST2"|"Liquidambar styraciflua"|"sweetgum"|24231938|40620420
"PIEL"|"Pinus elliottii"|"slash pine"|24231938|40620421
"PITA"|"Pinus taeda"|"loblolly pine"|24231938|40620422
"PITA"|"Pinus taeda"|"loblolly pine"|24232273|40620493
"LIST2"|"Liquidambar styraciflua"|"sweetgum"|24232273|40620494
"QUFA"|"Quercus falcata"|"southern red oak"|24232273|40620495
"PIEC2"|"Pinus echinata"|"shortleaf pine"|24232273|40620496
"PIEC2"|"Pinus echinata"|"shortleaf pine"|24232279|40620499
"PITA"|"Pinus taeda"|"loblolly pine"|24232279|40620500
"PITA"|"Pinus taeda"|"loblolly pine"|24232241|40620473
"PIEC2"|"Pinus echinata"|"shortleaf pine"|24232241|40620474
"PITA"|"Pinus taeda"|"loblolly pine"|24232429|40620547
"PIEC2"|"Pinus echinata"|"shortleaf pine"|24232429|40620548
