"taxminalogy"|"cokey"|"cotaxfmminkey"
"siliceous"|24232334|19127054
"siliceous"|24232335|19127055
"siliceous"|24232336|19127056
"siliceous"|24232337|19127057
"siliceous"|24232338|19127058
"siliceous"|24232339|19127059
"siliceous"|24232340|19127060
"siliceous"|24232341|19127061
"siliceous"|24231846|19126929
"siliceous"|24231847|19126930
"siliceous"|24232062|19126950
"siliceous"|24232063|19126951
"mixed"|24232064|19126952
"siliceous"|24232282|19127039
"siliceous"|24232283|19127040
"siliceous"|24232284|19127041
"mixed"|24232285|19127042
"siliceous"|24232352|19127064
"mixed"|24232353|19127065
"mixed"|24232410|19127085
"siliceous"|24232411|19127086
"mixed"|24232412|19127087
"mixed"|24232413|19127088
"mixed"|24232247|19127008
"mixed"|24232248|19127009
"mixed"|24232249|19127010
"mixed"|24232250|19127011
"mixed"|24232251|19127012
"mixed"|24232252|19127013
"siliceous"|24232369|19127074
"siliceous"|24232370|19127075
"siliceous"|24232371|19127076
"mixed"|24232372|19127077
"siliceous"|24232092|19126960
"kaolinitic"|24232093|19126961
"mixed"|24232094|19126962
"siliceous"|24232193|19126985
"siliceous"|24232194|19126986
"siliceous"|24232195|19126987
"siliceous"|24232253|19127014
"siliceous"|24232255|19127015
"siliceous"|24232256|19127016
"siliceous"|24232257|19127017
"siliceous"|24232258|19127018
"smectitic"|24232244|19127005
"smectitic"|24232245|19127006
"smectitic"|24232246|19127007
"montmorillonitic"|24232414|19127089
"smectitic"|24232415|19127090
"siliceous"|24232260|19127019
"siliceous"|24232261|19127020
"mixed"|24232262|19127021
"siliceous"|24232263|19127022
"siliceous"|24232226|19126990
"mixed"|24232227|19126991
"mixed"|24232065|19126953
"siliceous"|24232066|19126954
"mixed"|24232416|19127091
"mixed"|24232417|19127092
"kaolinitic"|24231952|19126936
"siliceous"|24231953|19126937
"mixed"|24231954|19126938
"mixed"|24232104|19126965
"mixed"|24232105|19126966
"siliceous"|24232107|19126967
"mixed"|24232102|19126963
"mixed"|24232103|19126964
"mixed"|24232089|19126957
"siliceous"|24232090|19126958
"siliceous"|24232091|19126959
"smectitic"|24232298|19127046
"smectitic"|24232299|19127047
"smectitic"|24232300|19127048
"montmorillonitic"|24232108|19126968
"smectitic"|24232109|19126969
"siliceous"|24231955|19126939
"siliceous"|24231956|19126940
"siliceous"|24231957|19126941
"siliceous"|24232418|19127093
"siliceous"|24232419|19127094
"siliceous"|24232420|19127095
"siliceous"|24232228|19126992
"siliceous"|24232229|19126993
"siliceous"|24231791|19126924
"siliceous"|24231792|19126925
"siliceous"|24232422|19127096
"mixed"|24232423|19127097
"siliceous"|24232356|19127068
"kaolinitic"|24232357|19127069
