"taxfamother"|"cokey"|"cotaxfokey"
"not used"|24232334|16999506
"not used"|24232335|16999507
"not used"|24232336|16999508
"not used"|24232337|16999509
"not used"|24232338|16999510
"not used"|24232339|16999511
"not used"|24232340|16999512
"not used"|24232341|16999513
"not used"|24231846|16999408
"not used"|24231847|16999409
"not used"|24232062|16999427
"not used"|24232063|16999428
"not used"|24232064|16999429
"not used"|24232282|16999492
"not used"|24232283|16999493
"not used"|24232284|16999494
"not used"|24232285|16999495
"not used"|24232353|16999516
"not used"|24232410|16999535
"not used"|24232412|16999536
"not used"|24232247|16999477
"not used"|24232248|16999478
"not used"|24232250|16999479
"not used"|24232251|16999480
"not used"|24232369|16999524
"not used"|24232370|16999525
"not used"|24232371|16999526
"not used"|24232372|16999527
"not used"|24232092|16999437
"not used"|24232093|16999438
"not used"|24232094|16999439
"not used"|24232195|16999460
"not used"|24232253|16999481
"not used"|24232256|16999482
"not used"|24232257|16999483
"not used"|24232244|16999474
"not used"|24232245|16999475
"not used"|24232246|16999476
"not used"|24232414|16999537
"not used"|24232415|16999538
"not used"|24232260|16999484
"not used"|24232261|16999485
"not used"|24232226|16999463
"not used"|24232065|16999430
"not used"|24232066|16999431
"not used"|24232416|16999539
"not used"|24231952|16999415
"not used"|24231953|16999416
"not used"|24231954|16999417
"not used"|24232104|16999441
"not used"|24232105|16999442
"not used"|24232107|16999443
"not used"|24232102|16999440
"not used"|24232089|16999434
"not used"|24232090|16999435
"not used"|24232091|16999436
"not used"|24232298|16999499
"not used"|24232299|16999500
"not used"|24232300|16999501
"not used"|24232108|16999444
"not used"|24231955|16999418
"not used"|24231957|16999419
"not used"|24232418|16999540
"not used"|24232420|16999541
"not used"|24232228|16999464
"not used"|24232229|16999465
"not used"|24231792|16999404
"not used"|24232422|16999542
"not used"|24232356|16999518
"not used"|24232357|16999519
"not used"|24232358|16999520
"coated"|24231936|16999412
"not used"|24231937|16999413
"not used"|24231938|16999414
"not used"|24232230|16999466
"not used"|24232231|16999467
"not used"|24232273|16999489
"not used"|24232279|16999491
"not used"|24232241|16999473
"not used"|24232429|16999547
"not used"|24232276|16999490
"not used"|24232264|16999486
"not used"|24232268|16999487
"not used"|24232270|16999488
"not used"|24232122|16999456
"not used"|24232123|16999457
"not used"|24232354|16999517
"not used"|24231963|16999420
"not used"|24231964|16999421
"not used"|24231965|16999422
"not used"|24232232|16999468
"not used"|24232233|16999469
"not used"|24232424|16999543
"not used"|24232425|16999544
"not used"|24232408|16999533
"not used"|24232409|16999534
"not used"|24232445|16999550
"not used"|24232373|16999528
"not used"|24232374|16999529
"not used"|24232375|16999530
"not used"|24232235|16999470
"not used"|24231836|16999405
"coated"|24231837|16999406
"not used"|24231838|16999407
"not used"|24232199|16999461
"not used"|24232200|16999462
"coated"|24232031|16999426
"not used"|24232347|16999514
"not used"|24232348|16999515
"not used"|24232110|16999445
"not used"|24232111|16999446
"not used"|24232427|16999545
"not used"|24232428|16999546
"not used"|24231987|16999423
"shallow"|24231988|16999424
"not used"|24231989|16999425
"not used"|24232112|16999447
"not used"|24232114|16999448
"shallow"|24232115|16999449
"not used"|24232433|16999548
"not used"|24232434|16999549
"not used"|24232116|16999450
"not used"|24232117|16999451
"not used"|24232118|16999452
"not used"|24231857|16999410
"not used"|24231858|16999411
"not used"|24232119|16999453
"not used"|24232120|16999454
"not used"|24232121|16999455
"not used"|24232286|16999496
"not used"|24232287|16999497
"not used"|24232288|16999498
"not used"|24232238|16999471
"not used"|24232239|16999472
"not used"|24232359|16999521
"not used"|24232360|16999522
"not used"|24232361|16999523
"not used"|24232124|16999458
"not used"|24232125|16999459
"not used"|24232385|16999531
"not used"|24232386|16999532
"not used"|24232319|16999502
"not used"|24232320|16999503
"not used"|24232321|16999504
"not used"|24232322|16999505
"not used"|24232087|16999432
"not used"|24232088|16999433
"not used"|24242590|17007476
"not used"|24242591|17007475
"not used"|24242905|17007879
"not used"|24242906|17007880
"not used"|24242907|17007881
"not used"|24242648|17007641
"not used"|24243043|17007642
"not used"|24242662|17007846
"coated"|24242663|17007847
"not used"|24242664|17007845
"not used"|24242650|17007643
"not used"|24242931|17007652
"not used"|24242932|17007647
"not used"|24242933|17007648
"not used"|24242934|17007651
"not used"|24242935|17007644
"not used"|24242924|17007861
"not used"|24242925|17007863
"not used"|24242926|17007862
"not used"|24242927|17007864
"not used"|24242800|17007874
"not used"|24242801|17007872
"not used"|24242802|17007873
"not used"|24242777|17007669
"not used"|24242778|17007667
"not used"|24242779|17007668
"not used"|24242601|17007516
"not used"|24242602|17007515
"not used"|24242603|17007514
"not used"|24242604|17007513
"not used"|24243073|17007867
"not used"|24243074|17007868
"not used"|24243075|17007865
"not used"|24243076|17007866
"not used"|24243147|17007852
"not used"|24243148|17007855
"not used"|24243149|17007856
"not used"|24242780|17007670
"not used"|24242781|17007671
"not used"|24243002|17007529
"not used"|24243003|17007530
"not used"|24243004|17007531
"not used"|24242991|17007414
"not used"|24242992|17007413
"not used"|24242993|17007409
"not used"|24242784|17007672
"not used"|24242786|17007673
"not used"|24243108|17007859
"not used"|24243109|17007858
"not used"|24243110|17007860
"coated"|24242902|17007841
"coated"|24242904|17007842
"not used"|24243044|17007676
"not used"|24243045|17007674
"not used"|24243047|17007675
"not used"|24242998|17007521
"not used"|24242999|17007520
"not used"|24243000|17007522
"not used"|24243001|17007523
"not used"|24242651|17007680
"not used"|24242652|17007679
"not used"|24242653|17007677
"not used"|24242654|17007678
"not used"|24243048|17007681
"not used"|24243049|17007682
"not used"|24243050|17007684
"not used"|24243051|17007683
"not used"|24242655|17007687
"not used"|24242657|17007686
"not used"|24242658|17007685
"not used"|24242688|17007356
"not used"|24243035|17007405
"not used"|24243036|17007406
"not used"|24243037|17007404
"not used"|24243052|17007688
"not used"|24243053|17007690
"not used"|24243054|17007689
"not used"|24243055|17007691
"not used"|24242665|17007813
"not used"|24242666|17007811
"not used"|24242667|17007812
"not used"|24243229|17007640
"not used"|24243230|17007639
"not used"|24242730|17007415
"not used"|24242731|17007416
"not used"|24242732|17007417
"not used"|24242886|17007692
"not used"|24242887|17007693
"not used"|24242888|17007694
"not used"|24242735|17007625
"not used"|24242736|17007524
"not used"|24242737|17007624
"coated"|24242832|17007427
"not used"|24242833|17007426
"not used"|24242834|17007425
"not used"|24242892|17007699
"coated"|24242893|17007700
"not used"|24242894|17007698
"not used"|24242638|17007422
"not used"|24242639|17007421
"not used"|24242640|17007420
"not used"|24242895|17007701
"not used"|24242897|17007702
"not used"|24243056|17007703
"not used"|24243057|17007704
"not used"|24242545|17007365
"not used"|24242546|17007357
"not used"|24243060|17007707
"not used"|24243061|17007708
"not used"|24242659|17007705
"not used"|24242661|17007706
"not used"|24243099|17007709
"not used"|24243100|17007711
"not used"|24243101|17007710
"not used"|24242835|17007489
"not used"|24242836|17007574
"not used"|24242837|17007490
"not used"|24242635|17007423
"not used"|24242637|17007424
"not used"|24242790|17007712
"not used"|24242791|17007713
"not used"|24242792|17007729
"not used"|24242793|17007715
"not used"|24242794|17007714
"not used"|24242795|17007716
"not used"|24242797|17007718
"not used"|24242798|17007730
"not used"|24242799|17007717
"coated"|24242581|17007366
"not used"|24242582|17007367
"not used"|24242583|17007368
"coated"|24243102|17007719
"not used"|24243103|17007734
"not used"|24243104|17007720
"coated"|24242803|17007731
"not used"|24242804|17007732
"not used"|24242805|17007733
"not used"|24243067|17007721
"not used"|24243105|17007722
"not used"|24243106|17007723
"not used"|24243071|17007724
"not used"|24243072|17007725
"not used"|24242921|17007726
"not used"|24242922|17007727
"not used"|24242923|17007728
"not used"|24242889|17007697
"not used"|24242890|17007696
"not used"|24242891|17007695
"not used"|24243185|17007630
"not used"|24243186|17007631
"not used"|24242787|17007843
"not used"|24242788|17007844
"not used"|24242898|17007851
"not used"|24242899|17007850
"not used"|24242900|17007848
"not used"|24242901|17007849
"not used"|24243187|17007636
"not used"|24243188|17007638
"not used"|24243189|17007637
"not used"|24243162|17007632
"not used"|24243163|17007634
"not used"|24243164|17007635
"not used"|24243165|17007633
"not used"|24243182|17007627
"not used"|24243183|17007628
"not used"|24243184|17007626
