"taxmoistcl"|"cokey"|"cotaxmckey"
"Udic"|24232334|10211423
"Udic"|24232335|10211424
"Udic"|24232336|10211425
"Aquic"|24232337|10211426
"Udic"|24232338|10211427
"Udic"|24232339|10211428
"Udic"|24232340|10211429
"Udic"|24232341|10211430
"Udic"|24231846|10211330
"Udic"|24231847|10211331
"Udic"|24232062|10211348
"Udic"|24232063|10211349
"Udic"|24232064|10211350
"Udic"|24232282|10211410
"Udic"|24232283|10211411
"Udic"|24232284|10211412
"Udic"|24232285|10211413
"Udic"|24232353|10211433
"Udic"|24232410|10211452
"Udic"|24232412|10211453
"Udic"|24232247|10211396
"Udic"|24232248|10211397
"Udic"|24232250|10211398
"Udic"|24232251|10211399
"Udic"|24232369|10211441
"Udic"|24232370|10211442
"Udic"|24232371|10211443
"Udic"|24232372|10211444
"Udic"|24232092|10211358
"Udic"|24232093|10211359
"Udic"|24232094|10211360
"Udic"|24232195|10211380
"Udic"|24232253|10211400
"Udic"|24232257|10211401
"Udic"|24232244|10211393
"Udic"|24232245|10211394
"Udic"|24232246|10211395
"Udic"|24232414|10211454
"Udic"|24232415|10211455
"Udic"|24232260|10211402
"Udic"|24232261|10211403
"Udic"|24232226|10211383
"Udic"|24232065|10211351
"Udic"|24232066|10211352
"Udic"|24232416|10211456
"Udic"|24231952|10211337
"Udic"|24231953|10211338
"Udic"|24231954|10211339
"Udic"|24232104|10211362
"Udic"|24232105|10211363
"Udic"|24232107|10211364
"Udic"|24232102|10211361
"Udic"|24232089|10211355
"Udic"|24232090|10211356
"Udic"|24232091|10211357
"Udic"|24232298|10211416
"Udic"|24232299|10211417
"Udic"|24232300|10211418
"Udic"|24232108|10211365
"Udic"|24231955|10211340
"Udic"|24232418|10211457
"Udic"|24232420|10211458
"Aquic"|24232228|10211384
"Udic"|24232229|10211385
"Udic"|24231792|10211326
"Aquic"|24232422|10211459
"Udic"|24232356|10211435
"Udic"|24232357|10211436
"Udic"|24232358|10211437
"Udic"|24231936|10211334
"Aquic"|24231937|10211335
"Udic"|24231938|10211336
"Udic"|24232230|10211386
"Udic"|24232231|10211387
"Udic"|24232273|10211407
"Udic"|24232279|10211409
"Udic"|24232241|10211392
"Udic"|24232429|10211464
"Udic"|24232276|10211408
"Udic"|24232264|10211404
"Aquic"|24232268|10211405
"Aquic"|24232270|10211406
"Aquic"|24232122|10211376
"Udic"|24232123|10211377
"Aquic"|24232354|10211434
"Udic"|24231963|10211341
"Udic"|24231964|10211342
"Aquic"|24231965|10211343
"Udic"|24232232|10211388
"Udic"|24232424|10211460
"Udic"|24232425|10211461
"Udic"|24232408|10211450
"Udic"|24232409|10211451
"Udic"|24232444|10211469
"Udic"|24232445|10211470
"Udic"|24232446|10211471
"Udic"|24232373|10211445
"Udic"|24232374|10211446
"Udic"|24232375|10211447
"Udic"|24232235|10211389
"Udic"|24231836|10211327
"Udic"|24231837|10211328
"Udic"|24231838|10211329
"Udic"|24232199|10211381
"Udic"|24232200|10211382
"Udic"|24232031|10211347
"Udic"|24232347|10211431
"Udic"|24232348|10211432
"Udic"|24232110|10211366
"Udic"|24232111|10211367
"Udic"|24232427|10211462
"Udic"|24232428|10211463
"Udic"|24231987|10211344
"Udic"|24231988|10211345
"Udic"|24231989|10211346
"Udic"|24232112|10211368
"Udic"|24232114|10211369
"Udic"|24232432|10211465
"Aquic"|24232433|10211466
"Udic"|24232434|10211467
"Udic"|24232435|10211468
"Udic"|24232116|10211370
"Udic"|24232117|10211371
"Udic"|24232118|10211372
"Udic"|24231857|10211332
"Udic"|24231858|10211333
"Udic"|24232119|10211373
"Udic"|24232120|10211374
"Udic"|24232121|10211375
"Udic"|24232286|10211414
"Udic"|24232288|10211415
"Udic"|24232238|10211390
"Udic"|24232239|10211391
"Udic"|24232359|10211438
"Udic"|24232360|10211439
"Aquic"|24232361|10211440
"Udic"|24232124|10211378
"Udic"|24232125|10211379
"Udic"|24232385|10211448
"Udic"|24232386|10211449
"Udic"|24232319|10211419
"Aquic"|24232320|10211420
"Udic"|24232321|10211421
"Udic"|24232322|10211422
"Aquic"|24232087|10211353
"Udic"|24232088|10211354
"Udic"|24242590|10218220
"Udic"|24242591|10218218
"Udic"|24242905|10218422
"Udic"|24242907|10218423
"Udic"|24242648|10218432
"Udic"|24243041|10218434
"Udic"|24243043|10218433
"Udic"|24242662|10218614
"Udic"|24242663|10218615
"Udic"|24242664|10218613
"Udic"|24242650|10218435
"Udic"|24242931|10218420
"Udic"|24242932|10218414
"Udic"|24242933|10218416
"Udic"|24242934|10218418
"Udic"|24242935|10218412
"Udic"|24242924|10218528
"Udic"|24242925|10218530
"Udic"|24242926|10218529
"Udic"|24242927|10218531
"Udic"|24242800|10218541
"Udic"|24242801|10218539
"Udic"|24242802|10218540
"Udic"|24242778|10218542
"Udic"|24242779|10218543
"Udic"|24242601|10218335
"Udic"|24242602|10218334
"Udic"|24242603|10218333
"Udic"|24242604|10218332
"Udic"|24243073|10218534
"Udic"|24243074|10218535
"Udic"|24243075|10218532
"Udic"|24243076|10218533
"Udic"|24243147|10218520
"Udic"|24243148|10218522
"Udic"|24243149|10218524
"Aquic"|24242780|10218544
"Udic"|24242781|10218545
"Aquic"|24243002|10218349
"Udic"|24243003|10218350
"Udic"|24243004|10218351
"Udic"|24242992|10218280
"Aquic"|24242993|10218276
"Udic"|24242784|10218546
"Udic"|24242786|10218547
"Udic"|24243109|10218526
"Udic"|24243110|10218527
"Udic"|24242902|10218608
"Aquic"|24242903|10218610
"Udic"|24242904|10218609
"Aquic"|24243044|10218549
"Aquic"|24243045|10218548
"Udic"|24242998|10218340
"Udic"|24242999|10218339
"Udic"|24243000|10218341
"Udic"|24243001|10218342
"Udic"|24242652|10218552
"Udic"|24242653|10218550
"Udic"|24242654|10218551
"Udic"|24243048|10218553
"Udic"|24243051|10218554
"Udic"|24242658|10218555
"Udic"|24242688|10218121
"Udic"|24243035|10218273
"Udic"|24243037|10218272
"Udic"|24243052|10218556
"Udic"|24243053|10218558
"Udic"|24243054|10218557
"Udic"|24243055|10218559
"Udic"|24242665|10218426
"Udic"|24242666|10218424
"Udic"|24242667|10218425
"Udic"|24243229|10218411
"Udic"|24243230|10218410
"Aquic"|24242730|10218288
"Udic"|24242731|10218289
"Udic"|24242732|10218290
"Udic"|24242886|10218560
"Aquic"|24242887|10218561
"Aquic"|24242888|10218562
"Udic"|24242735|10218396
"Aquic"|24242736|10218344
"Udic"|24242736|10218343
"Udic"|24242737|10218395
"Udic"|24242832|10218300
"Udic"|24242833|10218299
"Aquic"|24242834|10218298
"Udic"|24242892|10218567
"Aquic"|24242894|10218566
"Udic"|24242638|10218295
"Aquic"|24242639|10218294
"Udic"|24242640|10218293
"Udic"|24242895|10218568
"Udic"|24243056|10218569
"Udic"|24242545|10218181
"Udic"|24242546|10218122
"Udic"|24243060|10218571
"Udic"|24242659|10218570
"Udic"|24243099|10218572
"Udic"|24242835|10218233
"Udic"|24242836|10218261
"Aquic"|24242837|10218234
"Udic"|24242635|10218296
"Udic"|24242637|10218297
"Udic"|24242790|10218573
"Aquic"|24242791|10218574
"Aquic"|24242792|10218440
"Udic"|24242793|10218576
"Udic"|24242794|10218575
"Udic"|24242795|10218577
"Udic"|24242797|10218578
"Aquic"|24242798|10218441
"Udic"|24242581|10218182
"Udic"|24242582|10218183
"Udic"|24242583|10218184
"Udic"|24243102|10218579
"Aquic"|24243103|10218445
"Udic"|24243104|10218580
"Udic"|24242803|10218442
"Aquic"|24242804|10218443
"Udic"|24242805|10218444
"Udic"|24243067|10218581
"Udic"|24243105|10218582
"Udic"|24243106|10218583
"Udic"|24243071|10218584
"Udic"|24243072|10218585
"Udic"|24242921|10218586
"Udic"|24242922|10218587
"Udic"|24242923|10218588
"Udic"|24242889|10218565
"Udic"|24242890|10218564
"Udic"|24242891|10218563
"Udic"|24243185|10218401
"Udic"|24243186|10218402
"Udic"|24242787|10218611
"Udic"|24242788|10218612
"Udic"|24242898|10218619
"Udic"|24242899|10218618
"Udic"|24242900|10218616
"Udic"|24242901|10218617
"Udic"|24243187|10218407
"Aquic"|24243188|10218409
"Udic"|24243189|10218408
"Udic"|24243162|10218403
"Udic"|24243163|10218405
"Aquic"|24243164|10218406
"Udic"|24243165|10218404
"Udic"|24243182|10218398
"Udic"|24243183|10218399
"Aquic"|24243184|10218397
"Udic"|24243145|10218427
"Udic"|24243146|10218400
"Udic"|24242757|10218274
"Aquic"|24242758|10218275
