"ecoclasstypename"|"ecoclassref"|"ecoclassid"|"ecoclassname"|"cokey"|"coecoclasskey"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY013TX"|"Terrace"|24232334|9890970
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY013TX"|"Terrace"|24232335|9890898
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY011TX"|"Deep Sandy Terrace"|24232336|9890964
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY001TX"|"Depression"|24232337|9890989
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY013TX"|"Terrace"|24232338|9890921
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY008TX"|"Northern Deep Sandy Upland"|24232339|9890996
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY005TX"|"Loamy Upland"|24232340|9890930
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY006TX"|"Northern Sandy Loam Upland"|24232341|9891046
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY013TX"|"Terrace"|24231846|9891009
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY011TX"|"Deep Sandy Terrace"|24231847|9891033
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY005TX"|"Loamy Upland"|24232062|9891018
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY005TX"|"Loamy Upland"|24232063|9890902
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY003TX"|"Loamy Over Clayey Upland"|24232064|9890972
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY006TX"|"Northern Sandy Loam Upland"|24232282|9890998
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY005TX"|"Loamy Upland"|24232283|9890877
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY008TX"|"Northern Deep Sandy Upland"|24232284|9890949
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY003TX"|"Loamy Over Clayey Upland"|24232285|9890974
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY005TX"|"Loamy Upland"|24232352|9891000
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY013TX"|"Terrace"|24232353|9891025
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY003TX"|"Loamy Over Clayey Upland"|24232410|9890923
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY006TX"|"Northern Sandy Loam Upland"|24232411|9891038
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY003TX"|"Loamy Over Clayey Upland"|24232412|9890967
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY003TX"|"Loamy Over Clayey Upland"|24232413|9890900
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY003TX"|"Loamy Over Clayey Upland"|24232247|9890936
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY003TX"|"Loamy Over Clayey Upland"|24232248|9891051
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY003TX"|"Loamy Over Clayey Upland"|24232249|9890887
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY003TX"|"Loamy Over Clayey Upland"|24232250|9891020
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY003TX"|"Loamy Over Clayey Upland"|24232251|9890905
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY003TX"|"Loamy Over Clayey Upland"|24232252|9890933
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY006TX"|"Northern Sandy Loam Upland"|24232369|9891056
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY006TX"|"Northern Sandy Loam Upland"|24232370|9890878
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY008TX"|"Northern Deep Sandy Upland"|24232371|9890997
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY003TX"|"Loamy Over Clayey Upland"|24232372|9891021
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY005TX"|"Loamy Upland"|24232092|9890932
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY003TX"|"Loamy Over Clayey Upland"|24232093|9891050
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY013TX"|"Terrace"|24232094|9890886
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY006TX"|"Northern Sandy Loam Upland"|24232193|9890924
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY006TX"|"Northern Sandy Loam Upland"|24232194|9890990
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY008TX"|"Northern Deep Sandy Upland"|24232195|9891057
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY008TX"|"Northern Deep Sandy Upland"|24232253|9891004
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY006TX"|"Northern Sandy Loam Upland"|24232255|9890956
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY006TX"|"Northern Sandy Loam Upland"|24232256|9890982
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY008TX"|"Northern Deep Sandy Upland"|24232257|9890962
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY006TX"|"Northern Sandy Loam Upland"|24232258|9890987
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY003TX"|"Loamy Over Clayey Upland"|24232244|9890966
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY003TX"|"Loamy Over Clayey Upland"|24232245|9891039
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY003TX"|"Loamy Over Clayey Upland"|24232246|9891012
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY003TX"|"Loamy Over Clayey Upland"|24232414|9890922
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY003TX"|"Loamy Over Clayey Upland"|24232415|9890942
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY014TX"|"Creek Bottomland"|24232260|9891026
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY014TX"|"Creek Bottomland"|24232261|9891003
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY018TX"|"Clayey Bottomland"|24232262|9890883
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY017TX"|"Loamy Bottomland"|24232263|9891048
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY014TX"|"Creek Bottomland"|24232226|9890961
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY018TX"|"Clayey Bottomland"|24232227|9890894
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY003TX"|"Loamy Over Clayey Upland"|24232065|9891035
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY005TX"|"Loamy Upland"|24232066|9891013
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY003TX"|"Loamy Over Clayey Upland"|24232416|9891036
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY003TX"|"Loamy Over Clayey Upland"|24232417|9890881
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY003TX"|"Loamy Over Clayey Upland"|24231952|9890971
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY005TX"|"Loamy Upland"|24231953|9891045
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY013TX"|"Terrace"|24231954|9890885
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY003TX"|"Loamy Over Clayey Upland"|24232104|9891060
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY003TX"|"Loamy Over Clayey Upland"|24232105|9890899
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY005TX"|"Loamy Upland"|24232107|9891040
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY003TX"|"Loamy Over Clayey Upland"|24232102|9890931
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY003TX"|"Loamy Over Clayey Upland"|24232103|9891047
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY003TX"|"Loamy Over Clayey Upland"|24232089|9890901
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY005TX"|"Loamy Upland"|24232090|9891016
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY005TX"|"Loamy Upland"|24232091|9890947
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY003TX"|"Loamy Over Clayey Upland"|24232298|9890879
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY003TX"|"Loamy Over Clayey Upland"|24232299|9890948
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY003TX"|"Loamy Over Clayey Upland"|24232300|9890979
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY003TX"|"Loamy Over Clayey Upland"|24232108|9891014
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY003TX"|"Loamy Over Clayey Upland"|24232109|9890968
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY006TX"|"Northern Sandy Loam Upland"|24231955|9891049
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY008TX"|"Northern Deep Sandy Upland"|24231956|9890884
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY005TX"|"Loamy Upland"|24231957|9891001
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY006TX"|"Northern Sandy Loam Upland"|24232418|9890880
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY008TX"|"Northern Deep Sandy Upland"|24232419|9890994
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY005TX"|"Loamy Upland"|24232420|9891019
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY017TX"|"Loamy Bottomland"|24232228|9890963
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY014TX"|"Creek Bottomland"|24232229|9890893
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY017TX"|"Loamy Bottomland"|24231791|9891002
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY017TX"|"Loamy Bottomland"|24231792|9890960
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY001TX"|"Depression"|24232422|9891008
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY001TX"|"Depression"|24232423|9890937
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY005TX"|"Loamy Upland"|24232356|9890910
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY003TX"|"Loamy Over Clayey Upland"|24232357|9890981
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY013TX"|"Terrace"|24232358|9891041
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY011TX"|"Deep Sandy Terrace"|24231936|9890918
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY001TX"|"Depression"|24231937|9891034
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY013TX"|"Terrace"|24231938|9890950
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY003TX"|"Loamy Over Clayey Upland"|24232230|9890986
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY003TX"|"Loamy Over Clayey Upland"|24232231|9891052
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY003TX"|"Loamy Over Clayey Upland"|24232273|9891031
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY005TX"|"Loamy Upland"|24232274|9890954
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY003TX"|"Loamy Over Clayey Upland"|24232275|9890976
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY003TX"|"Loamy Over Clayey Upland"|24232279|9890959
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY005TX"|"Loamy Upland"|24232280|9890988
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY003TX"|"Loamy Over Clayey Upland"|24232281|9890920
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY003TX"|"Loamy Over Clayey Upland"|24232241|9890951
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY003TX"|"Loamy Over Clayey Upland"|24232242|9891022
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY005TX"|"Loamy Upland"|24232243|9890919
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY003TX"|"Loamy Over Clayey Upland"|24232429|9890938
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY003TX"|"Loamy Over Clayey Upland"|24232430|9891059
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY005TX"|"Loamy Upland"|24232431|9890897
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY003TX"|"Loamy Over Clayey Upland"|24232276|9890912
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY003TX"|"Loamy Over Clayey Upland"|24232277|9891027
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY005TX"|"Loamy Upland"|24232278|9891005
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY003TX"|"Loamy Over Clayey Upland"|24232264|9890915
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY003TX"|"Loamy Over Clayey Upland"|24232265|9890984
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY005TX"|"Loamy Upland"|24232267|9890892
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY016TX"|"Sandy Bottomland"|24232268|9890943
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY006TX"|"Northern Sandy Loam Upland"|24232269|9890925
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY016TX"|"Sandy Bottomland"|24232270|9890895
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY006TX"|"Northern Sandy Loam Upland"|24232272|9891037
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY017TX"|"Loamy Bottomland"|24232122|9891042
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY014TX"|"Creek Bottomland"|24232123|9890876
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY001TX"|"Depression"|24232354|9891010
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY005TX"|"Loamy Upland"|24232355|9890896
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY006TX"|"Northern Sandy Loam Upland"|24231963|9891044
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY014TX"|"Creek Bottomland"|24231964|9890875
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY016TX"|"Sandy Bottomland"|24231965|9890993
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY006TX"|"Northern Sandy Loam Upland"|24232232|9891043
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY006TX"|"Northern Sandy Loam Upland"|24232233|9890926
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY005TX"|"Loamy Upland"|24232424|9890957
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY005TX"|"Loamy Upland"|24232425|9890980
"NRCS Forestland Site"|"Ecological Site Description Database"|"F133BY006TX"|"Northern Sandy Loam Upland"|24232426|9890909
