"plantsym"|"plantsciname"|"plantcomname"|"forestunprod"|"rangeprod"|"cokey"|"coeplantskey"
"MOCE2"|"Morella cerifera"|"southern wax-myrtle"|5||24232334|99628114
"2GP"|""|"other perennial grasses"|5||24232334|99628115
"2SD"|""|"other  shrubs"|1||24232334|99628116
"GAYLU"|"Gaylussacia"|"huckleberry"|1||24232334|99628117
"SMILA2"|"Smilax"|"greenbrier"|1||24232334|99628118
"CHLAS"|"Chasmanthium laxum var. sessiliflorum"|"longleaf uniola"|5||24232334|99628119
"ANTE2"|"Andropogon ternarius"|"splitbeard bluestem"|5||24232334|99628120
"SCSCD2"|"Schizachyrium scoparium ssp. divergens"|"pinehill bluestem"|50||24232334|99628121
"SCTE5"|"Schizachyrium tenerum"|"slender bluestem"|5||24232334|99628122
"GESE"|"Gelsemium sempervirens"|"Carolina jessamine"|5||24232334|99628123
"2FP"|""|"other perennial forbs"|5||24232334|99628124
"CAAM2"|"Callicarpa americana"|"American beautyberry"|5||24232334|99628125
"PANIC"|"Panicum"|"panicum"|1||24232334|99628126
"ILVO"|"Ilex vomitoria"|"yaupon"|5||24232334|99628127
"CAREX"|"Carex"|"sedge"|1||24232334|99628128
"TRDA3"|"Tripsacum dactyloides"|"eastern gramagrass"|5||24232338|99628129
"2SD"|""|"other  shrubs"|1||24232338|99628130
"SPCOC2"|"Sporobolus compositus var. compositus"|"meadow dropseed"|4||24232338|99628131
"ANGE"|"Andropogon gerardii"|"big bluestem"|10||24232338|99628132
"2GP"|""|"other perennial grasses"|4||24232338|99628133
"ILVO"|"Ilex vomitoria"|"yaupon"|4||24232338|99628134
"SONU2"|"Sorghastrum nutans"|"yellow Indiangrass"|8||24232338|99628135
"BOCU"|"Bouteloua curtipendula"|"sideoats grama"|4||24232338|99628136
"SMILA2"|"Smilax"|"greenbrier"|4||24232338|99628137
"2FP"|""|"other perennial forbs"|4||24232338|99628138
"CAAM2"|"Callicarpa americana"|"American beautyberry"|5||24232338|99628139
"SCSCD2"|"Schizachyrium scoparium ssp. divergens"|"pinehill bluestem"|35||24232338|99628140
"PAVI2"|"Panicum virgatum"|"switchgrass"|8||24232338|99628141
"2TREE"|""|"other trees"|4||24232338|99628142
"MUMO"|"Muhlenbergia montana"|"mountain muhly"|15||24232339|99628143
"ANVI2"|"Andropogon virginicus"|"broomsedge bluestem"|10||24232339|99628144
"SONU2"|"Sorghastrum nutans"|"yellow Indiangrass"|5||24232339|99628145
"TRFL2"|"Tridens flavus"|"purpletop tridens"|5||24232339|99628146
"CHLAS"|"Chasmanthium laxum var. sessiliflorum"|"longleaf uniola"|15||24232339|99628147
"ARPU8"|"Aristida purpurascens"|"arrowfeather threeawn"|15||24232339|99628148
"2SD"|""|"other  shrubs"|10||24232339|99628149
"PAAN"|"Panicum anceps"|"beaked panicum"|5||24232339|99628150
"2GP"|""|"other perennial grasses"|10||24232339|99628151
"2FP"|""|"other perennial forbs"|10||24232339|99628152
"2GA"|""|"other annual grasses"|20||24231847|99627575
"ARIST"|"Aristida"|"threeawn"|10||24231847|99627576
"CHLAS"|"Chasmanthium laxum var. sessiliflorum"|"longleaf uniola"|10||24231847|99627577
"PANIC"|"Panicum"|"panicum"|20||24231847|99627578
"SCSC"|"Schizachyrium scoparium"|"little bluestem"|20||24231847|99627579
"SCSCD2"|"Schizachyrium scoparium ssp. divergens"|"pinehill bluestem"|20||24231847|99627580
"ANGE"|"Andropogon gerardii"|"big bluestem"|10||24232063|99627676
"CHLAS"|"Chasmanthium laxum var. sessiliflorum"|"longleaf uniola"|10||24232063|99627677
