"desgnsuffix"|"chkey"|"chdesgnsfxkey"
"t"|72025082|30744607
"t"|72025083|30744608
"t"|72025087|30744610
"t"|72025086|30744609
"t"|72025089|30744606
"w"|72025088|30744605
"t"|72024342|30744097
"t"|72024344|30744098
"t"|72024691|30744100
"v"|72024691|30744101
"t"|72024694|30744099
"t"|72024692|30744081
"v"|72024692|30744082
"t"|72024693|30744083
"v"|72024693|30744084
"t"|72025006|30744597
"p"|72025102|30743984
"t"|72025103|30743985
"t"|72025125|30744611
"t"|72024904|30744066
"t"|72024905|30744067
"k"|72024964|30744578
"d"|72024964|30744579
"t"|72024962|30744574
"t"|72024963|30744575
"ss"|72024963|30744576
"k"|72024963|30744577
"t"|72024696|30744106
"t"|72024695|30744105
"t"|72024516|30744068
"d"|72024519|30744071
"t"|72024517|30744069
"t"|72024518|30744070
"t"|72024724|30744078
"t"|72024725|30744079
"t"|72024726|30744080
"ss"|72025021|30744567
"t"|72024520|30744247
"v"|72024520|30744248
"t"|72024521|30744246
"t"|72025108|30744598
"d"|72025111|30744601
"t"|72025109|30744599
"t"|72025110|30744600
"g"|72024495|30744093
"g"|72024496|30744096
"t"|72024493|30744088
"g"|72024493|30744089
"g"|72024494|30744090
"t"|72024494|30744091
"t"|72024494|30744092
"t"|72024500|30744095
"t"|72024498|30744094
"t"|72025104|30744593
"g"|72025104|30744594
"t"|72024533|30744102
"t"|72024534|30744103
"v"|72024534|30744104
"g"|72025175|30744072
"t"|72025176|30744073
"t"|72025177|30744074
"g"|72025177|30744075
"t"|72025224|30744616
"t"|72025225|30744617
"g"|72025223|30744614
"t"|72025223|30744615
"g"|72025222|30744613
"t"|72025130|30744612
"w"|72024331|30744245
"t"|72024911|30744376
"t"|72025097|30744618
"r"|72025095|30744619
"t"|72024562|30744571
"r"|72024560|30744570
"r"|72024564|30744568
"t"|72024563|30744569
"w"|72025207|30744596
"w"|72025208|30744595
"t"|72024350|30744085
"t"|72024351|30744086
"ss"|72024351|30744087
"t"|72025010|30744602
"t"|72025114|30744604
"t"|72025115|30744603
"t"|72024769|30744573
"t"|72024770|30744572
"t"|72025148|30744500
"t"|72025147|30744501
"t"|72025151|30744502
"t"|72025155|30744507
"t"|72025153|30744504
"g"|72025153|30744505
"t"|72025152|30744503
"g"|72025154|30744506
"t"|72025052|30744512
"t"|72025051|30744508
"t"|72025054|30744509
"g"|72025054|30744510
"ss"|72025054|30744511
"t"|72025059|30744527
"g"|72025059|30744528
"t"|72025058|30744522
"g"|72025058|30744523
"g"|72025056|30744529
"t"|72025057|30744524
"g"|72025057|30744525
"y"|72025057|30744526
"g"|72025055|30744521
"t"|72025064|30744519
"t"|72025063|30744520
"g"|72025070|30744517
"t"|72025068|30744514
"g"|72025069|30744515
"t"|72025069|30744516
"t"|72025067|30744513
"t"|72025071|30744518
"w"|72024721|30744076
"g"|72024722|30744077
"t"|72051476|30757960
"t"|72051857|30758044
"w"|72051556|30758130
"t"|72051557|30757816
"t"|72051893|30757942
"t"|72051894|30758047
"v"|72051894|30758049
"v"|72051895|30757946
"t"|72051895|30757944
"t"|72051896|30757725
"t"|72051884|30758149
"d"|72051886|30757830
"d"|72051719|30758151
"t"|72051718|30758150
"t"|72051490|30757862
"t"|72051489|30757749
"t"|72052068|30757937
"t"|72052149|30757935
"b"|72051978|30758081
"g"|72051978|30758082
"g"|72051977|30758083
"g"|72051960|30757848
"w"|72051962|30757847
"g"|72051963|30757953
"g"|72051964|30757737
"ss"|72051964|30757738
"w"|72052101|30758045
"w"|72052102|30757829
"g"|72051855|30758036
"w"|72051854|30757913
"t"|72051974|30757863
"t"|72051971|30757750
"t"|72051973|30757864
"w"|72052004|30757845
"g"|72052006|30757843
"b"|72052006|30757844
"w"|72052003|30757842
"t"|72052030|30757818
"g"|72052031|30758132
"t"|72052031|30758133
"t"|72052027|30758131
"t"|72052035|30758038
"t"|72052036|30757817
"t"|72052040|30757924
"ss"|72052042|30757921
"g"|72052042|30757922
"t"|72052042|30757923
"t"|72052039|30757819
"v"|72051560|30757835
"t"|72051560|30757836
"t"|72051559|30757834
"t"|72052282|30757911
"d"|72052283|30757912
"t"|72052287|30758035
"t"|72052288|30757815
"g"|72051627|30757849
"g"|72051628|30757852
"g"|72051631|30757853
"g"|72051629|30757850
"b"|72051629|30757851
"t"|72051638|30757867
"t"|72051640|30758078
"t"|72051641|30758077
"t"|72051762|30758072
"t"|72051764|30758073
"g"|72051768|30757745
"g"|72051769|30757746
"g"|72051767|30757956
"t"|72051767|30757957
"t"|72051767|30757958
"t"|72051766|30757743
"g"|72051766|30757744
"w"|72051530|30757854
"w"|72051531|30757855
"t"|72051436|30757762
"d"|72051437|30757981
"t"|72051440|30758050
"t"|72051771|30757859
"t"|72051772|30757860
"v"|72051772|30757861
"t"|72051526|30757954
"g"|72051526|30757955
"t"|72051524|30758071
"t"|72051525|30757741
"g"|72051525|30757742
"g"|72051696|30757932
"g"|72051699|30757930
"t"|72051699|30757931
"g"|72051695|30757821
"g"|72051698|30758041
"t"|72051698|30758042
"y"|72051697|30757822
"g"|72051697|30757823
"t"|72051697|30757824
"y"|72051702|30758144
"g"|72051702|30758145
"t"|72051702|30758146
"g"|72051703|30758142
"t"|72051703|30758143
"g"|72051704|30758147
"t"|72051704|30758148
"g"|72051700|30758141
"g"|72051701|30757827
"w"|72051467|30757979
"t"|72052096|30758134
"d"|72052097|30758135
"t"|72051724|30757933
"d"|72051725|30757934
"t"|72052063|30758139
"g"|72052063|30758138
"g"|72052064|30758140
"t"|72052066|30757825
"t"|72052061|30758136
"t"|72052062|30758137
"t"|72051881|30757826
"d"|72051882|30758043
"t"|72051832|30758040
"t"|72051827|30757925
"g"|72051829|30757927
"t"|72051829|30757928
"g"|72051830|30757929
"t"|72051828|30757926
"t"|72051834|30758039
"t"|72051833|30757820
"t"|72052215|30757902
"t"|72052216|30757901
"t"|72052223|30758117
"t"|72052219|30758022
"g"|72052222|30757804
"t"|72052221|30758023
"g"|72052221|30758024
"t"|72052220|30757803
"t"|72051690|30757914
"t"|72051689|30757915
"t"|72051850|30758037
"t"|72051848|30757916
"g"|72051852|30757920
"t"|72051851|30757918
"g"|72051851|30757919
"t"|72051849|30757917
"t"|72052227|30757908
"t"|72052228|30757909
"ss"|72052228|30757910
"t"|72052226|30757907
"g"|72052230|30758034
"t"|72052233|30757813
"g"|72052233|30757814
"g"|72052229|30758124
"t"|72052232|30758125
"g"|72052232|30758126
"t"|72052231|30758127
"g"|72052231|30758128
"y"|72052231|30758129
"t"|72052237|30758122
"g"|72052237|30758123
"t"|72052238|30758120
"ss"|72052238|30758121
"t"|72052236|30758033
"t"|72052165|30758025
"t"|72052167|30757805
"g"|72052167|30757806
"ss"|72052167|30757807
"t"|72052164|30758118
"t"|72052171|30758028
"t"|72052172|30757808
"g"|72052174|30757812
"g"|72052173|30758119
"t"|72052175|30757809
"g"|72052175|30757810
"y"|72052175|30757811
