"hzname"|"desgndisc"|"desgnmaster"|"desgnmasterprime"|"desgnvert"|"hzdept_l"|"hzdept_r"|"hzdept_h"|"hzdepb_l"|"hzdepb_r"|"hzdepb_h"|"hzthk_l"|"hzthk_r"|"hzthk_h"|"fraggt10_l"|"fraggt10_r"|"fraggt10_h"|"frag3to10_l"|"frag3to10_r"|"frag3to10_h"|"sieveno4_l"|"sieveno4_r"|"sieveno4_h"|"sieveno10_l"|"sieveno10_r"|"sieveno10_h"|"sieveno40_l"|"sieveno40_r"|"sieveno40_h"|"sieveno200_l"|"sieveno200_r"|"sieveno200_h"|"sandtotal_l"|"sandtotal_r"|"sandtotal_h"|"sandvc_l"|"sandvc_r"|"sandvc_h"|"sandco_l"|"sandco_r"|"sandco_h"|"sandmed_l"|"sandmed_r"|"sandmed_h"|"sandfine_l"|"sandfine_r"|"sandfine_h"|"sandvf_l"|"sandvf_r"|"sandvf_h"|"silttotal_l"|"silttotal_r"|"silttotal_h"|"siltco_l"|"siltco_r"|"siltco_h"|"siltfine_l"|"siltfine_r"|"siltfine_h"|"claytotal_l"|"claytotal_r"|"claytotal_h"|"claysizedcarb_l"|"claysizedcarb_r"|"claysizedcarb_h"|"om_l"|"om_r"|"om_h"|"dbtenthbar_l"|"dbtenthbar_r"|"dbtenthbar_h"|"dbthirdbar_l"|"dbthirdbar_r"|"dbthirdbar_h"|"dbfifteenbar_l"|"dbfifteenbar_r"|"dbfifteenbar_h"|"dbovendry_l"|"dbovendry_r"|"dbovendry_h"|"partdensity"|"ksat_l"|"ksat_r"|"ksat_h"|"awc_l"|"awc_r"|"awc_h"|"wtenthbar_l"|"wtenthbar_r"|"wtenthbar_h"|"wthirdbar_l"|"wthirdbar_r"|"wthirdbar_h"|"wfifteenbar_l"|"wfifteenbar_r"|"wfifteenbar_h"|"wsatiated_l"|"wsatiated_r"|"wsatiated_h"|"lep_l"|"lep_r"|"lep_h"|"ll_l"|"ll_r"|"ll_h"|"pi_l"|"pi_r"|"pi_h"|"aashind_l"|"aashind_r"|"aashind_h"|"kwfact"|"kffact"|"caco3_l"|"caco3_r"|"caco3_h"|"gypsum_l"|"gypsum_r"|"gypsum_h"|"sar_l"|"sar_r"|"sar_h"|"ec_l"|"ec_r"|"ec_h"|"cec7_l"|"cec7_r"|"cec7_h"|"ecec_l"|"ecec_r"|"ecec_h"|"sumbases_l"|"sumbases_r"|"sumbases_h"|"ph1to1h2o_l"|"ph1to1h2o_r"|"ph1to1h2o_h"|"ph01mcacl2_l"|"ph01mcacl2_r"|"ph01mcacl2_h"|"freeiron_l"|"freeiron_r"|"freeiron_h"|"feoxalate_l"|"feoxalate_r"|"feoxalate_h"|"extracid_l"|"extracid_r"|"extracid_h"|"extral_l"|"extral_r"|"extral_h"|"aloxalate_l"|"aloxalate_r"|"aloxalate_h"|"pbray1_l"|"pbray1_r"|"pbray1_h"|"poxalate_l"|"poxalate_r"|"poxalate_h"|"ph2osoluble_l"|"ph2osoluble_r"|"ph2osoluble_h"|"ptotal_l"|"ptotal_r"|"ptotal_h"|"excavdifcl"|"excavdifms"|"cokey"|"chkey"
"E"||"E"|||5|13|28|18|38|51|5|25|46|0|0|0|0|0|0|100|100|100|95|96|100|80|88|97|34|55|70|55|69.3|73|0|0.3|0.5|1|4.8|6|10|15.4|20|20|30.1|35|15|18.7|25|15|21.7|30|||||||3|9|15|0|0|0|0.1|0.55|1||||1.3|1.56|2||||1.37|1.63|2.07||14|28|42|0.11|0.13|0.15||||9.7|16.4|21.3|2.2|7|12|22|38|48|0|1.5|2.9|0|12.5|25|0|3|5|0|0|0|0.32|0.32|0|0|0|0|0|0|0|0|0|0|1|2|1.1|3.3|5.5||||0.5|2.3|4.8|5.1|5.8|6.5|4.5|5.4|6|||||||0.8|3.6|6.4|||||||||||||||||||||24232334|72025080
"Bt/E"||"B/E"|||122|125|145|203|203|203|58|78|81|0|0|0|0|0|0|100|100|100|94|96|100|77|83|94|39|46.5|65|47|61.4|65|0|4.5|5|0|6.1|6.5|10|14.6|20|20|22.4|35|12|13.8|20|15|18.6|25|||||||10|20|30|0|0|0|0.1|0.1|0.25||||1.45|1.53|1.65||||1.52|1.6|1.67||4|9|14|0.16|0.18|0.2||||15.6|21.6|26.6|6.3|12.7|19.6|34|39|43|0|1.5|2.9|20|30|40|3|13|22|0|3|12|0.24|0.24|0|0|0|0|0|0|0|0|0|0|1|2|3.5|6.9|10.5||||0.9|4.7|9.9|4.5|5.5|6.5|4.5|5.1|6|||||||1.3|4.9|8.7|||||||||||||||||||||24232334|72025082
"Bt"||"B"|||18|38|51|122|125|145|71|87|127|0|0|0|0|0|0|95|98|100|89|96|100|75|84|95|40|63|75|47|59.6|65|0|3.7|5|0|5.5|6|10|14.4|20|20|22.3|35|12|13.7|20|15|16.4|25|||||||18|24|30|0|0|0|0.1|0.25|0.3||||1.4|1.5|1.65||||1.62|1.72|1.79||4|9|14|0.16|0.18|0.2||||19.5|23.3|26.4|10.7|15.1|19.3|33|40|45|3|4.5|5.9|26|33|40|12|18|24|1|8|16|0.24|0.24|0|0|0|0|0|0|0|0|0|0|1|2|6.2|8.4|10.5||||1.6|6.1|9.8|4.5|5.5|6.5|4.5|5.1|6|||||||1.8|5.3|8.7|||||||||||||||||||||24232334|72025083
"A"||"A"|||0|0|0|5|13|28|5|13|28|0|0|0|0|0|0|100|100|100|94|96|100|80|88|98|37|50|60|55|64.2|73|0|0.3|0.5|1|4.4|6|10|14.3|20|20|27.9|35|15|17.3|25|15|26.8|30|||||||3|9|15|0|0|0|0.5|1.25|2||||1.3|1.5|1.5||||1.37|1.57|1.64||14|28|42|0.12|0.14|0.16||||10.6|17.2|22|2.7|7.7|12.9|39|39|48|0|1.5|2.9|0|12.5|25|0|2|4|0|0|0|0.28|0.28|0|0|0|0|0|0|0|0|0|0|1|2|1.1|3.3|5.5||||0.2|2.8|5.4|5.1|5.8|6.5|4.5|5.4|6|||||||1.1|4|7|||||||||||||||||||||24232334|72025081
"A"||"A"|||0|0|0|5|5|10|5|5|10|0|0|0|0|0|0|100|100|100|93|96|100|80|88|99|37|44|54|55|63.9|73|0|0.3|0.5|1|4.4|6|10|14.2|20|20|27.8|35|15|17.2|22|15|26.6|40|||||||4|9.5|15|0|0|0|0.5|1.25|2||||1.2|1.3|1.4||||1.26|1.36|1.42||14|28|42|0.11|0.14|0.16||||10.9|16.5|20.6|2.9|7|11.2|42|47|51|0|1.5|2.9|16|23|31|1|5|10|0|0|3|0.28|0.28|0|0|0|0|0|0|0|0|0|0|0.1|0.5||||0.7|1.7|2.9|0.7|1.7|2.9|4.5|5.5|6.5|4.5|5.1|6|||||||0|3.7|10.4|||||||||||||||||||||24232338|72025084
"Bt/E"||"B/E"|||92|140|152|203|203|203|42|63|90|0|0|0|0|0|0|100|100|100|94|96|100|77|84|98|53|61|72|27|43|50|1|4.2|6|0|5.8|6|1|7.6|10|10|13.3|35|10|12.1|20|27|39.5|50|||||||10|17.5|25|0|0|0|0.5|0.75|1||||1.3|1.4|1.5||||1.37|1.47|1.53||4|9|14|0.12|0.15|0.18||||21.2|25.9|29.9|6.1|10.5|15.3|39|43|48|0|1.5|2.9|21|29|37|6|11|17|0|4|11|0.37|0.37|0|0|0|0|0|0|0|0|0|0|0.1|1||||1.8|3.3|4.9|1.3|2.9|4.9|4.5|5.5|6.5|4.5|5.1|6|||||||0|4.6|10.9|||||||||||||||||||||24232338|72025087
"E"||"E"|||5|5|10|49|97|102|39|92|102|0|0|0|0|0|0|100|100|100|93|96|100|79|87|100|34|40|53|50|68.1|73|0|0.3|0.5|1|4.7|6|10|15.1|20|20|29.6|35|15|18.4|25|15|21.4|40|||||||4|10.5|17|0|0|0|0.5|0.75|1||||1.2|1.3|1.4||||1.26|1.36|1.42||14|28|42|0.11|0.14|0.16||||10.9|16.4|20.6|2.9|6.9|11.1|43|47|52|0|1.5|2.9|16|23|30|1|6|11|0|0|3|0.32|0.32|0|0|0|0|0|0|0|0|0|0|0.1|1||||1.8|5.5|12.5|1.2|5|12.5|4.5|5.5|6.5|4.5|5.1|6|||||||0|3.2|9.4|||||||||||||||||||||24232338|72025085
"Bt"||"B"|||49|97|102|92|140|152|12|43|80|0|0|0|0|0|0|100|100|100|94|96|100|78|84|100|54|59|70|27|45.4|50|1|4.5|6|0|6.1|8|1|8.1|25|13|14|35|10|12.7|20|35|41.6|50|||||||8|13|18|0|0|0|0.5|0.75|1||||1.3|1.4|1.5||||1.37|1.47|1.53||4|9|14|0.12|0.15|0.18||||19.7|23.6|27|5|8.1|11.4|39|43|48|0|1.5|2.9|20|25|31|4|8|12|0|2|7|0.43|0.43|0|0|0|0|0|0|0|0|0|0|0.1|1||||1.4|2.4|3.5|1.2|1.9|3.5|4.5|5.5|6.5|4.5|5.1|6|||||||0|3.7|9.6|||||||||||||||||||||24232338|72025086
"E and Bt"||"E and B"|||89|125|125|203|203|203|78|78|114|0|0|0|0|0|0|100|100|100|96|98|100|87|93|98|26|31|36|71|80.8|85|0|0|0|1.6|1.9|2.1|12.1|14|15.6|36.9|42.6|47.5|19.3|22.3|24.8|6|9.2|20|||||||5|10|14|0|0|0|0|0.1|0.25||||1.2|1.35|1.5||||1.26|1.41|1.56||42|92|141|0.08|0.1|0.11|17|21|23.8|11.2|15.6|19.1|3|6.1|9.4|40|46|52|0.1|0.3|0.8|10|16|19|3|3|6|0|0|0|0.17|0.17|0|0|0|0|0|0|0|0|0|0.1|0.2|0.3||||0.6|1.4|3.5|0.5|1.1|2.1|4.5|5.3|6|4.5|4.9|5.5|||||||0|1.9|5.6|||||||||||||||||||||24232339|72025089
"A"||"A"|||0|0|0|10|25|25|10|25|25|0|0|0|0|0|0|100|100|100|96|98|100|86|92|97|23|28|32|80|87.3|88|0|0|0|1.7|2.1|2.2|11.4|14.2|14.6|34.7|43.3|44.6|22.2|27.7|28.6|6|6.7|15|||||||5|6|8|0|0|0|0.5|0.75|1||||1.2|1.35|1.5||||1.26|1.41|1.56||42|92|141|0.05|0.08|0.1|14.8|19.3|22.2|9|13.7|17.1|1.8|4.6|7.4|40|46|52|0|0.2|0.7|10|15|19|1|2|4|0|0|0|0.2|0.2|0|0|0|0|0|0|0|0|0|0.1|0.2|0.3||||0.3|0.9|3|0.3|0.9|2|4.5|5.3|6|4.5|4.9|5.5|||||||0|1.9|5.6|||||||||||||||||||||24232339|72025090
