"structgrade"|"structsize"|"structtype"|"structid"|"structpartsto"|"chstructgrpkey"|"chstructkey"
"Weak"|"Medium"|"Subangular blocky"|||42386491|51770772
"Weak"|"Coarse"|"Prismatic"|2|1|42386551|51770855
"Weak"|"Medium"|"Subangular blocky"|||42386578|51770886
"Weak"|"Fine"|"Granular"|||42386577|51770885
"Weak"|"Medium"|"Granular"|||42386579|51770887
"Weak"|"Coarse"|"Prismatic"|1|2|42385818|51769883
"Weak"|"Medium"|"Subangular blocky"|2||42385818|51769884
"Weak"|"Medium"|"Subangular blocky"|||42386580|51770888
"Weak"|"Medium"|"Prismatic"|1|2|42386552|51770856
"Moderate"|"Medium"|"Subangular blocky"|2||42386552|51770857
"Weak"|"Fine"|"Granular"|||42386490|51770771
"Weak"|"Fine"|"Granular"|||42386550|51770854
"Weak"|"Fine"|"Granular"|||42386406|51770659
"Weak"|"Fine"|"Granular"|||42386265|51770464
"Weak"|"Fine"|"Granular"|||42386202|51770377
"Weak"|"Medium"|"Subangular blocky"|||42386266|51770465
"Weak"|"Fine"|"Subangular blocky"|||42386342|51770569
"Moderate"|"Medium"|"Subangular blocky"|||42386048|51770162
"Moderate"|"Medium"|"Subangular blocky"|||42386047|51770161
"Moderate"|"Medium"|"Subangular blocky"|||42386224|51770412
"Moderate"|"Medium"|"Subangular blocky"|||42386164|51770328
"Weak"|"Fine"|"Granular"|||42386046|51770160
"Weak"|"Fine"|"Granular"|||42385827|51769893
"Weak"|"Fine"|"Granular"|||42386545|51770849
"Weak"|"Medium"|"Subangular blocky"|||42386472|51770750
"Weak"|"Fine"|"Granular"|||42386471|51770749
"Moderate"|"Medium"|"Subangular blocky"|||42386395|51770646
"Moderate"|"Medium"|"Subangular blocky"|||42386462|51770735
"Weak"|"Fine"|"Granular"|||42386400|51770653
"Weak"|"Fine"|"Granular"|||42386399|51770652
"Moderate"|"Medium"|"Subangular blocky"|||42386401|51770654
"Weak"|"Fine"|"Subangular blocky"|||42386190|51770364
"Weak"|"Fine"|"Subangular blocky"|||42386251|51770449
"Structureless"|""|"Single grain"|||42386189|51770363
"Structureless"|""|"Single grain"|||42386250|51770448
"Structureless"|""|"Massive"|||42386581|51770889
"Moderate"|"Medium"|"Prismatic"|1|2|42386494|51770775
"Weak"|"Medium"|"Subangular blocky"|2||42386494|51770776
"Moderate"|"Medium"|"Prismatic"|1|2|42386557|51770862
"Weak"|"Medium"|"Subangular blocky"|2||42386557|51770863
"Moderate"|"Medium"|"Granular"|||42386556|51770861
"Moderate"|"Medium"|"Granular"|||42386582|51770890
"Weak"|"Fine"|"Granular"|||42386101|51770242
"Moderate"|"Coarse"|"Subangular blocky"|||42386103|51770244
"Weak"|"Fine"|"Granular"|||42386287|51770493
"Moderate"|"Medium"|"Subangular blocky"|||42386102|51770243
"Structureless"|""|"Massive"|||42386104|51770245
"Moderate"|"Medium"|"Subangular blocky"|||42386252|51770450
"Structureless"|""|"Massive"|||42386129|51770282
"Weak"|"Medium"|"Subangular blocky"|||42386191|51770365
"Strong"|"Medium"|"Subangular blocky"|||42386192|51770366
"Moderate"|"Medium"|"Subangular blocky"|||42386253|51770451
"Weak"|"Medium"|"Granular"|||42386163|51770327
"Moderate"|"Medium"|"Subangular blocky"|||42386223|51770411
"Moderate"|"Medium"|"Subangular blocky"|||42386280|51770483
"Moderate"|"Medium"|"Subangular blocky"|||42386281|51770484
"Weak"|"Medium"|"Subangular blocky"|||42386477|51770755
"Weak"|"Medium"|"Angular blocky"|||42386479|51770757
"Structureless"|""|"Massive"|||42386478|51770756
"Weak"|"Medium"|"Subangular blocky"|||42386156|51770315
"Weak"|"Medium"|"Subangular blocky"|||42386217|51770401
"Weak"|"Medium"|"Granular"|||42386073|51770200
"Structureless"|""|"Single grain"|||42386074|51770201
"Moderate"|"Medium"|"Subangular blocky"|||42386473|51770751
"Structureless"|""|"Massive"|||42386547|51770851
"Strong"|"Medium"|"Subangular blocky"|||42386546|51770850
"Moderate"|"Medium"|"Subangular blocky"|||42386487|51770767
"Weak"|"Medium"|"Subangular blocky"|||42386576|51770884
"Weak"|"Fine"|"Granular"|||42386197|51770372
"Structureless"|""|"Massive"|||42386259|51770458
"Weak"|"Medium"|"Subangular blocky"|||42386260|51770459
"Moderate"|"Medium"|"Subangular blocky"|||42386258|51770457
"Weak"|"Medium"|"Subangular blocky"|||42386198|51770373
"Weak"|"Medium"|"Granular"|||42386298|51770509
"Weak"|"Coarse"|"Prismatic"|1|2|42386301|51770513
"Weak"|"Medium"|"Subangular blocky"|2||42386301|51770514
"Moderate"|"Medium"|"Subangular blocky"|2||42386300|51770512
"Weak"|"Medium"|"Prismatic"|1|2|42386300|51770511
"Weak"|"Medium"|"Subangular blocky"|||42386299|51770510
"Structureless"|""|"Massive"|||42385992|51770096
"Moderate"|"Fine"|"Subangular blocky"|||42385851|51769926
"Weak"|"Fine"|"Subangular blocky"|||42385997|51770101
""|""|"Massive"|||42385998|51770102
""|""|"Single grain"|||42386126|51770278
""|""|"Single grain"|||42386353|51770587
"Weak"|"Medium"|"Subangular blocky"|||42386127|51770279
"Weak"|"Medium"|"Subangular blocky"|||42386128|51770280
"Moderate"|"Medium"|"Prismatic"|||42386128|51770281
"Weak"|"Medium"|"Subangular blocky"|||42386187|51770361
"Structureless"|""|"Massive"|||42386194|51770368
"Moderate"|"Medium"|"Subangular blocky"|||42386194|51770369
"Structureless"|""|"Massive"|||42386255|51770453
"Weak"|"Medium"|"Platy"|||42386255|51770454
"Moderate"|"Medium"|"Subangular blocky"|||42386130|51770283
"Strong"|"Medium"|"Subangular blocky"|||42386131|51770284
"Weak"|"Fine"|"Subangular blocky"|||42386254|51770452
"Weak"|"Fine"|"Subangular blocky"|||42386193|51770367
