"texmod"|"chtkey"|"chtexmodkey"
"Gravelly"|148115182|43565433
"Paragravelly"|148115744|43565397
"Gravelly"|148116248|43565499
"Stony"|148115176|43565316
"Gravelly"|148116259|43565436
"Gravelly"|148115553|43565374
"Gravelly"|148115073|43565288
"Gravelly"|148115539|43565498
"Paragravelly"|148115746|43565287
"Mucky"|148115971|43565434
"Gravelly"|148115990|43565500
"Mucky"|148116242|43565435
"Mucky"|148176762|43583375
"Gravelly"|148176739|43583322
"Gravelly"|148176521|43583376
"Gravelly"|148176106|43583396
"Gravelly"|148175873|43583327
"Gravelly"|148176907|43583398
"Stony"|148176483|43583373
"Gravelly"|148176233|43583395
"Mucky"|148176516|43583374
