"texcl"|"lieutex"|"chtgkey"|"chtkey"
"Fine sandy loam"|""|145640672|148114932
"Very fine sandy loam"|""|145640673|148114933
"Loam"|""|145640674|148115205
"Fine sandy loam"|""|145640676|148115206
"Loam"|""|145640677|148115878
"Sandy clay loam"|""|145640678|148114512
"Loam"|""|145640679|148114513
"Sandy clay loam"|""|145640680|148115883
"Clay loam"|""|145640681|148115884
"Fine sandy loam"|""|145640675|148115879
"Fine sandy loam"|""|145640682|148115885
"Sandy clay loam"|""|145640688|148115207
"Loam"|""|145640689|148115208
"Very fine sandy loam"|""|145640683|148115886
"Loam"|""|145640684|148114514
"Fine sandy loam"|""|145640685|148116157
"Fine sandy loam"|""|145640686|148114515
"Loam"|""|145640687|148116158
"Fine sand"|""|145640692|148115876
"Loamy fine sand"|""|145640693|148114510
"Fine sandy loam"|""|145640694|148115877
"Loamy fine sand"|""|145640695|148114511
"Fine sand"|""|145640696|148114931
"Loamy fine sand"|""|145640690|148115881
"Fine sand"|""|145640691|148115882
"Loamy fine sand"|""|145639158|148116526
"Loamy fine sand"|""|145639162|148115283
"Fine sand"|""|145639163|148116132
"Loamy fine sand"|""|145639159|148116133
"Fine sandy loam"|""|145639160|148116134
"Fine sand"|""|145639161|148116135
"Loamy fine sand"|""|145639164|148115284
"Fine sand"|""|145639165|148116136
"Fine sandy loam"|""|145639166|148116527
"Sandy clay loam"|""|145639860|148115285
"Clay loam"|""|145639861|148116528
"Fine sandy loam"|""|145639862|148115286
"Sandy clay loam"|""|145639869|148116407
"Clay loam"|""|145639870|148116408
"Fine sandy loam"|""|145639871|148116409
"Sandy clay loam"|""|145639863|148115646
"Clay loam"|""|145639864|148115647
"Fine sandy loam"|""|145639865|148115648
"Sandy clay loam"|""|145639866|148116205
"Clay loam"|""|145639867|148114697
"Fine sandy loam"|""|145639868|148116206
"Fine sandy loam"|""|145639858|148116406
"Fine sandy loam"|""|145639859|148115680
"Loamy fine sand"|""|145640502|148115320
"Fine sandy loam"|""|145640503|148115065
"Sandy clay loam"|""|145640498|148115321
"Fine sandy loam"|""|145640499|148116562
"Loamy fine sand"|""|145640500|148116561
"Fine sandy loam"|""|145640501|148114503
"Clay loam"|""|145640725|148115081
"Clay loam"|""|145640726|148115462
"Sandy clay loam"|""|145640727|148115463
"Clay"|""|145640728|148115464
"Sandy clay loam"|""|145640894|148115538
"Sandy clay"|""|145640898|148115825
"Sandy clay loam"|""|145640899|148114595
"Clay"|""|145640900|148115826
"Fine sandy loam"|""|145640901|148115172
"Clay loam"|""|145640895|148114596
"Sandy clay loam"|""|145640896|148115536
"Fine sandy loam"|""|145640897|148115537
"Clay"|""|145640436|148114597
"Sandy clay loam"|""|145640437|148115827
"Sandy clay"|""|145640438|148114598
"Sandy clay loam"|""|145640432|148115175
"Fine sandy loam"|""|145640439|148115539
"Fine sandy loam"|""|145640433|148115828
"Clay loam"|""|145640434|148115173
"Sandy clay loam"|""|145640435|148115174
"Fine sandy loam"|""|145640446|148115176
"Sandy clay loam"|""|145640441|148115829
"Fine sandy loam"|""|145640442|148114600
"Clay loam"|""|145640443|148115830
"Clay"|""|145640444|148115177
"Sandy clay loam"|""|145640445|148114599
"Sandy clay loam"|""|145640440|148115540
"Loamy fine sand"|""|145640786|148115309
"Fine sand"|""|145640787|148116550
"Loamy fine sand"|""|145640790|148116151
"Sandy clay loam"|""|145640788|148115310
"Fine sandy loam"|""|145640789|148116551
"Sandy clay"|""|145639958|148114593
"Clay loam"|""|145639959|148115824
"Clay"|""|145639960|148114594
"Sandy clay loam"|""|145639950|148115170
"Loam"|""|145639951|148115171
"Clay loam"|""|145639952|148115823
"Clay loam"|""|145639953|148115169
"Clay"|""|145639954|148115535
"Sandy clay loam"|""|145639955|148115532
"Loam"|""|145639956|148115533
"Clay loam"|""|145639957|148115534
"Sandy clay loam"|""|145640311|148114944
"Fine sandy loam"|""|145640312|148114945
"Sandy clay loam"|""|145640313|148114390
"Fine sandy loam"|""|145640314|148115333
"Loamy fine sand"|""|145640308|148114389
"Loamy fine sand"|""|145640309|148114942
"Fine sand"|""|145640310|148114943
"Loamy fine sand"|""|145640447|148115542
"Fine sand"|""|145640448|148115543
"Loamy fine sand"|""|145640449|148115541
"Fine sandy loam"|""|145640450|148115832
"Sandy clay loam"|""|145640451|148114602
"Fine sandy loam"|""|145640452|148115831
"Sandy clay loam"|""|145640453|148114601
""|"Variable"|145640454|148115178
"Loamy fine sand"|""|145640455|148115181
"Fine sand"|""|145640456|148114603
"Loamy fine sand"|""|145640457|148115180
"Fine sandy loam"|""|145640458|148115834
"Sandy clay loam"|""|145640459|148115544
"Sandy clay loam"|""|145640460|148115833
"Fine sandy loam"|""|145640461|148114604
""|"Variable"|145640462|148115179
"Clay loam"|""|145640430|148115750
"Clay"|""|145640431|148115079
"Clay"|""|145640428|148115749
"Clay"|""|145640429|148114528
"Loam"|""|145640426|148114527
"Loam"|""|145640427|148115080
"Clay"|""|145640902|148114608
"Clay loam"|""|145640903|148115549
"Clay"|""|145640904|148115837
"Clay"|""|145640905|148114607
"Loam"|""|145640906|148115836
"Sandy clay loam"|""|145640466|148115547
"Loam"|""|145640467|148115546
"Fine sandy loam"|""|145640468|148115548
"Sandy clay loam"|""|145640463|148114606
"Clay loam"|""|145640464|148114605
"Loam"|""|145640465|148115835
"Loam"|""|145640469|148115545
""|"Variable"|145640389|148115550
"Sandy clay loam"|""|145640390|148114610
"Loam"|""|145640391|148115839
"Clay loam"|""|145640392|148114611
"Fine sandy loam"|""|145640393|148115552
"Loam"|""|145640394|148114609
"Sandy clay loam"|""|145640395|148115838
"Loam"|""|145640396|148115551
"Fine sandy loam"|""|145639879|148115508
"Clay loam"|""|145639875|148115121
"Sandy clay loam"|""|145639876|148115790
"Clay"|""|145639877|148115122
"Fine sandy loam"|""|145639880|148115124
"Clay"|""|145639872|148114565
"Clay loam"|""|145639873|148114564
"Sandy clay"|""|145639874|148115789
"Clay loam"|""|145639878|148115123
"Sandy clay"|""|145640911|148115183
"Clay loam"|""|145640912|148115184
"Clay"|""|145640913|148115185
"Clay loam"|""|145640907|148115841
"Sandy clay loam"|""|145640908|148114612
"Clay loam"|""|145640909|148115840
"Clay"|""|145640910|148114613
"Fine sandy loam"|""|145640914|148115182
"Clay loam"|""|145639528|148114821
"Loam"|""|145639529|148114819
"Sandy clay loam"|""|145639530|148114820
"Clay"|""|145639537|148114948
"Clay loam"|""|145639527|148114818
"Clay loam"|""|145639531|148114391
"Sandy clay"|""|145639532|148115334
"Clay"|""|145639533|148114392
"Clay loam"|""|145639534|148114947
"Loam"|""|145639535|148115335
"Sandy clay loam"|""|145639536|148114946
"Fine sandy loam"|""|145639994|148114615
"Clay loam"|""|145639988|148115189
"Sandy clay loam"|""|145639989|148114616
"Clay"|""|145639990|148115844
"Clay"|""|145639991|148115186
"Sandy clay"|""|145639992|148115187
"Clay loam"|""|145639993|148115188
"Clay loam"|""|145639987|148114617
""|"Variable"|145639995|148115843
"Clay"|""|145639983|148115554
"Sandy clay"|""|145639984|148115555
"Clay loam"|""|145639985|148115556
"Clay loam"|""|145639981|148114614
"Clay loam"|""|145639982|148115842
"Fine sandy loam"|""|145639986|148115553
"Fine sandy loam"|""|145639942|148116202
"Sandy clay loam"|""|145639943|148116203
"Loam"|""|145639944|148114696
"Clay loam"|""|145639945|148115929
"Clay"|""|145639946|148115931
"Sandy clay"|""|145639947|148115930
"Clay"|""|145639948|148116204
"Sandy clay"|""|145639949|148115932
"Clay loam"|""|145640536|148114936
"Clay"|""|145640538|148114521
"Silty clay"|""|145640539|148115743
"Clay"|""|145640537|148114937
"Clay loam"|""|145639999|148115557
"Clay"|""|145639996|148115845
"Clay"|""|145639997|148115558
"Silty clay"|""|145639998|148114618
"Sandy clay loam"|""|145639538|148114536
"Fine sandy loam"|""|145639539|148115757
"Clay loam"|""|145639540|148115758
"Sandy clay loam"|""|145639541|148114535
"Fine sandy loam"|""|145639542|148115476
"Loamy fine sand"|""|145639543|148115474
"Loamy fine sand"|""|145639544|148115475
"Loamy fine sand"|""|145640916|148115846
"Sandy clay loam"|""|145640917|148115193
"Fine sandy loam"|""|145640918|148115847
"Clay loam"|""|145640919|148114620
"Fine sandy loam"|""|145640920|148115191
"Sandy clay loam"|""|145640921|148115192
"Loamy fine sand"|""|145640915|148115190
""|"Variable"|145640922|148114619
"Sandy clay loam"|""|145640397|148114621
"Clay loam"|""|145640398|148115559
"Loam"|""|145640399|148115560
"Clay loam"|""|145640400|148115848
"Silty clay loam"|""|145638992|148114804
"Sandy clay"|""|145638993|148114805
"Loam"|""|145638994|148114806
"Silty clay loam"|""|145638995|148114381
"Sandy clay loam"|""|145638996|148115324
"Loam"|""|145638997|148114382
"Fine sandy loam"|""|145638998|148115323
"Fine sandy loam"|""|145640923|148114729
"Loamy fine sand"|""|145640924|148116238
"Loam"|""|145640928|148115561
"Loam"|""|145640925|148115562
"Sandy clay loam"|""|145640926|148114728
"Clay loam"|""|145640927|148116237
"Loam"|""|145640734|148114930
"Sandy clay loam"|""|145640735|148115448
"Clay loam"|""|145640736|148114504
"Clay"|""|145640743|148114506
"Clay loam"|""|145640737|148115449
"Sandy clay"|""|145640738|148114505
"Clay"|""|145640739|148115066
"Loam"|""|145640740|148115067
"Sandy clay loam"|""|145640741|148115068
"Clay loam"|""|145640742|148115069
"Clay loam"|""|145640733|148114929
"Loam"|""|145639475|148115937
"Fine sandy loam"|""|145639482|148115649
"Loamy fine sand"|""|145639483|148116210
"Loam"|""|145639484|148115942
"Clay loam"|""|145639476|148115940
"Sandy clay loam"|""|145639477|148115938
"Loam"|""|145639478|148115939
"Loam"|""|145639479|148114700
"Clay loam"|""|145639480|148114699
"Sandy clay loam"|""|145639481|148116209
"Fine sandy loam"|""|145639485|148115650
"Loam"|""|145639491|148114702
"Sandy clay loam"|""|145639492|148115941
"Loam"|""|145639486|148114701
"Fine sandy loam"|""|145639487|148116212
"Fine sandy loam"|""|145639488|148115651
"Very fine sandy loam"|""|145639489|148115652
"Loam"|""|145639490|148116211
"Clay"|""|145640404|148114730
"Clay"|""|145640401|148115687
"Silty clay"|""|145640402|148115685
"Clay"|""|145640403|148115686
"Clay"|""|145640488|148114748
"Fine sandy loam"|""|145640489|148116257
"Clay loam"|""|145640486|148116258
"Clay"|""|145640487|148114749
"Clay"|""|145640494|148114750
"Clay loam"|""|145640495|148116261
"Clay"|""|145640496|148116260
"Fine sandy loam"|""|145640497|148115990
"Clay"|""|145640424|148116255
"Clay loam"|""|145640425|148114746
"Clay"|""|145640422|148114747
"Clay loam"|""|145640423|148116256
"Clay"|""|145640940|148115706
"Clay loam"|""|145640941|148115707
"Clay"|""|145640942|148115705
"Clay loam"|""|145640943|148115704
"Clay loam"|""|145640493|148116259
"Clay"|""|145640490|148115988
"Clay loam"|""|145640491|148115989
"Clay"|""|145640492|148115987
"Fine sandy loam"|""|145640473|148115688
"Clay"|""|145640472|148114731
"Clay loam"|""|145640470|148116239
"Clay"|""|145640471|148114732
""|"Variable"|145640474|148116240
"Loamy fine sand"|""|145640478|148115970
"Fine sandy loam"|""|145640475|148115971
"Loamy fine sand"|""|145640476|148115972
"Sand"|""|145640477|148115973
"Sand"|""|145640479|148116241
"Fine sandy loam"|""|145640480|148116242
"Loamy fine sand"|""|145640481|148114734
"Sand"|""|145640482|148115689
"Sand"|""|145640484|148115690
"Loamy fine sand"|""|145640483|148114733
""|"Variable"|145640485|148115691
"Loam"|""|145640016|148114744
"Clay loam"|""|145640017|148116253
