"unifiedcl"|"rvindicator"|"chkey"|"chunifiedkey"
"ML"|"Yes"|72025080|133852397
"CL-ML"|"No "|72025080|133852398
"SM"|"No "|72025080|133852399
"SC"|"Yes"|72025082|133852403
"CL"|"No "|72025082|133852404
"SM"|"No "|72025082|133852405
"CL"|"Yes"|72025083|133852406
"CL-ML"|"No "|72025081|133852400
"SM"|"No "|72025081|133852401
"ML"|"Yes"|72025081|133852402
"ML"|"No "|72025084|133852407
"SM"|"No "|72025084|133852408
"SC-SM"|"Yes"|72025084|133852409
"CL-ML"|"No "|72025087|133852415
"CL"|"Yes"|72025087|133852416
"SM"|"No "|72025085|133852410
"CL"|"No "|72025085|133852411
"SC-SM"|"Yes"|72025085|133852412
"CL-ML"|"No "|72025086|133852413
"CL"|"Yes"|72025086|133852414
"SM"|"Yes"|72025089|133852419
"SC-SM"|"No "|72025089|133852420
"SM"|"Yes"|72025090|133852421
"SC-SM"|"No "|72025090|133852422
"SM"|"Yes"|72025088|133852417
"SC-SM"|"No "|72025088|133852418
"SM"|"Yes"|72024341|133850950
"SC-SM"|"No "|72024341|133850951
"SM"|"Yes"|72024343|133850953
"SC-SM"|"No "|72024343|133850954
"SM"|"Yes"|72024342|133850952
"SM"|"Yes"|72024344|133850955
"CL"|"No "|72024691|133851631
"SC"|"Yes"|72024691|133851632
"CL"|"No "|72024694|133851637
"SC"|"Yes"|72024694|133851638
"CL"|"No "|72024692|133851633
"SC"|"Yes"|72024692|133851634
"CL"|"No "|72024693|133851635
"SC"|"Yes"|72024693|133851636
"SM"|"Yes"|72024689|133851627
"SC-SM"|"No "|72024689|133851628
"SC-SM"|"No "|72024690|133851629
"SM"|"Yes"|72024690|133851630
"SM"|"Yes"|72025008|133852255
"SC-SM"|"No "|72025008|133852256
"SC"|"Yes"|72025006|133852250
"CL"|"No "|72025006|133852251
"SC-SM"|"No "|72025006|133852252
"SM"|"Yes"|72025007|133852253
"SC-SM"|"No "|72025007|133852254
"CL"|"Yes"|72025102|133852445
"CL"|"No "|72025103|133852446
"CH"|"Yes"|72025103|133852447
"CL"|"Yes"|72025178|133852588
"SC-SM"|"No "|72025178|133852589
"CH"|"Yes"|72025180|133852592
"SC"|"No "|72025180|133852593
"SM"|"Yes"|72025181|133852594
"ML"|"No "|72025181|133852595
"CL"|"Yes"|72025179|133852590
"SC"|"No "|72025179|133852591
"CH"|"Yes"|72024967|133852174
"SC"|"No "|72024967|133852175
"CL"|"Yes"|72024965|133852170
"SC-SM"|"No "|72024965|133852171
"SM"|"Yes"|72024968|133852176
"CL"|"Yes"|72024966|133852172
"SC"|"No "|72024966|133852173
"SM"|"Yes"|72024972|133852183
"ML"|"No "|72024972|133852184
"CL"|"Yes"|72024970|133852179
"SC"|"No "|72024970|133852180
"CH"|"Yes"|72024971|133852181
"SC"|"No "|72024971|133852182
"CL"|"Yes"|72024969|133852177
"SC-SM"|"No "|72024969|133852178
"SC-SM"|"Yes"|72025124|133852494
"SC"|"No "|72025124|133852495
"SM"|"No "|72025124|133852496
"SC-SM"|"Yes"|72025126|133852500
"SC"|"No "|72025126|133852501
"SM"|"No "|72025126|133852502
"SC"|"Yes"|72025125|133852497
"CL"|"No "|72025125|133852498
"SC-SM"|"No "|72025125|133852499
"CL"|"Yes"|72024731|133851715
