"comppct_l"|"comppct_r"|"comppct_h"|"compname"|"compkind"|"majcompflag"|"otherph"|"localphase"|"slope_l"|"slope_r"|"slope_h"|"slopelenusle_l"|"slopelenusle_r"|"slopelenusle_h"|"runoff"|"tfact"|"wei"|"weg"|"erocl"|"earthcovkind1"|"earthcovkind2"|"hydricon"|"hydricrating"|"drainagecl"|"elev_l"|"elev_r"|"elev_h"|"aspectccwise"|"aspectrep"|"aspectcwise"|"geomdesc"|"albedodry_l"|"albedodry_r"|"albedodry_h"|"airtempa_l"|"airtempa_r"|"airtempa_h"|"map_l"|"map_r"|"map_h"|"reannualprecip_l"|"reannualprecip_r"|"reannualprecip_h"|"ffd_l"|"ffd_r"|"ffd_h"|"nirrcapcl"|"nirrcapscl"|"nirrcapunit"|"irrcapcl"|"irrcapscl"|"irrcapunit"|"cropprodindex"|"constreeshrubgrp"|"wndbrksuitgrp"|"rsprod_l"|"rsprod_r"|"rsprod_h"|"foragesuitgrpid"|"wlgrain"|"wlgrass"|"wlherbaceous"|"wlshrub"|"wlconiferous"|"wlhardwood"|"wlwetplant"|"wlshallowwat"|"wlrangeland"|"wlopenland"|"wlwoodland"|"wlwetland"|"soilslippot"|"frostact"|"initsub_l"|"initsub_r"|"initsub_h"|"totalsub_l"|"totalsub_r"|"totalsub_h"|"hydgrp"|"corcon"|"corsteel"|"taxclname"|"taxorder"|"taxsuborder"|"taxgrtgroup"|"taxsubgrp"|"taxpartsize"|"taxpartsizemod"|"taxceactcl"|"taxreaction"|"taxtempcl"|"taxmoistscl"|"taxtempregime"|"soiltaxedition"|"castorieindex"|"flecolcomnum"|"flhe"|"flphe"|"flsoilleachpot"|"flsoirunoffpot"|"fltemik2use"|"fltriumph2use"|"indraingrp"|"innitrateleachi"|"misoimgmtgrp"|"vasoimgtgrp"|"mukey"|"cokey"
40|45|50|"Bernaldo"|"Series"|"Yes"|""|""|0|2|3|30|61|91|"Low"|5|86|3|"Class 1"|"Tree cover"|"Intermixed conifers and hardwoods"|""|"No"|"Well drained"|20.1|58.6|156.4|80|190|220|"stream terraces on coastal plains"||0.16||12.4|18.9|25.4|1142|1354|1476||||240|250|260|2|"e"||2|"e"|||"3"|||||||||||||||||||"None"|0|0|0|0|0|0|"B"|"Moderate"|"Moderate"|"Fine-loamy, siliceous, semiactive, thermic Glossic Paleudalfs"|"Alfisols"|"Udalfs"|"Paleudalfs"|"Glossic Paleudalfs"|"fine-loamy"|"not used"|"semiactive"|"not used"|"thermic"|"Typic"|"thermic"|"thirteenth edition"|||||||"N/A"|"N/A"|||||575618|24232334
5|10|15|"Woden"|"Series"|"No "|""|""|1|3|4|55|61|91|""||||"Class 1"|"Tree cover"|"Intermixed conifers and hardwoods"|""|"No"|"Well drained"|20.1|58.6|156.4|80|150|220|"stream terraces on coastal plains"||||12.4|18.9|25.4|1142|1354|1476||||240|250|260||""|||""|||"Not rated"|||||||||||||||||||"None"|||||||""|""|""|"Coarse-loamy, siliceous, semiactive, thermic Typic Paleudalfs"|"Alfisols"|"Udalfs"|"Paleudalfs"|"Typic Paleudalfs"|"coarse-loamy"|"not used"|"semiactive"|"not used"|"thermic"|"Typic"|"thermic"|"thirteenth edition"|||||||"N/A"|"N/A"|||||575618|24232335
0|5|10|"Bienville"|"Series"|"No "|""|""|0|3|5|30|61|91|""||||"Class 1"|"Tree cover"|"Intermixed conifers and hardwoods"|""|"No"|"Somewhat excessively drained"|20.1|58.6|156.4|80|150|220|"stream terraces on coastal plains"||||12.4|18.9|25.4|1142|1354|1476||||240|250|260||""|||""|||"Not rated"|||||||||||||||||||"None"|||||||""|""|""|"Siliceous, thermic Psammentic Paleudalfs"|"Alfisols"|"Udalfs"|"Paleudalfs"|"Psammentic Paleudalfs"|""|"not used"|"not used"|"not used"|"thermic"|"Typic"|"thermic"|"thirteenth edition"|||||||"N/A"|"N/A"|||||575618|24232336
0|5|10|"Mollville"|"Series"|"No "|""|""|0|0.5|1|30|30|61|"Negligible"||||"Class 1"|"Tree cover"|"Intermixed conifers and hardwoods"|"Wooded under natural conditions"|"Yes"|"Poorly drained"|20.1|58.6|156.4|80|150|220|"depressions on stream terraces on coastal plains"||||12.4|18.9|25.4|1142|1354|1476||||240|250|260||""|||""|||"Not rated"|||||||||||||||||||"None"|||||||""|""|""|"Fine-loamy, siliceous, active, thermic Typic Glossaqualfs"|"Alfisols"|"Aqualfs"|"Glossaqualfs"|"Typic Glossaqualfs"|"fine-loamy"|"not used"|"active"|"not used"|"thermic"|"Aquic"|"thermic"|"thirteenth edition"|||||||"N/A"|"N/A"|||||575618|24232337
30|35|40|"Besner"|"Series"|"Yes"|""|""|0|2|3|30|61|91|"Very low"|5|86|3|"Class 1"|"Tree cover"|"Intermixed conifers and hardwoods"|""|"No"|"Well drained"|20.1|58.6|156.4|80|150|220|"stream terraces on coastal plains"||0.42||12.4|18.9|25.4|1142|1354|1476||||240|250|260|2|"e"||2|"e"|||"1"|||||||||||||||||||"None"|0|0|0|0|0|0|"B"|"Moderate"|"Moderate"|"Coarse-loamy, siliceous, semiactive, thermic Typic Glossudalfs"|"Alfisols"|"Udalfs"|"Glossudalfs"|"Typic Glossudalfs"|"coarse-loamy"|"not used"|"semiactive"|"not used"|"thermic"|"Typic"|"thermic"|"thirteenth edition"|||||||"N/A"|"N/A"|||||575618|24232338
85|90|100|"Betis"|"Series"|"Yes"|""|""|0|6|8|40|46|61|"Very low"|5|134|2|"Class 1"|"Tree cover"|"Intermixed conifers and hardwoods"|""|"No"|"Somewhat excessively drained"|60.1|129.7|221.3|0|183|357|"interfluves on coastal plains"||0.16||12.2|18.5|24.9|1225|1332|1389||||236|242|247|4|"e"||4|"e"|||"7s"|||||||||||||||||||"None"|0|0|0|0|0|0|"A"|"High"|"Low"|"Sandy, siliceous, thermic Lamellic Paleudults"|"Ultisols"|"Udults"|"Paleudults"|"Lamellic Paleudults"|"sandy"|"not used"|"not used"|"not used"|"thermic"|"Typic"|"thermic"|"thirteenth edition"|||||||"N/A"|"N/A"|||||575619|24232339
0|5|10|"Ruston"|"Series"|"No "|""|""|0|6|8|40|46|61|""||||"Class 1"|"Tree cover"|"Intermixed conifers and hardwoods"|""|"No"|"Well drained"|60.1|129.7|221.3|0|183|357|"interfluves on coastal plains"||||12.2|18.5|24.9|1225|1332|1389||||236|242|247||""|||""|||"Not rated"|||||||||||||||||||"None"|||||||""|""|""|"Fine-loamy, siliceous, semiactive, thermic Typic Paleudults"|"Ultisols"|"Udults"|"Paleudults"|"Typic Paleudults"|"fine-loamy"|"not used"|"semiactive"|"not used"|"thermic"|"Typic"|"thermic"|"thirteenth edition"|||||||"N/A"|"N/A"|||||575619|24232340
0|5|10|"Briley"|"Series"|"No "|""|""|0|6|8|40|46|61|""||||"Class 1"|"Tree cover"|"Intermixed conifers and hardwoods"|""|"No"|"Well drained"|60.1|129.7|221.3|0|183|357|"interfluves on coastal plains"||||12.2|18.5|24.9|1225|1332|1389||||236|242|247||""|||""|||"Not rated"|||||||||||||||||||"None"|||||||""|""|""|"Loamy, siliceous, semiactive, thermic Arenic Paleudults"|"Ultisols"|"Udults"|"Paleudults"|"Arenic Paleudults"|"loamy"|"not used"|"semiactive"|"not used"|"thermic"|"Typic"|"thermic"|"thirteenth edition"|||||||"N/A"|"N/A"|||||575619|24232341
0|10|15|"Attoyac"|"Series"|"No "|""|""|0|1|4|30|61|91|""||||"Class 1"|""|""|""|"No"|"Well drained"|92|115|335|80|150|220|"stream terraces on coastal plains"||||16|19|21|1143|1359|1575||||220|260|300||""|||""|||"Not rated"|||||||||||||||||||"None"|||||||""|""|""|"Fine-loamy, siliceous, semiactive, thermic Typic Paleudalfs"|"Alfisols"|"Udalfs"|"Paleudalfs"|"Typic Paleudalfs"|"fine-loamy"|"not used"|"semiactive"|"not used"|"thermic"|"Udic"|"thermic"|"twelfth edition"|||||||"N/A"|"N/A"|||||575620|24231846
85|90|100|"Bienville"|"Series"|"Yes"|""|""|0|3|5|30|61|91|"Very low"|5|134|2|"Class 1"|"Tree cover"|"Intermixed conifers and hardwoods"|""|"No"|"Somewhat excessively drained"|92|115|335|80|150|220|"stream terraces on coastal plains"||0.16||16|19|21|1143|1359|1575||||220|260|300|2|"s"||2|"s"|||"7s"|||||||||||||||||||"None"|0|0|0|0|0|0|"A"|"High"|"Low"|"Siliceous, thermic Psammentic Paleudalfs"|"Alfisols"|"Udalfs"|"Paleudalfs"|"Psammentic Paleudalfs"|"not used"|"not used"|"not used"|"not used"|"thermic"|"Udic"|"thermic"|"twelfth edition"|||||||"N/A"|"N/A"|||||575620|24231847
