"soimoistdept_l"|"soimoistdept_r"|"soimoistdept_h"|"soimoistdepb_l"|"soimoistdepb_r"|"soimoistdepb_h"|"soimoiststat"|"comonthkey"|"cosoilmoistkey"
0|0|0|122|125|145|"Moist"|253293716|160371772
122|125|145|203|203|203|"Wet"|253293716|160371773
0|0|0|122|125|145|"Moist"|253293708|160371756
122|125|145|203|203|203|"Wet"|253293708|160371757
0|0|0|122|125|145|"Moist"|253293707|160371754
122|125|145|203|203|203|"Moist"|253293707|160371755
0|0|0|122|125|145|"Moist"|253293715|160371770
122|125|145|203|203|203|"Moist"|253293715|160371771
122|125|145|203|203|203|"Moist"|253293711|160371762
0|0|0|122|125|145|"Moist"|253293711|160371763
122|125|145|203|203|203|"Moist"|253293717|160371774
0|0|0|122|125|145|"Moist"|253293717|160371775
0|0|0|122|125|145|"Moist"|253293706|160371752
122|125|145|203|203|203|"Moist"|253293706|160371753
0|0|0|122|125|145|"Moist"|253293709|160371758
122|125|145|203|203|203|"Moist"|253293709|160371759
0|0|0|122|125|145|"Moist"|253293710|160371760
122|125|145|203|203|203|"Moist"|253293710|160371761
0|0|0|122|125|145|"Moist"|253293713|160371767
122|125|145|203|203|203|"Moist"|253293713|160371766
0|0|0|122|125|145|"Moist"|253293712|160371764
122|125|145|203|203|203|"Wet"|253293712|160371765
0|0|0|122|125|145|"Moist"|253293714|160371768
122|125|145|203|203|203|"Wet"|253293714|160371769
0|0|0|203|203|203|"Wet"|253293753|160371787
0|0|0|203|203|203|"Wet"|253293752|160371786
0|0|0|203|203|203|"Moist"|253293751|160371785
0|0|0|203|203|203|"Moist"|253293750|160371784
0|0|0|203|203|203|"Moist"|253293749|160371783
0|0|0|203|203|203|"Moist"|253293748|160371782
0|0|0|203|203|203|"Wet"|253293747|160371781
0|0|0|203|203|203|"Wet"|253293746|160371780
0|0|0|203|203|203|"Wet"|253293744|160371778
0|0|0|203|203|203|"Wet"|253293745|160371779
0|0|0|203|203|203|"Wet"|253293743|160371777
0|0|0|203|203|203|"Wet"|253293742|160371776
0|0|0|92|97|142|"Moist"|253293758|160371796
92|97|142|203|203|203|"Wet"|253293758|160371797
0|0|0|92|97|142|"Moist"|253293759|160371798
92|97|142|203|203|203|"Wet"|253293759|160371799
0|0|0|92|97|142|"Moist"|253293761|160371802
92|97|142|203|203|203|"Wet"|253293761|160371803
0|0|0|92|97|142|"Moist"|253293760|160371800
92|97|142|203|203|203|"Wet"|253293760|160371801
0|0|0|92|97|142|"Moist"|253293762|160371804
92|97|142|203|203|203|"Wet"|253293762|160371805
0|0|0|92|97|142|"Moist"|253293754|160371788
92|97|142|203|203|203|"Moist"|253293754|160371789
0|0|0|92|97|142|"Moist"|253293755|160371790
92|97|142|203|203|203|"Moist"|253293755|160371791
0|0|0|92|97|142|"Moist"|253293756|160371792
92|97|142|203|203|203|"Moist"|253293756|160371793
0|0|0|92|97|142|"Moist"|253293757|160371794
92|97|142|203|203|203|"Moist"|253293757|160371795
0|0|0|92|97|142|"Moist"|253293763|160371806
92|97|142|203|203|203|"Wet"|253293763|160371807
0|0|0|92|97|142|"Moist"|253293764|160371808
92|97|142|203|203|203|"Wet"|253293764|160371809
0|0|0|92|97|142|"Moist"|253293765|160371810
92|97|142|203|203|203|"Wet"|253293765|160371811
89|125|125|203|203|203|"Moist"|253293776|160371842
10|25|25|89|125|125|"Moist"|253293776|160371843
0|0|0|10|25|25|"Moist"|253293776|160371844
0|0|0|10|25|25|"Moist"|253293769|160371821
10|25|25|89|125|125|"Moist"|253293769|160371822
89|125|125|203|203|203|"Moist"|253293769|160371823
0|0|0|10|25|25|"Moist"|253293766|160371812
10|25|25|89|125|125|"Moist"|253293766|160371813
89|125|125|203|203|203|"Moist"|253293766|160371814
0|0|0|10|25|25|"Moist"|253293770|160371824
10|25|25|89|125|125|"Moist"|253293770|160371825
89|125|125|203|203|203|"Moist"|253293770|160371826
10|25|25|89|125|125|"Moist"|253293772|160371830
0|0|0|10|25|25|"Moist"|253293772|160371831
89|125|125|203|203|203|"Moist"|253293772|160371832
0|0|0|10|25|25|"Moist"|253293777|160371845
10|25|25|89|125|125|"Moist"|253293777|160371846
89|125|125|203|203|203|"Moist"|253293777|160371847
10|25|25|89|125|125|"Moist"|253293771|160371827
0|0|0|10|25|25|"Moist"|253293771|160371828
89|125|125|203|203|203|"Moist"|253293771|160371829
0|0|0|10|25|25|"Moist"|253293767|160371815
10|25|25|89|125|125|"Moist"|253293767|160371816
89|125|125|203|203|203|"Moist"|253293767|160371817
10|25|25|89|125|125|"Moist"|253293773|160371835
0|0|0|10|25|25|"Moist"|253293773|160371834
89|125|125|203|203|203|"Moist"|253293773|160371833
10|25|25|89|125|125|"Moist"|253293774|160371836
0|0|0|10|25|25|"Moist"|253293774|160371837
89|125|125|203|203|203|"Moist"|253293774|160371838
0|0|0|10|25|25|"Moist"|253293775|160371839
10|25|25|89|125|125|"Moist"|253293775|160371840
89|125|125|203|203|203|"Moist"|253293775|160371841
89|125|125|203|203|203|"Moist"|253293768|160371818
0|0|0|10|25|25|"Moist"|253293768|160371819
10|25|25|89|125|125|"Moist"|253293768|160371820
0|0|0|114|127|127|"Moist"|253287878|160367891
114|127|127|183|203|203|"Wet"|253287878|160367892
0|0|0|114|127|127|"Moist"|253287877|160367889
114|127|127|183|203|203|"Wet"|253287877|160367890
0|0|0|114|127|127|"Moist"|253287881|160367897
114|127|127|183|203|203|"Wet"|253287881|160367898
0|0|0|114|127|127|"Moist"|253287874|160367883
114|127|127|183|203|203|"Wet"|253287874|160367884
0|0|0|114|127|127|"Moist"|253287882|160367899
114|127|127|183|203|203|"Moist"|253287882|160367900
0|0|0|114|127|127|"Moist"|253287880|160367895
114|127|127|183|203|203|"Moist"|253287880|160367896
0|0|0|114|127|127|"Dry"|253287879|160367893
114|127|127|183|203|203|"Moist"|253287879|160367894
0|0|0|114|127|127|"Dry"|253287875|160367886
114|127|127|183|203|203|"Moist"|253287875|160367885
114|127|127|183|203|203|"Moist"|253287885|160367905
0|0|0|114|127|127|"Moist"|253287885|160367906
114|127|127|183|203|203|"Moist"|253287884|160367903
0|0|0|114|127|127|"Moist"|253287884|160367904
0|0|0|114|127|127|"Moist"|253287883|160367901
114|127|127|183|203|203|"Moist"|253287883|160367902
114|127|127|183|203|203|"Moist"|253287876|160367887
0|0|0|114|127|127|"Moist"|253287876|160367888
122|155|183|203|203|203|"Moist"|253290454|160369750
23|58|140|107|107|152|"Moist"|253290454|160369749
10|18|40|23|58|140|"Moist"|253290454|160369748
5|8|20|10|18|40|"Moist"|253290454|160369747
0|0|0|5|8|20|"Moist"|253290454|160369746
107|107|152|122|155|183|"Wet"|253290454|160369751
5|8|20|10|18|40|"Moist"|253290455|160369752
10|18|40|23|58|140|"Moist"|253290455|160369753
122|155|183|203|203|203|"Moist"|253290455|160369754
0|0|0|5|8|20|"Moist"|253290455|160369755
23|58|140|107|107|152|"Moist"|253290455|160369756
107|107|152|122|155|183|"Wet"|253290455|160369757
5|8|20|10|18|40|"Moist"|253290456|160369760
122|155|183|203|203|203|"Moist"|253290456|160369761
0|0|0|5|8|20|"Moist"|253290456|160369762
23|58|140|107|107|152|"Moist"|253290456|160369763
10|18|40|23|58|140|"Moist"|253290456|160369758
107|107|152|122|155|183|"Wet"|253290456|160369759
0|0|0|5|8|20|"Moist"|253290457|160369768
23|58|140|107|107|152|"Moist"|253290457|160369769
122|155|183|203|203|203|"Moist"|253290457|160369764
5|8|20|10|18|40|"Moist"|253290457|160369765
10|18|40|23|58|140|"Moist"|253290457|160369766
107|107|152|122|155|183|"Wet"|253290457|160369767
5|8|20|10|18|40|"Moist"|253290458|160369770
10|18|40|23|58|140|"Moist"|253290458|160369771
107|107|152|122|155|183|"Moist"|253290458|160369772
0|0|0|5|8|20|"Moist"|253290458|160369773
23|58|140|107|107|152|"Moist"|253290458|160369774
122|155|183|203|203|203|"Moist"|253290458|160369775
0|0|0|5|8|20|"Moist"|253290459|160369776
5|8|20|10|18|40|"Moist"|253290459|160369777
23|58|140|107|107|152|"Moist"|253290459|160369778
107|107|152|122|155|183|"Moist"|253290459|160369779
10|18|40|23|58|140|"Moist"|253290459|160369780
122|155|183|203|203|203|"Moist"|253290459|160369781
122|155|183|203|203|203|"Moist"|253290460|160369787
10|18|40|23|58|140|"Moist"|253290460|160369786
107|107|152|122|155|183|"Moist"|253290460|160369785
0|0|0|5|8|20|"Moist"|253290460|160369784
