"hillslopeprof"|"cogeomdkey"|"cosurfmorhppkey"
"Footslope"|38392068|16079655
"Summit"|38391826|16079583
"Toeslope"|38391940|16079622
"Summit"|38392090|16079663
"Summit"|38391952|16079625
"Summit"|38392016|16079642
"Backslope"|38392171|16079704
"Summit"|38391836|16079588
"Summit"|38391858|16079597
"Summit"|38392110|16079673
"Toeslope"|38392044|16079649
"Backslope"|38392173|16079705
"Summit"|38391868|16079602
"Toeslope"|38392121|16079679
"Footslope"|38391846|16079591
"Backslope"|38392237|16079725
"Toeslope"|38391962|16079630
"Backslope"|38392086|16079661
"Summit"|38391983|16079634
"Summit"|38391856|16079596
"Summit"|38392108|16079672
"Backslope"|38392004|16079637
"Toeslope"|38391889|16079610
"Backslope"|38392130|16079683
"Summit"|38391887|16079609
"Toeslope"|38392046|16079650
"Toeslope"|38392233|16079723
"Backslope"|38392119|16079678
"Toeslope"|38392229|16079721
"Summit"|38391828|16079584
"Backslope"|38392140|16079689
"Toeslope"|38391950|16079624
"Summit"|38392088|16079662
"Summit"|38392024|16079645
"Summit"|38392182|16079710
"Backslope"|38392098|16079667
"Toeslope"|38392057|16079653
"Backslope"|38392074|16079657
"Backslope"|38392008|16079639
"Summit"|38392111|16079674
"Summit"|38391849|16079592
"Summit"|38392148|16079693
"Summit"|38391860|16079598
"Summit"|38392100|16079668
"Toeslope"|38391997|16079636
"Toeslope"|38391964|16079631
"Backslope"|38392037|16079648
"Toeslope"|38392235|16079724
"Summit"|38391834|16079587
"Summit"|38391824|16079582
"Shoulder"|38392126|16079681
"Toeslope"|38391938|16079621
"Summit"|38392163|16079700
"Toeslope"|38392152|16079695
"Summit"|38391897|16079614
"Backslope"|38392052|16079652
"Backslope"|38392078|16079658
""|38392213|16079716
"Summit"|38392115|16079676
"Toeslope"|38391971|16079632
"Summit"|38392202|16079714
"Summit"|38392033|16079647
"Summit"|38392223|16079719
"Toeslope"|38391975|16079633
"Summit"|38391912|16079617
"Toeslope"|38392096|16079666
"Backslope"|38391960|16079629
"Summit"|38392022|16079644
"Summit"|38392204|16079715
"Footslope"|38391956|16079627
"Summit"|38391990|16079635
"Toeslope"|38392048|16079651
"Toeslope"|38391864|16079600
"Backslope"|38392243|16079728
"Shoulder"|38392012|16079641
"Backslope"|38391879|16079605
"Backslope"|38392227|16079720
"Summit"|38391862|16079599
"Backslope"|38391872|16079604
"Summit"|38391893|16079612
"Toeslope"|38392158|16079698
"Summit"|38391883|16079607
"Backslope"|38392136|16079687
"Summit"|38391925|16079619
"Toeslope"|38392084|16079660
"Backslope"|38392186|16079711
"Summit"|38392018|16079643
"Summit"|38392147|16079692
"Toeslope"|38391904|16079616
""|38392031|16079646
"Shoulder"|38392134|16079686
"Summit"|38392092|16079664
"Backslope"|38391946|16079623
"Toeslope"|38391832|16079586
"Summit"|38392178|16079708
"Footslope"|38391843|16079590
"Summit"|38392167|16079702
"Summit"|38392094|16079665
"Summit"|38392188|16079712
"Toeslope"|38392072|16079656
"Summit"|38391852|16079594
"Footslope"|38391841|16079589
"Backslope"|38392010|16079640
"Toeslope"|38392145|16079691
"Toeslope"|38392231|16079722
"Toeslope"|38391854|16079595
"Summit"|38391885|16079608
"Shoulder"|38392156|16079697
"Toeslope"|38391830|16079585
"Footslope"|38392061|16079654
"Backslope"|38392104|16079670
"Summit"|38392161|16079699
"Toeslope"|38392124|16079680
"Summit"|38391881|16079606
"Summit"|38392113|16079675
"Summit"|38391917|16079618
"Backslope"|38392102|16079669
"Backslope"|38391870|16079603
"Summit"|38392150|16079694
"Backslope"|38392176|16079707
"Summit"|38391954|16079626
"Toeslope"|38392006|16079638
"Summit"|38392128|16079682
"Toeslope"|38391891|16079611
"Summit"|38391902|16079615
"Shoulder"|38392132|16079684
"Backslope"|38392132|16079685
"Backslope"|38392241|16079727
"Summit"|38392190|16079713
"Shoulder"|38392154|16079696
"Toeslope"|38392142|16079690
"Summit"|38392165|16079701
"Shoulder"|38392106|16079671
"Summit"|38392239|16079726
"Backslope"|38392175|16079706
"Toeslope"|38392080|16079659
"Summit"|38391895|16079613
"Backslope"|38392169|16079703
"Toeslope"|38392138|16079688
"Shoulder"|38392117|16079677
"Summit"|38392217|16079717
"Summit"|38391932|16079620
"Summit"|38392180|16079709
"Toeslope"|38391866|16079601
""|38392219|16079718
"Summit"|38391851|16079593
"Backslope"|38391958|16079628
"Summit"|38413688|16089218
"Backslope"|38414332|16089448
"Toeslope"|38413541|16088877
"Summit"|38414321|16089443
"Toeslope"|38413289|16088861
"Summit"|38413699|16089225
"Backslope"|38413740|16089268
"Summit"|38414394|16089471
"Summit"|38413749|16088848
"Summit"|38413847|16089284
"Summit"|38413841|16089282
"Summit"|38413878|16089295
"Summit"|38413874|16089293
"Summit"|38413921|16089309
"Summit"|38413837|16089280
"Summit"|38413863|16089290
"Shoulder"|38413403|16088948
"Summit"|38414363|16089461
"Summit"|38414239|16088890
"Backslope"|38413024|16088847
"Toeslope"|38413936|16089312
"Toeslope"|38413123|16089039
"Summit"|38413848|16089285
"Backslope"|38414376|16089468
"Backslope"|38413962|16089319
"Summit"|38413145|16089050
"Summit"|38414354|16089464
"Toeslope"|38413138|16089048
""|38413958|16089318
"Summit"|38413708|16089230
"Summit"|38413966|16089322
"Backslope"|38413697|16089223
"Backslope"|38413940|16089313
"Toeslope"|38413813|16089274
"Backslope"|38413718|16089236
"Summit"|38413707|16089229
"Summit"|38413406|16088947
"Summit"|38413686|16089217
"Summit"|38413005|16089121
"Toeslope"|38413130|16089042
"Toeslope"|38414343|16089454
"Backslope"|38413698|16089224
"Summit"|38413844|16089283
"Summit"|38413693|16089221
""|38413918|16089307
"Summit"|38413715|16089233
"Summit"|38414355|16089463
"Toeslope"|38413105|16089159
"Toeslope"|38413807|16089272
"Summit"|38413391|16088950
"Summit"|38413737|16089267
"Backslope"|38413386|16088942
"Summit"|38413316|16088874
"Toeslope"|38413970|16089323
"Toeslope"|38413126|16089041
"Summit"|38413402|16088949
"Summit"|38413390|16088943
"Summit"|38413875|16089294
"Summit"|38413689|16089219
""|38413908|16089304
"Summit"|38413896|16089300
"Backslope"|38413887|16089297
"Summit"|38414325|16089445
"Shoulder"|38413387|16088951
"Summit"|38413950|16089315
"Summit"|38414242|16088891
"Toeslope"|38413137|16089046
"Backslope"|38413804|16089271
"Toeslope"|38413124|16089040
"Summit"|38414362|16089460
"Backslope"|38414340|16089452
"Summit"|38414329|16089447
"Summit"|38413854|16089287
"Summit"|38414243|16088892
"Summit"|38414351|16089462
"Toeslope"|38413832|16089279
"Summit"|38413711|16089231
