"musym"|"muname"|"mukind"|"mustatus"|"muacres"|"mapunitlfw_l"|"mapunitlfw_r"|"mapunitlfw_h"|"mapunitpfa_l"|"mapunitpfa_r"|"mapunitpfa_h"|"farmlndcl"|"muhelcl"|"muwathelcl"|"muwndhelcl"|"interpfocus"|"invesintens"|"iacornsr"|"nhiforsoigrp"|"nhspiagr"|"vtsepticsyscl"|"mucertstat"|"lkey"|"mukey"
"10"|"Bernaldo-Besner complex, 0 to 3 percent slopes"|"Complex"||15235|||||||"All areas are prime farmland"||||"woodland"|"Order 2"||||||15063|575618
"11"|"Betis loamy fine sand, 0 to 8 percent slopes"|"Consociation"||5976|||||||"Not prime farmland"||||"woodland"|"Order 2"||||||15063|575619
"12"|"Bienville loamy fine sand, 0 to 5 percent slopes"|"Consociation"||2265|||||||"Not prime farmland"||||"woodland"|"Order 2"||||||15063|575620
"13"|"Bowie fine sandy loam, 1 to 8 percent slopes"|"Consociation"||12051|||||||"All areas are prime farmland"||||"woodland"|"Order 2"||||||15063|575621
"14"|"Briley loamy fine sand, 1 to 8 percent slopes"|"Consociation"||8730|||||||"Farmland of statewide importance"||||"woodland"|"Order 2"||||||15063|575622
"15"|"Chireno clay loam, 0 to 2 percent slopes"|"Consociation"||1045|||||||"All areas are prime farmland"||||"woodland"|"Order 2"||||||15063|575623
"16"|"Cuthbert fine sandy loam, 8 to 20 percent slopes"|"Consociation"||55593|||||||"Not prime farmland"||||""|"Order 2"||||||15063|575624
"17"|"Cuthbert gravelly fine sandy loam, 8 to 20 percent slopes"|"Consociation"||2031|||||||"Not prime farmland"||||""|"Order 2"||||||15063|575625
"18"|"Cuthbert stony fine sandy loam, 5 to 30 percent slopes"|"Consociation"||1113|||||||"Not prime farmland"||||""|"Order 2"||||||15063|575626
"19"|"Darco loamy fine sand, 1 to 8 percent slopes"|"Consociation"||24481|||||||"Not prime farmland"||||"woodland"|"Order 2"||||||15063|575627
"2"|"Alto fine sandy loam, 0 to 4 percent slopes"|"Consociation"||10237|||||||"All areas are prime farmland"||||""|"Order 2"||||||15063|575628
"20"|"Darco loamy fine sand, 8 to 20 percent slopes"|"Consociation"||13263|||||||"Not prime farmland"||||"woodland"|"Order 2"||||||15063|575629
"21"|"Darco-Urban land complex, 1 to 8 percent slopes"|"Complex"||2399|||||||"Not prime farmland"||||""|"Order 2"||||||15063|575630
"22"|"Darco-Urban land complex, 8 to 25 percent slopes"|"Complex"||163|||||||"Not prime farmland"||||""|"Order 2"||||||15063|575631
"23"|"Etoile loam, 1 to 5 percent slopes"|"Consociation"||3486|||||||"Farmland of statewide importance"||||""|"Order 2"||||||15063|575632
"24"|"Etoile loam, 5 to 20 percent slopes"|"Consociation"||1653|||||||"Not prime farmland"||||""|"Order 2"||||||15063|575633
"25"|"Hannahatchee loam, frequently flooded"|"Consociation"||13344|||||||"Not prime farmland"||||"woodland"|"Order 2"||||||15063|575634
"26"|"Hannahatchee-Urban land complex, frequently flooded"|"Complex"||1199|||||||"Not prime farmland"||||""|"Order 2"||||||15063|575635
"28"|"Kirvin fine sandy loam, 1 to 8 percent slopes"|"Consociation"||31026|||||||"Not prime farmland"||||"woodland"|"Order 2"||||||15063|575637
"29"|"Kirvin gravelly fine sandy loam, 1 to 8 percent slopes"|"Consociation"||5476|||||||"Not prime farmland"||||""|"Order 2"||||||15063|575638
"3"|"Alto clay loam, 0 to 1 percent slopes"|"Consociation"||1672|||||||"All areas are prime farmland"||||"woodland"|"Order 2"||||||15063|575639
"30"|"Kirvin-Urban land complex, 1 to 5 percent slopes"|"Complex"||331|||||||"Not prime farmland"||||""|"Order 2"||||||15063|575640
"31"|"Kirvin soils, graded, 2 to 8 percent slopes"|"Undifferentiated group"||1490|||||||"Not prime farmland"||||""|"Order 2"||||||15063|575641
"32"|"Kullit fine sandy loam, 1 to 3 percent slopes"|"Consociation"||4435|||||||"All areas are prime farmland"||||"woodland"|"Order 2"||||||15063|575642
"33"|"LaCerda clay loam, 0 to 5 percent slopes"|"Consociation"||7276|||||||"Not prime farmland"||||"woodland"|"Order 2"||||||15063|575643
"34"|"LaCerda clay loam, 5 to 20 percent slopes"|"Consociation"||695|||||||"Not prime farmland"||||""|"Order 2"||||||15063|575644
"35"|"Lilbert loamy fine sand, 1 to 8 percent slopes"|"Consociation"||35645|||||||"Not prime farmland"||||"woodland"|"Order 2"||||||15063|575645
"36"|"Lilbert-Urban land complex, 1 to 8 percent slopes"|"Complex"||1950|||||||"Not prime farmland"||||""|"Order 2"||||||15063|575646
"37"|"Mantachie soils, frequently flooded"|"Undifferentiated group"||22115|||||||"Not prime farmland"||||""|"Order 2"||||||15063|575647
"38"|"Marietta soils, frequently flooded"|"Undifferentiated group"||18597|||||||"Not prime farmland"||||""|"Order 2"||||||15063|575648
"39"|"Mollville loam"|"Consociation"||1344|||||||"Prime farmland if drained"||||""|"Order 2"||||||15063|575649
"4"|"Alto clay loam, 1 to 3 percent slopes"|"Consociation"||2541|||||||"All areas are prime farmland"||||"woodland"|"Order 2"||||||15063|575650
"40"|"Mollville-Besner complex, 0 to 1 percent slopes, frequently ponded"|"Complex"||6192|||||||"Prime farmland if drained"||||"woodland"|"Order 2"||||||15063|575651
"41"|"Naclina clay, 5 to 20 percent slopes"|"Consociation"||1108|||||||"Not prime farmland"||||""|"Order 2"||||||15063|575652
"42"|"Nacogdoches fine sandy loam, 1 to 8 percent slopes"|"Consociation"||42141|||||||"All areas are prime farmland"||||""|"Order 2"||||||15063|575653
"43"|"Nacogdoches gravelly fine sandy loam, 1 to 8 percent slopes"|"Consociation"||6221|||||||"All areas are prime farmland"||||""|"Order 2"||||||15063|575654
"44"|"Nacogdoches clay loam, 1 to 8 percent slopes"|"Consociation"||11855|||||||"Not prime farmland"||||""|"Order 2"||||||15063|575655
"45"|"Nacogdoches clay loam, 2 to 5 percent slopes, eroded"|"Consociation"||1542|||||||"Not prime farmland"||||""|"Order 2"||||||15063|575656
"46"|"Nacogdoches gravelly clay loam, 1 to 8 percent slopes"|"Consociation"||1035|||||||"Not prime farmland"||||""|"Order 2"||||||15063|575657
"47"|"Nacogdoches-Urban land complex, 1 to 5 percent slopes"|"Complex"||915|||||||"Not prime farmland"||||""|"Order 2"||||||15063|575658
"48"|"Naconiche fine sand, 0 to 2 percent slopes"|"Consociation"||2856|||||||"Not prime farmland"||||""|"Order 2"||||||15063|575659
"49"|"Naconiche-Urban land complex, 0 to 2 percent slopes"|"Complex"||234|||||||"Not prime farmland"||||""|"Order 2"||||||15063|575660
"5"|"Angelina soils, frequently flooded"|"Undifferentiated group"||636|||||||"Not prime farmland"||||""|"Order 2"||||||15063|575661
"50"|"Percilla clay loam, 0 to 1 percent slopes"|"Consociation"||730|||||||"Not prime farmland"||||"woodland"|"Order 2"||||||15063|575662
"51"|"Pits"|"Consociation"||381|||||||"Not prime farmland"||||""|"Order 2"||||||15063|575663
"52"|"Rentzel loamy fine sand, 0 to 5 percent slopes"|"Consociation"||9303|||||||"Not prime farmland"||||"woodland"|"Order 2"||||||15063|575664
"53"|"Rentzel-Urban land complex, 0 to 4 percent slopes"|"Complex"||458|||||||"Not prime farmland"||||""|"Order 2"||||||15063|575665
"54"|"Ruston fine sandy loam, 1 to 8 percent slopes"|"Consociation"||5123|||||||"Not prime farmland"||||""|"Order 2"||||||15063|575666
"55"|"Sacul fine sandy loam, 1 to 5 percent slopes"|"Consociation"||18889|||||||"Not prime farmland"||||"woodland"|"Order 2"||||||15063|575667
"56"|"Sacul fine sandy loam, 5 to 20 percent slopes"|"Consociation"||18838|||||||"Not prime farmland"||||"woodland"|"Order 2"||||||15063|575668
"57"|"Tenaha loamy fine sand, 5 to 20 percent slopes"|"Consociation"||28145|||||||"Not prime farmland"||||"woodland"|"Order 2"||||||15063|575669
"58"|"Tenaha-Urban land complex, 5 to 20 percent slopes"|"Complex"||797|||||||"Not prime farmland"||||""|"Order 2"||||||15063|575670
"59"|"Tonkawa fine sand, 1 to 8 percent slopes"|"Consociation"||7636|||||||"Not prime farmland"||||"woodland"|"Order 2"||||||15063|575671
"6"|"Attoyac fine sandy loam, 0 to 4 percent slopes"|"Consociation"||11877|||||||"All areas are prime farmland"||||"woodland"|"Order 2"||||||15063|575672
"60"|"Tonkawa fine sand, 8 to 20 percent slopes"|"Consociation"||2390|||||||"Not prime farmland"||||""|"Order 2"||||||15063|575673
"61"|"Trawick fine sandy loam, 8 to 20 percent slopes"|"Consociation"||14411|||||||"Not prime farmland"||||"woodland"|"Order 2"||||||15063|575674
"62"|"Trawick gravelly fine sandy loam, 8 to 20 percent slopes"|"Consociation"||2591|||||||"Not prime farmland"||||""|"Order 2"||||||15063|575675
