"musym"|"muname"|"mustatus"|"slopegraddcp"|"slopegradwta"|"brockdepmin"|"wtdepannmin"|"wtdepaprjunmin"|"flodfreqdcd"|"flodfreqmax"|"pondfreqprs"|"aws025wta"|"aws050wta"|"aws0100wta"|"aws0150wta"|"drclassdcd"|"drclasswettest"|"hydgrpdcd"|"iccdcd"|"iccdcdpct"|"niccdcd"|"niccdcdpct"|"engdwobdcd"|"engdwbdcd"|"engdwbll"|"engdwbml"|"engstafdcd"|"engstafll"|"engstafml"|"engsldcd"|"engsldcp"|"englrsdcd"|"engcmssdcd"|"engcmssmp"|"urbrecptdcd"|"urbrecptwta"|"forpehrtdcp"|"hydclprs"|"awmmfpwwta"|"mukey"
"10"|"Bernaldo-Besner complex, 0 to 3 percent slopes"||2|2.1||97|97|"None"|"None"|5|3.43|7.13|15.27|23.61|"Well drained"|"Well drained"|"B"|2|80|2|80|"Somewhat limited"|"Somewhat limited"|"Not rated"|"Not rated"|"Somewhat limited"|"Not rated"|"Very limited"|"Very limited"|"Very limited"|"Somewhat limited"|"Fair"|"Not rated"|"Somewhat limited"|0.009|"Slight"|5|0.188|575618
"11"|"Betis loamy fine sand, 0 to 8 percent slopes"||6|6||||"None"|"None"|0|2|4|8|12.5|"Somewhat excessively drained"|"Somewhat excessively drained"|"A"|4|90|4|90|"Not limited"|"Not limited"|"Not limited"|"Not rated"|"Very limited"|"Not rated"|"Very limited"|"Very limited"|"Very limited"|"Not limited"|"Fair"|"Not rated"|"Somewhat limited"|0.964|"Moderate"|0|1|575619
"12"|"Bienville loamy fine sand, 0 to 5 percent slopes"||3|2.8||127|127|"None"|"None"|0|2.32|4.82|10.31|15.81|"Somewhat excessively drained"|"Somewhat excessively drained"|"A"|2|90|2|90|"Not limited"|"Somewhat limited"|"Not rated"|"Not rated"|"Very limited"|"Not rated"|"Very limited"|"Very limited"|"Very limited"|"Not limited"|"Fair"|"Not rated"|"Somewhat limited"|0.82|"Slight"|0|1|575620
"13"|"Bowie fine sandy loam, 1 to 8 percent slopes"||5|5||107|107|"None"|"None"|0|3.25|6.5|13|19.5|"Well drained"|"Well drained"|"C"|3|90|3|90|"Not limited"|"Somewhat limited"|"Not rated"|"Not rated"|"Very limited"|"Not rated"|"Very limited"|"Somewhat limited"|"Somewhat limited"|"Not limited"|"Fair"|"Not rated"|"Somewhat limited"|0.047|"Moderate"|0|1|575621
"14"|"Briley loamy fine sand, 1 to 8 percent slopes"||5|5||||"None"|"None"|0|2.75|5.25|13.33|21.83|"Well drained"|"Well drained"|"B"|4|85|4|85|"Not limited"|"Not limited"|"Not limited"|"Not rated"|"Somewhat limited"|"Not rated"|"Not rated"|"Very limited"|"Very limited"|"Not limited"|"Fair"|"Not rated"|"Somewhat limited"|0.955|"Moderate"|0|1|575622
"15"|"Chireno clay loam, 0 to 2 percent slopes"||1|1||153|153|"None"|"None"|0|4.15|7.4|13.9|20.4|"Moderately well drained"|"Moderately well drained"|"C"|2|95|2|95|"Somewhat limited"|"Very limited"|"Not rated"|"Very limited"|"Very limited"|"Not rated"|"Very limited"|"Not limited"|"Not limited"|"Somewhat limited"|"Poor"|"Not rated"|"Somewhat limited"|0.149|"Slight"|0|1|575623
"16"|"Cuthbert fine sandy loam, 8 to 20 percent slopes"||14|13|86|||"None"|"None"|0|2.85|6.1|12.08|17.58|"Well drained"|"Well drained"|"C"||100|6|80|"Somewhat limited"|"Somewhat limited"|"Not rated"|"Not rated"|"Very limited"|"Not rated"|"Very limited"|"Very limited"|"Very limited"|"Somewhat limited"|"Poor"|"Not rated"|"Very limited"|1|"Severe"|0|0.959|575624
"17"|"Cuthbert gravelly fine sandy loam, 8 to 20 percent slopes"||14|13|79|||"None"|"None"|0|2.65|5.9|11.42|16.92|"Well drained"|"Well drained"|"C"||100|6|80|"Somewhat limited"|"Somewhat limited"|"Not rated"|"Not rated"|"Very limited"|"Not rated"|"Very limited"|"Very limited"|"Very limited"|"Somewhat limited"|"Poor"|"Not rated"|"Somewhat limited"|0.1|"Moderate"|0|0.959|575625
"18"|"Cuthbert stony fine sandy loam, 5 to 30 percent slopes"||18|16.2|71|||"None"|"None"|0|2.73|5.98|11.9|17.4|"Well drained"|"Well drained"|"C"||100|7|80|"Very limited"|"Very limited"|"Not rated"|"Very limited"|"Very limited"|"Not rated"|"Very limited"|"Very limited"|"Very limited"|"Very limited"|"Poor"|"Not rated"|"Very limited"|1|"Severe"|0|1|575626
"19"|"Darco loamy fine sand, 1 to 8 percent slopes"||5|4.7||||"None"|"None"|0|2|4|8|13.4|"Somewhat excessively drained"|"Somewhat excessively drained"|"A"|3|85|3|85|"Not limited"|"Not limited"|"Not limited"|"Not rated"|"Somewhat limited"|"Not rated"|"Not rated"|"Very limited"|"Very limited"|"Not limited"|"Fair"|"Not rated"|"Somewhat limited"|0.664|"Moderate"|0|1|575627
