"areaovacres"|"lareaovkey"|"mukey"|"muareaovkey"
15235|549683|575618|33000039
15235|549684|575618|33000038
15235|549685|575618|32999957
15235|549686|575618|33000042
15235|549687|575618|33000041
15235|549688|575618|33000040
5976|549683|575619|33000032
5976|549684|575619|33000031
5976|549685|575619|33000030
5976|549686|575619|33000029
5976|549687|575619|33000028
5976|549688|575619|32999955
2265|549683|575620|33000354
2265|549684|575620|33000353
2265|549685|575620|33000020
2265|549686|575620|33000357
2265|549687|575620|33000356
2265|549688|575620|33000355
12051|549683|575621|33000334
12051|549684|575621|33000333
12051|549685|575621|33000016
12051|549686|575621|33000337
12051|549687|575621|33000336
12051|549688|575621|33000335
8730|549683|575622|32999747
8730|549684|575622|32999951
8730|549685|575622|32999751
8730|549686|575622|32999750
8730|549687|575622|32999749
8730|549688|575622|32999748
1045|549683|575623|33000359
1045|549684|575623|33000358
1045|549685|575623|33000021
1045|549686|575623|33000362
1045|549687|575623|33000361
1045|549688|575623|33000360
55593|549683|575624|33000089
55593|549684|575624|33000088
55593|549685|575624|32999967
55593|549686|575624|33000092
55593|549687|575624|33000091
55593|549688|575624|33000090
2031|549683|575625|32999968
2031|549684|575625|33000097
2031|549685|575625|33000096
2031|549686|575625|33000095
2031|549687|575625|33000094
2031|549688|575625|33000093
1113|549683|575626|33000102
1113|549684|575626|33000101
1113|549685|575626|33000100
1113|549686|575626|33000099
1113|549687|575626|33000098
1113|549688|575626|32999969
24481|549683|575627|33000313
24481|549684|575627|33000012
24481|549685|575627|33000317
24481|549686|575627|33000316
24481|549687|575627|33000315
24481|549688|575627|33000314
10237|549683|575628|33000104
10237|549684|575628|33000103
10237|549685|575628|32999970
10237|549686|575628|33000107
10237|549687|575628|33000106
10237|549688|575628|33000105
13263|549683|575629|33000319
13263|549684|575629|33000318
13263|549685|575629|33000013
13263|549686|575629|33000322
13263|549687|575629|33000321
13263|549688|575629|33000320
2399|549683|575630|33000109
2399|549684|575630|33000108
2399|549685|575630|32999971
2399|549686|575630|33000112
2399|549687|575630|33000111
2399|549688|575630|33000110
163|549683|575631|33000114
163|549684|575631|33000113
163|549685|575631|32999972
163|549686|575631|33000117
163|549687|575631|33000116
163|549688|575631|33000115
3486|549683|575632|33000084
3486|549684|575632|33000083
3486|549685|575632|32999966
3486|549686|575632|33000087
3486|549687|575632|33000086
3486|549688|575632|33000085
1653|549683|575633|33000119
1653|549684|575633|33000118
1653|549685|575633|32999973
1653|549686|575633|33000122
1653|549687|575633|33000121
1653|549688|575633|33000120
13344|549683|575634|33000124
13344|549684|575634|33000123
13344|549685|575634|32999974
13344|549686|575634|33000127
13344|549687|575634|33000126
13344|549688|575634|33000125
1199|549683|575635|33000129
1199|549684|575635|33000128
1199|549685|575635|32999975
1199|549686|575635|33000132
1199|549687|575635|33000131
1199|549688|575635|33000130
31026|549683|575637|33000344
31026|549684|575637|33000343
31026|549685|575637|33000018
31026|549686|575637|33000347
31026|549687|575637|33000346
31026|549688|575637|33000345
5476|549683|575638|33000134
5476|549684|575638|33000133
5476|549685|575638|32999976
5476|549686|575638|33000137
5476|549687|575638|33000136
5476|549688|575638|33000135
1672|549683|575639|33000324
1672|549684|575639|33000323
1672|549685|575639|33000014
1672|549686|575639|33000327
1672|549687|575639|33000326
1672|549688|575639|33000325
331|549683|575640|33000139
331|549684|575640|33000138
331|549685|575640|32999977
331|549686|575640|33000142
331|549687|575640|33000141
331|549688|575640|33000140
1490|549683|575641|33000144
1490|549684|575641|33000143
1490|549685|575641|32999978
1490|549686|575641|33000147
1490|549687|575641|33000146
1490|549688|575641|33000145
4435|549683|575642|33000069
4435|549684|575642|33000068
4435|549685|575642|32999963
4435|549686|575642|33000072
4435|549687|575642|33000071
4435|549688|575642|33000070
7276|549683|575643|32999728
7276|549684|575643|32999727
7276|549685|575643|32999947
7276|549686|575643|32999731
7276|549687|575643|32999730
7276|549688|575643|32999729
695|549683|575644|33000149
695|549684|575644|33000148
695|549685|575644|32999979
695|549686|575644|33000152
695|549687|575644|33000151
695|549688|575644|33000150
35645|549683|575645|33000328
35645|549684|575645|33000015
35645|549685|575645|33000332
35645|549686|575645|33000331
35645|549687|575645|33000330
35645|549688|575645|33000329
1950|549683|575646|33000154
1950|549684|575646|33000153
1950|549685|575646|32999980
1950|549686|575646|33000157
1950|549687|575646|33000156
1950|549688|575646|33000155
22115|549683|575647|33000159
22115|549684|575647|33000158
22115|549685|575647|32999981
22115|549686|575647|33000162
22115|549687|575647|33000161
22115|549688|575647|33000160
18597|549683|575648|33000167
18597|549684|575648|33000166
18597|549685|575648|33000165
18597|549686|575648|33000164
18597|549687|575648|33000163
18597|549688|575648|32999982
1344|549683|575649|33000169
1344|549684|575649|33000168
1344|549685|575649|32999983
1344|549686|575649|33000172
1344|549687|575649|33000171
1344|549688|575649|33000170
2541|549683|575650|32999758
2541|549684|575650|32999757
2541|549685|575650|32999953
2541|549686|575650|33000022
2541|549687|575650|32999760
2541|549688|575650|32999759
6192|549683|575651|32999746
6192|549684|575651|32999745
6192|549685|575651|32999744
6192|549686|575651|32999743
6192|549687|575651|32999742
6192|549688|575651|32999950
1108|549683|575652|33000174
1108|549684|575652|33000173
1108|549685|575652|32999984
1108|549686|575652|33000177
1108|549687|575652|33000176
1108|549688|575652|33000175
42141|549683|575653|33000178
42141|549684|575653|32999985
42141|549685|575653|33000182
42141|549686|575653|33000181
42141|549687|575653|33000180
42141|549688|575653|33000179
6221|549683|575654|33000184
6221|549684|575654|33000183
6221|549685|575654|32999986
6221|549686|575654|33000187
6221|549687|575654|33000186
6221|549688|575654|33000185
11855|549683|575655|33000189
11855|549684|575655|33000188
11855|549685|575655|32999987
11855|549686|575655|33000192
11855|549687|575655|33000191
11855|549688|575655|33000190
1542|549683|575656|33000194
1542|549684|575656|33000193
1542|549685|575656|32999988
1542|549686|575656|33000197
1542|549687|575656|33000196
1542|549688|575656|33000195
1035|549683|575657|33000199
1035|549684|575657|33000198
1035|549685|575657|32999989
1035|549686|575657|33000202
1035|549687|575657|33000201
1035|549688|575657|33000200
915|549683|575658|33000204
915|549684|575658|33000203
915|549685|575658|32999990
915|549686|575658|33000207
915|549687|575658|33000206
915|549688|575658|33000205
2856|549683|575659|33000209
2856|549684|575659|33000208
2856|549685|575659|32999991
2856|549686|575659|33000212
2856|549687|575659|33000211
2856|549688|575659|33000210
234|549683|575660|33000214
234|549684|575660|33000213
234|549685|575660|32999992
234|549686|575660|33000217
234|549687|575660|33000216
234|549688|575660|33000215
636|549683|575661|33000219
636|549684|575661|33000218
636|549685|575661|32999993
636|549686|575661|33000222
636|549687|575661|33000221
636|549688|575661|33000220
730|549683|575662|32999756
730|549684|575662|32999755
730|549685|575662|32999754
730|549686|575662|32999753
730|549687|575662|32999752
730|549688|575662|32999952
381|549683|575663|33000223
381|549684|575663|32999994
381|549685|575663|33000227
381|549686|575663|33000226
381|549687|575663|33000225
381|549688|575663|33000224
9303|549683|575664|33000339
9303|549684|575664|33000338
9303|549685|575664|33000017
9303|549686|575664|33000342
9303|549687|575664|33000341
9303|549688|575664|33000340
458|549683|575665|33000229
458|549684|575665|33000228
458|549685|575665|32999995
458|549686|575665|33000232
458|549687|575665|33000231
458|549688|575665|33000230
5123|549683|575666|33000234
5123|549684|575666|33000233
5123|549685|575666|32999996
5123|549686|575666|33000237
5123|549687|575666|33000236
5123|549688|575666|33000235
18889|549683|575667|33000049
18889|549684|575667|33000048
18889|549685|575667|32999959
18889|549686|575667|33000052
